,긍정,리뷰 수,부정,리뷰 수
0,everything/NN,38,us/PRP,250
1,best/JJS,32,country/NN,5
2,delicious/JJ,33,might/MD,13
3,must/MD,29,road/NN,9
4,namdaemun/JJ,5,kind/NN,23
5,things/NNS,58,fish/NN,41
6,fun/NN,27,quality/NN,25
7,accessories/NNS,36,really/RB,36
8,people/NNS,63,anywhere/RB,5
9,cutlassfish/JJ,18,goods/NNS,38
10,also/RB,45,okay/JJ,4
11,especially/RB,11,area/NN,41
12,eat/NN,131,large/JJ,19
13,alley/NN,45,say/VB,13
14,ive/JJ,89,write/VB,2
15,restaurants/NNS,20,long/JJ,35
16,old/JJ,51,one/CD,111
17,eat/VB,131,closed/VBN,16
18,kalguksu/NN,5,bad/JJ,10
19,often/RB,7,price/NN,96
20,flowers/NNS,10,clothing/NN,62
21,affordable/JJ,5,mostly/RB,8
22,souvenirs/NNS,79,probably/RB,10
23,hours/NNS,18,sold/VBN,14
24,deals/NNS,10,properly/RB,3
25,prices/NNS,45,left/VBD,7
26,back/RB,22,night/NN,29
27,buy/VB,117,bit/NN,25
28,whole/JJ,26,household/NN,5
29,go/VB,236,overrated/VBN,2
30,available/JJ,13,mainly/RB,8
31,enjoyed/VBD,12,less/JJR,32
32,wholesale/JJ,17,characteristic/JJ,1
33,want/VBP,51,stores/NNS,36
34,getting/VBG,13,without/IN,5
35,always/RB,12,still/RB,24
36,worth/JJ,29,afternoon/NN,10
37,morning/NN,19,shop/VB,180
38,various/JJ,18,big/JJ,28
39,fun/JJ,27,came/VBD,32
40,,,would/MD,36
41,,,junk/NN,6
42,,,shoes/NNS,21
43,,,similar/JJ,11
44,,,stalls/NNS,64
45,,,made/VBN,23
46,,,markets/NNS,45
47,,,think/VBP,19
48,,,nothing/NN,21
