,긍정,리뷰 수,부정,리뷰 수
0,easy/JJ,11,cost/NN,26
1,car/NN,236,squeeze/VB,6
2,cool/JJ,11,price/NN,40
3,pretty/RB,17,stand/VB,12
4,got/VBD,14,waited/VBD,11
5,night/NN,55,14000/CD,2
6,fun/JJ,19,youll/NN,7
7,walking/VBG,37,12000/CD,1
8,restaurants/NNS,7,bad/JJ,5
9,though/IN,30,mins/NNS,11
10,cheap/JJ,14,wouldnt/VBP,2
11,spring/NN,5,rode/NN,5
12,less/JJR,27,time/NN,96
13,thought/VBD,8,another/DT,13
14,distance/NN,16,direction/NN,5
15,13000/CD,7,maybe/RB,4
16,ones/NNS,6,journey/NN,12
17,station/NN,40,30/CD,33
18,fast/JJ,20,get/NN,118
19,adult/NN,15,mountain/NN,15
20,bring/VBG,10,kids/NNS,12
21,easily/RB,3,around/IN,31
22,breath/NN,7,rather/RB,9
23,first/JJ,15,autumn/NN,10
24,one/CD,81,minute/NN,56
25,walk/NN,104,holidays/NNS,5
26,recommended/VBN,13,recommend/VBP,37
27,trying/VBG,4,hill/NN,43
28,wide/JJ,2,people/NNS,83
29,sky/NN,8,way/NN,118
30,use/VB,71,winter/NN,9
31,organized/VBN,2,parking/VBG,25
32,worth/JJ,39,problem/NN,8
33,elderly/JJ,5,unless/IN,7
34,free/JJ,10,cars/NNS,23
35,safe/JJ,7,queue/NN,40
36,use/NN,71,money/NN,11
37,enjoyed/VBD,6,bus/NN,34
38,lazy/JJ,6,value/NN,3
39,since/IN,14,short/JJ,54
40,,,boring/NN,0
41,,,lunch/NN,2
42,,,many/JJ,37
43,,,get/VB,118
44,,,saves/VBZ,4
45,,,public/JJ,8
