,긍정,리뷰 수,부정,리뷰 수
0,also/RB,105,regret/VB,2
1,entrance/NN,50,see/VB,170
2,lovely/JJ,22,something/NN,9
3,quiet/JJ,32,building/NN,61
4,local/JJ,18,fees/NNS,5
5,able/JJ,66,peace/NN,25
6,architecture/NN,33,cute/JJ,4
7,located/VBN,31,getting/VBG,4
8,even/RB,44,little/JJ,31
9,village/NN,230,entry/NN,9
10,scenery/NN,18,seem/VBP,8
11,atmosphere/NN,23,mustsee/NN,3
12,clean/JJ,22,would/MD,46
13,experience/VB,73,weak/JJ,1
14,past/JJ,25,villages/NNS,12
15,learn/VB,29,special/JJ,16
16,tour/NN,91,much/RB,45
17,sit/VB,228,maybe/RB,5
18,walking/NN,56,boring/JJ,5
19,visited/VBD,33,nothings/NNS,0
20,better/JJR,19,tourists/NNS,31
21,capsule/NN,27,otherwise/RB,3
22,worth/IN,54,sights/NNS,6
23,bruise/VB,1,expected/VBD,8
24,public/JJ,12,occasionally/RB,1
25,fun/NN,20,myeongdong/FW,3
26,2/CD,58,exciting/VBG,3
27,various/JJ,12,dont/VBP,27
28,easy/JJ,25,u/JJ,644
29,ceremony/NN,24,want/VBP,47
30,look/NN,74,space/NN,18
31,spring/NN,15,bit/NN,39
32,fee/NN,91,hanok/VBD,95
33,olden/JJ,13,think/VBP,17
34,mins/NNS,5,cup/NN,5
35,stroll/NN,38,high/JJ,17
36,walked/VBD,13,get/VB,85
37,better/RBR,19,enjoy/NN,72
38,us/PRP,354,school/NN,12
39,,,beginning/NN,1
40,,,fully/RB,10
41,,,location/NN,17
42,,,relax/VB,26
43,,,expectations/NNS,4
44,,,rebuilt/VBN,7
45,,,photography/NN,4
46,,,sloppy/JJ,1
47,,,significance/NN,2
48,,,nothing/NN,12
