,긍정,리뷰 수,부정,리뷰 수
0,get/VB,26,think/VBP,8
1,one/CD,54,expecting/VBG,2
2,koreans/NNS,1,glad/NN,2
3,historical/JJ,6,children/NNS,8
4,hours/NNS,21,disappointed/VBN,4
5,independence/NN,13,light/NN,4
6,understand/VB,13,patriot/NN,5
7,bad/JJ,6,could/MD,10
8,everything/NN,9,gain/VB,16
9,period/NN,10,untranslated/JJ,1
10,easy/JJ,11,spots/NNS,1
11,memorial/JJ,6,solemn/NN,3
12,gives/VBZ,10,signages/NNS,1
13,country/NN,9,inclusive/JJ,1
14,excellent/JJ,6,list/NN,8
15,buildings/NNS,17,spot/NN,4
16,war/NN,13,due/JJ,3
17,available/JJ,7,better/RBR,10
18,bit/NN,22,stuff/NN,2
19,site/NN,15,overall/JJ,3
20,quite/RB,9,signs/NNS,7
21,colonial/JJ,10,truly/NN,3
22,movement/NN,6,landmark/NN,1
23,young/JJ,7,clearer/VB,1
24,walk/VB,25,changed/VBD,2
25,displays/NNS,9,alcatraztype/JJ,0
26,us/PRP,72,english/JJ,5
27,day/NN,25,first/JJ,7
28,shows/VBZ,6,would/MD,15
29,worth/IN,19,wouldnt/NN,3
30,able/JJ,20,v/NN,104
31,exit/NN,6,recreated/JJ,1
32,life/NN,7,reaction/NN,1
33,seodaemun/JJ,1,quick/JJ,1
34,line/NN,7,authentic/JJ,1
35,prisoners/NNS,20,help/VB,5
36,descriptions/NNS,7,animosity/NN,1
37,goooood/NN,0,10/CD,9
38,huge/JJ,5,staff/NN,3
39,may/MD,7,pretty/RB,1
40,story/NN,59,small/JJ,6
41,experience/NN,14,missing/VBG,2
42,walk/NN,25,might/MD,1
43,freedom/NN,7,description/NN,8
44,go/VB,41,name/NN,3
45,,,reservation/NN,4
46,,,details/NNS,5
