,긍정,리뷰 수,부정,리뷰 수
0,walking/VBG,3,ps/NN,1
1,walk/VB,12,providing/VBG,1
2,walk/NN,12,poor/JJ,2
3,garden/NN,9,payments/NNS,1
4,little/JJ,2,known/VBN,1
5,fine/JJ,2,instead/RB,1
6,take/VB,2,havedont/NN,1
7,spacious/JJ,1,hand/NN,1
8,botanical/JJ,6,filthy/JJ,1
9,small/JJ,1,feature/NN,1
10,also/RB,1,fear/NN,1
11,line/NN,1,excuse/NN,1
12,enjoy/VB,4,dont/VBP,1
13,everything/NN,1,doesnt/NN,0
14,spring/NN,1,credit/NN,1
15,variety/NN,2,cards/NNS,1
16,worth/IN,2,card/NN,1
17,huge/JJ,2,bothered/VBN,1
18,full/JJ,2,barring/VBG,1
19,many/JJ,2,anymore/IN,1
20,time/NN,4,access/NN,1
21,flowers/NNS,5,accept/VB,1
22,station/NN,2,winter/NN,1
23,tree/NN,3,whats/VBZ,1
24,coconut/NN,1,warm/JJ,1
25,families/NNS,2,think/VBP,1
26,suitable/JJ,0,theres/NNS,1
27,seasons/NNS,1,reason/NN,1
28,botanic/NN,7,pay/VB,2
29,autumn/NN,0,look/VB,1
30,interesting/JJ,3,inside/NN,3
31,photos/NNS,2,heard/VBP,1
32,thats/NNS,1,guys/VBP,1
33,maintained/VBD,2,expected/VBD,1
34,botanic/JJ,7,baby/NN,1
35,seen/VBN,1,around/RP,6
36,never/RB,1,amount/NN,1
37,friends/NNS,1,outside/IN,4
38,experience/VB,2,special/JJ,1
39,,,poorly/RB,1
40,,,mediterranean/JJ,0
41,,,want/VBP,2
42,,,ive/JJ,3
43,,,better/JJR,2
44,,,cash/NN,1
45,,,nothing/NN,1
46,,,around/IN,6
47,,,weekend/NN,1
48,,,walk/VBP,12
49,,,ok/NN,4
