,긍정,리뷰 수,부정,리뷰 수
0,children/NNS,113,monkey/NN,9
1,fun/NN,46,wallaroos/NNS,1
2,best/JJS,23,meerkat/JJ,1
3,day/NN,83,deserted/VBN,1
4,also/RB,52,right/RB,8
5,childrens/NNS,32,ticket/NN,10
6,free/JJ,104,enclosure/NN,14
7,botanical/JJ,29,front/NN,3
8,museum/NN,31,didnt/VBP,17
9,cherry/NN,19,fall/VB,6
10,full/JJ,17,sleeping/VBG,3
11,family/NN,38,tiny/JJ,4
12,playground/NN,48,disgusting/VBG,3
13,many/JJ,67,everland/NN,1
14,big/JJ,28,consideration/NN,1
15,admission/NN,18,blocked/VBN,1
16,facilities/NNS,20,nothing/NN,5
17,picnic/NN,22,sights/NNS,7
18,garden/NN,40,short/JJ,8
19,grand/JJ,17,enjoy/VB,47
20,parking/VBG,19,playground/IN,48
21,flowers/NNS,11,signs/NNS,7
22,clean/JJ,18,much/RB,30
23,take/VB,36,people/NNS,40
24,kids/NNS,78,roller/NN,17
25,spring/NN,13,coaster/NN,6
26,especially/RB,17,seemed/VBD,5
27,blossoms/NNS,13,30/CD,15
28,outing/VBG,10,get/VB,34
29,childhood/NN,7,amusement/NN,70
30,trees/NNS,16,closed/VBN,17
31,memories/NNS,5,machine/NN,5
32,money/NN,8,filthy/JJ,1
33,weekend/NN,15,little/JJ,24
34,bring/VB,16,ive/JJ,48
35,came/VBD,15,cages/NNS,4
36,walk/VB,87,long/JJ,27
37,play/VB,83,sad/JJ,12
38,everything/NN,7,time/NN,68
39,fountain/NN,29,enclosures/NNS,11
40,easy/JJ,12,visable/JJ,4
41,,,old/JJ,44
42,,,elephant/NN,17
43,,,look/VBP,37
44,,,looked/VBD,11
