,긍정,리뷰 수,부정,리뷰 수
0,walk/NN,135,machine/NN,11
1,enjoy/VB,54,half/PDT,6
2,take/VB,45,travel/VB,5
3,go/VB,144,end/NN,83
4,around/IN,65,citizens/NNS,2
5,deer/NN,71,resting/JJ,9
6,cherry/NN,20,public/JJ,11
7,people/NNS,36,average/JJ,2
8,best/JJS,14,something/NN,7
9,family/NN,31,season/NN,16
10,middle/NN,16,lush/JJ,2
11,one/CD,42,theres/VBZ,10
12,things/NNS,16,huge/JJ,8
13,friends/NNS,15,breeze/NN,4
14,heart/NN,11,bicycles/NNS,3
15,blossoms/NNS,11,relax/VB,35
16,han/NN,35,vending/NN,8
17,autumn/NN,30,name/NN,2
18,wide/JJ,9,winter/RBR,13
19,came/VBD,13,okay/JJ,1
20,walk/VB,135,nicer/JJ,3
21,really/RB,33,disappointed/JJ,4
22,quite/RB,12,list/NN,3
23,peaceful/JJ,19,better/JJR,8
24,must/MD,10,walking/JJ,28
25,bike/NN,21,say/VB,3
26,leisurely/RB,8,pretty/RB,20
27,comfortable/JJ,7,area/NN,34
28,long/JJ,24,blows/NNS,1
29,large/JJ,27,messy/NN,1
30,lovers/NNS,9,forestlike/NN,1
31,exercise/NN,8,wasnt/VBZ,6
32,lovely/RB,16,entering/VBG,2
33,atmosphere/NN,7,areas/NNS,16
34,corona/NN,2,little/JJ,14
35,crowded/VBN,15,course/NN,6
36,station/NN,19,didnt/VB,9
37,night/NN,7,nature/NN,31
38,healing/VBG,7,clean/JJ,14
39,spend/VB,13,dust/NN,3
40,spring/NN,27,winter/NN,13
41,spot/NN,12,granddaughters/NNS,1
42,summer/NN,16,forest/NN,72
43,,,much/RB,17
44,,,much/JJ,17
45,,,would/MD,27
46,,,however/RB,2
47,,,nothing/NN,7
