,긍정,리뷰 수,부정,리뷰 수
0,fun/NN,13,disney/NN,0
1,day/NN,20,would/MD,5
2,time/NN,17,5/CD,5
3,children/NNS,12,cold/JJ,2
4,much/JJ,12,zoo/JJ,10
5,see/VB,9,six/CD,0
6,fantastic/JJ,1,quality/NN,1
7,young/JJ,7,ok/JJ,13
8,cool/NN,5,science/NN,1
9,people/NNS,7,peak/NN,2
10,bad/JJ,5,opposite/IN,1
11,play/VB,5,museum/NN,1
12,many/JJ,11,might/MD,1
13,fun/VBN,13,low/JJ,5
14,get/VB,6,less/RBR,7
15,lines/NNS,5,crowded/VBN,5
16,spend/VB,6,seemed/VBD,2
17,grand/JJ,2,weather/NN,2
18,crowded/VBD,5,card/NN,2
19,ticket/NN,5,home/NN,2
20,way/NN,11,guess/NN,2
21,subway/NN,5,7/CD,6
22,little/JJ,5,number/NN,2
23,days/NNS,2,coaster/NN,10
24,love/VBP,8,thrilling/VBG,2
25,long/JJ,8,old/JJ,17
26,still/RB,2,probably/RB,2
27,free/JJ,2,visitor/NN,2
28,take/VB,8,parade/NN,0
29,shouth/NN,1,operated/VBN,1
30,kurdistan/NN,1,lively/RB,1
31,however/RB,3,events/NNS,1
32,really/RB,12,compare/VBP,4
33,spend/JJ,6,think/VBP,2
34,cool/JJ,5,going/VBG,3
35,year/NN,9,exciting/JJ,1
36,full/JJ,3,boring/NN,0
37,short/JJ,3,face/NN,1
38,adult/NN,2,small/JJ,2
39,outdoor/JJ,3,looks/VBZ,2
40,bit/NN,5,zoo/NN,10
41,maybe/RB,3,season/NN,3
42,,,definitely/RB,2
43,,,part/NN,2
44,,,years/NNS,5
45,,,go/VB,27
