,긍정,리뷰 수,부정,리뷰 수
0,busy/JJ,3,2/CD,4
1,location/NN,6,10th/JJ,1
2,end/NN,11,store/NN,15
3,super/JJ,1,food/NN,15
4,floor/NN,9,foods/NNS,3
5,best/JJS,4,variety/NN,3
6,shop/VB,21,different/JJ,3
7,one/CD,5,time/NN,5
8,high/JJ,4,court/NN,10
9,fantastic/JJ,2,thought/VBD,2
10,products/NNS,3,came/VBD,2
11,lovely/RB,2,level/NN,2
12,shinsegae/NN,0,basement/JJ,6
13,buy/VB,3,side/NN,3
14,bus/NN,10,sample/VB,1
15,floors/NNS,3,pricey/JJ,1
16,station/NN,4,opted/VBD,1
17,terminal/NN,6,half/DT,2
18,around/IN,5,flavours/NNS,1
19,gangnam/NN,0,filled/VBD,1
20,restaurants/NNS,6,chose/VBD,2
21,many/JJ,4,bit/NN,1
22,service/NN,2,13000/CD,1
23,also/RB,2,finding/VBG,2
24,choices/NNS,3,along/IN,2
25,get/VB,6,wasted/JJ,1
26,choice/NN,4,us/PRP,19
27,see/VB,3,say/VB,1
28,popular/JJ,1,reaching/VBG,1
29,express/NN,3,needless/JJ,0
30,saturday/NN,0,let/VB,1
31,extremely/RB,0,know/VB,1
32,something/NN,4,information/NN,0
33,basement/NN,6,directions/NNS,1
34,area/NN,5,desks/NNS,1
35,terminal/JJ,6,clueless/JJ,1
36,big/JJ,4,closed/VBN,1
37,jw/NN,0,closed/VBD,1
38,express/VB,3,asked/VBD,1
39,bus/JJ,10,way/NN,7
40,next/JJ,3,fried/JJ,1
41,,,chicken/NN,1
42,,,bucket/NN,1
43,,,staff/NN,2
44,,,unreasonably/RB,1
45,,,unfriendly/JJ,0
