,긍정,리뷰 수,부정,리뷰 수
0,food/NN,46,little/RB,3
1,department/NN,36,forced/VBN,1
2,stores/NNS,18,favourite/JJ,1
3,brands/NNS,21,everything/NN,5
4,shinsegae/NN,1,come/VB,5
5,best/JJS,6,cashier/NN,1
6,building/NN,13,foreign/JJ,4
7,restaurants/NNS,15,right/JJ,5
8,shop/VB,53,quick/JJ,2
9,basement/NN,24,electronics/NNS,1
10,always/RB,9,various/JJ,1
11,main/JJ,15,intl/NNS,0
12,find/VB,17,brandsnot/RB,1
13,quite/RB,9,customer/NN,6
14,experience/NN,11,ground/NN,5
15,plenty/NN,3,highend/JJ,8
16,eat/VB,25,selection/NN,13
17,really/RB,11,clothing/NN,7
18,similar/JJ,6,worth/JJ,9
19,located/VBN,6,go/VB,54
20,international/JJ,8,came/VBD,4
21,foods/NNS,7,home/NN,6
22,visiting/VBG,8,attractive/JJ,2
23,fabulous/JJ,1,never/RB,6
24,need/VBP,15,see/VB,7
25,shinsegae/JJ,1,stuff/NN,5
26,people/NNS,8,end/NN,47
27,store/NN,61,front/NN,4
28,could/MD,9,structure/NN,2
29,free/JJ,25,understand/VB,2
30,japanese/JJ,1,back/RB,10
31,edmirtaf/NN,0,wellmaintained/VBN,1
32,harrods/NNS,1,clean/NN,6
33,tax/NN,5,refused/VBD,3
34,fashion/NN,9,bag/NN,8
35,roof/NN,4,asked/VBD,6
36,also/RB,15,unless/IN,3
37,wide/JJ,6,perfumes/NNS,2
38,,,bad/JJ,3
39,,,decorated/VBN,2
40,,,beautifully/RB,2
41,,,nowadays/NNS,1
42,,,special/JJ,8
43,,,cosmetics/NNS,5
44,,,difficult/JJ,2
45,,,goods/NNS,11
46,,,nothing/NN,4
