,긍정,리뷰 수,부정,리뷰 수
0,everything/NN,33,used/VBN,8
1,also/RB,65,go/VB,176
2,clean/JJ,16,opinion/NN,3
3,center/NN,27,note/NN,1
4,okay/NN,3,purposes/NNS,1
5,many/JJ,85,donga/NN,0
6,walking/VBG,19,2nd/JJ,4
7,located/VBN,24,nothing/NN,8
8,movie/NN,30,recommended/VBN,4
9,strong/JJ,0,browse/VB,4
10,liked/VBD,12,special/JJ,23
11,size/NN,5,tastes/NNS,2
12,huge/JJ,75,overrated/VBN,1
13,cool/JJ,18,outdated/VBN,2
14,must/MD,18,renovation/NN,15
15,shinsegae/NN,0,positioning/NN,1
16,convention/NN,18,ambiguous/JJ,1
17,improved/VBN,2,undergrounddont/JJ,1
18,signage/NN,7,evaluation/NN,1
19,food/NN,86,office/NN,6
20,theres/NNS,10,visited/VBN,21
21,connected/VBN,34,one/NN,92
22,enjoy/VB,23,overpriced/VBN,3
23,famous/JJ,12,really/RB,51
24,hours/NNS,11,came/VBD,15
25,watch/VB,13,spot/NN,8
26,underground/NN,46,compared/VBN,3
27,everyone/NN,9,renovations/NNS,5
28,cool/NN,18,anymore/RB,4
29,otherwise/NN,4,pricey/JJ,7
30,honestly/RB,1,theres/VBZ,10
31,waiting/VBG,3,please/NN,2
32,entertainment/NN,6,found/VBD,25
33,placed/VBN,1,know/VBP,18
34,feels/VBZ,5,maze/NN,13
35,conference/NN,11,anything/NN,15
36,first/JJ,15,evening/NN,6
37,helpful/JJ,5,shop/NN,233
38,roof/NN,5,areas/NNS,10
39,spend/VB,26,going/VBG,22
40,started/VBD,2,found/VBN,25
41,operating/NN,2,indoormall/NN,1
42,wont/VBP,4,hotels/NNS,16
43,cosmetics/NNS,5,closed/VBN,12
44,different/JJ,16,much/JJ,36
45,quiet/JJ,6,difficult/JJ,10
46,facilities/NNS,7,dont/VBP,24
