,긍정,리뷰 수,부정,리뷰 수
0,guards/NNS,20,pretty/JJ,12
1,walk/VB,33,next/IN,8
2,gates/NNS,31,youve/RB,1
3,must/MD,13,attempt/VB,1
4,night/NN,13,p/NN,119
5,worth/IN,18,hours/NNS,4
6,time/NN,25,region/NN,1
7,impressive/JJ,9,protected/VBN,1
8,4/CD,14,extremely/RB,1
9,station/NN,10,destroyed/VBN,7
10,back/RB,10,somewhere/RB,2
11,right/RB,13,experience/NN,5
12,walk/NN,33,nearby/RB,7
13,ceremony/NN,6,2008/CD,10
14,cool/JJ,7,mostly/RB,3
15,really/RB,14,worth/NN,18
16,palace/NN,8,standpoint/NN,1
17,buildings/NNS,13,cool/NN,7
18,photo/NN,36,front/NN,3
19,site/NN,15,walking/VBG,7
20,small/JJ,6,statue/NN,2
21,makes/VBZ,5,advice/NN,1
22,across/IN,5,upper/JJ,2
23,another/DT,4,structural/JJ,1
24,road/NN,10,merely/RB,1
25,markets/NNS,3,design/NN,2
26,exit/NN,5,styles/NNS,2
27,one/CD,45,minutes/NNS,11
28,us/PRP,62,look/NN,29
29,main/JJ,23,located/VBN,14
30,beautifully/RB,5,china/NN,0
31,passing/VBG,6,similar/JJ,6
32,location/NN,3,eight/CD,1
33,changing/NN,8,historical/JJ,15
34,day/NN,19,attraction/NN,13
35,south/JJ,7,pride/NN,2
36,ago/IN,15,area/NN,17
37,traditional/JJ,9,centre/NN,3
38,namdaemun/VB,3,move/VB,3
39,century/NN,4,even/RB,15
40,due/JJ,4,would/MD,9
41,namdeamun/JJ,0,structure/NN,15
42,koreas/NNS,0,distance/NN,4
43,,,however/RB,2
44,,,since/IN,6
45,,,nothing/NN,10
46,,,take/VB,25
47,,,picture/NN,21
