,STAR,CONTENT
0,5.0, Since there was a lot of damage in Seoul due to heavy rain in August 2022 we walked about 10km along the promenade from Jeongneungcheon to Cheonggyecheon to see Cheonggye Plaza There were tributaries flowing into 
1,4.0, This is Seouls signature square Much better than the newly built Gwanghwamun Plaza It forms a double wall with the square in front of City Hall 
2,5.0, Always a thrilling space I definitely feel like I am in the center of Seoul 
3,5.0,Great walk from Myeongdongwide walk way Light up at night
4,5.0, Walk from Insadong here Well Im not tired at all  I use lunch and eat a lot 
5,4.0, Neat tourist spot A good place to take a break if you have plenty of time 
6,5.0, The famous Cheonggyecheon Stream in Seoul A beautiful and pleasant road starts from Cheonggye Plaza As it is the starting point of Cheonggyecheon various events are often held here and it is always crowded with 
7,4.0, The starting point of Cheonggyecheon A place where events are occasionally held The city hall Deoksugung Palace Gwanghwamun Gate and Gyeongbokgung Palace are close to each other making it a good place to take a 
8,5.0, The coolness in the city center and the square of discussion 
9,5.0, There is an incense burner for vaccine victims In order not to be demolished let the government answer Come out and give me strength 
10,5.0,A walking distance to Deoksugung Palace and I think to other palaces as well Cheonggyecheon plaza is a mustvisit when you want to see Cheonggyecheon stream Taking a quick stroll along it is relaxing and every angle of this place is 
11,5.0, A place with many seasonal sights Before Corona I miss the days when various festivals and events were held throughout the four 
12,1.0, From Jongno 5ga to Jonggak there are rows of mulberry trees and ripe black mulberry and unripe red quince are standing in a row The fountain was also very cool and the water rushed to it and the river and 
13,5.0,As seen in Vincenzo and Move To Heaven kdrama
14,2.0, I am not sure what the meaning of the square is or whether it is a space that embraces the city 
15,5.0, Free trails in the city center A good space for healing The sound of flowing water is good It is good to walk with family and lovers 
16,5.0, The place where the water flows makes your eyes and mind easier 
17,5.0, Cheonggye Plaza  is located in 141 Seorindong Jongnogu Seoul and is a small plaza attached to Cheonggyecheon in Seoul and the origin of Cheonggyecheon 
18,5.0, Every evening I walk almost there  calmly ducks fish 
19,4.0,Best place for strolling in Seoul
20,5.0, When I saw the sound of the water and the fish in the middle of the city I felt a world of concentricity There was a chilly breeze but it was great for a walk 
21,5.0, Fun in the city Later like a central park in New York it will also be green 
22,5.0,It is the starting point for the Cheonggyecheon stream
23,5.0, Its Cheonggyecheon Whether its a date course or a walking course its always great There are plenty of restaurants such as cafes and restaurants with good atmosphere on each side so its always a good place 
24,5.0,Good
25,5.0, good There are also many places to eat around 
26,4.0, Seouls famous place in harmony with a cute and vintage shopping district 
27,5.0, A plaza where nature and people communication and culture live 
28,4.0, The night view is beautifulIt is a building forest a pretty place where you can take a walk while listening to the sound of the water flowing in the middle of the city in harmony with colorful lights 
29,5.0,Love it
30,5.0, It is the only place that deserves praise for the achievements made by the mayor of Seoul Its a wonderful place to show off the scenery that makes Seoul a worldclass city 
31,4.0, Good for a walk Its too complicated on weekends but its hard to see such a promenade in the city center 
32,5.0, Cheonggyecheon stream with the history of Seoul is really wonderful 
33,5.0, For coping well with corona It was good in the future if you can purchase it online please 
34,5.0, Close to Gwanghwamun and Cheonggyecheon was neat and nice 
35,3.0, I made it really well However it is getting messy and aging due to poor management in Seoul 
36,5.0, Its a bit cold at night to go now but its a nice place to get some air 
37,4.0, It is a good place to walk quietly in cool autumn weather Its clean and comfortable 
38,4.0,Beautiful place
39,5.0, The staff gave me friendly explanations and recommended products 
40,5.0, In the capitals four main gates A place where the flow flows and fish Its a good place to walk 
41,5.0, Good place throughout the four seasons in the morning during the day and at night 
42,5.0, Nearby is Seoul Plaza Seoul City Hall Gyeongbokgung Palace and Cheonggyecheon so it is good for family outing 
43,4.0, The cool breeze and bright sunlight blown away the corona stress 
44,5.0,amazing
45,2.0, It is Cheonggye Plaza next to DongA Ilbo in Gwanghwamun and the sound of flowing water is a pleasant space 
46,5.0, A clear stream in the city a great place to relax great 
47,3.0,So so
48,5.0,Weekend chilling 
49,5.0, A relaxation area with water that you can enjoy in downtown Ise 
50,5.0, Because Cheonggyecheon Stream is near the house it is very convenient because it is connected to Geumsangcheomhwago City Hall and the Han River for exercise 
51,5.0,Perfect place for a nice stroll
52,5.0, By restoring Buk Brook it has become a representative attraction in Seoul 
53,4.0, Hearing the sound of water in the city and the wind fluttering  
54,5.0, Former President Lee Myungbak to Mayor In the midst of many difficulties while in office It seemed like he made a great work 
55,3.0,Good
56,5.0, There were so many people in the square I need to be president 
57,4.0, A beautiful place at night with colorful lights Night view photo restaurant 
58,4.0,Good
59,4.0, Walk from Eulji to Gwanghwamun Beautiful night view in the evening 
60,5.0,Plaze at the end of Cheongycheon Stream Sometimes has markets or performances there
61,5.0,Good
62,2.0,Nice place to relax
63,4.0, MB memories It is artificial but not bad Maybe humans like water 
64,5.0,Great
65,5.0, You should go at night rather than daytime attractions in Seoul 
66,5.0,Visit this place is mandatory when you are in Seoul
67,5.0, Feng Shui Myeongdang Cheonggyecheon I get good energy 
68,5.0, There is a promenade in the city so romantically It is the best resting place 
69,4.0, Its a little difficult in summer because there is no shade 
70,1.0, I havent been there but I keep saying that I went from Google 
71,5.0, Cheonggyecheon is going to change like this When I was a kid Watching Cheonggyecheon rebuilding work watching the construction of the Samil 
72,5.0,Beautiful place to hang out
73,5.0,Beautiful view  in seoul
74,5.0,Wow
75,5.0,I highly recommend this wonderful place
76,5.0, It is a space where you can feel the space in the city center I envy those around the office  
77,5.0, A nice place to walk while listening to the sound of running water I think its especially good at night 
78,5.0, The weather was cool and it was really good The water is clean and I see birds and fish in the middle It was a happy day 
79,5.0, The highest dignity among modern presidents Jabbakka 
80,5.0, There are lanterns on display so it is very bright day and night and bright without tee 
81,1.0, Ah Cheonggyecheon was found after a long time It was disappointing Garbage on a tree after the flood In the old days water cleaning is often hard too   
82,5.0, Clean well If you go to the end of Seodaemun the waterfall and fountain are pretty But I was playing and witnessed a couple who fell into Cheonggyecheon stream  I was just going to skip the eyeballs while trying 
83,5.0, It was so good It was worth seeing as many lanterns were lit to commemorate the Buddhas birthday 
84,5.0,It is better to walk with it
85,5.0,A good place
86,5.0,Beautiful
87,5.0,Its the best place for a getaway in a busy Jongro area
88,5.0, Its very beautiful so take a walk along the stream there are some very nice photo spots 
89,4.0, It is a popular spot in Seoul Thanks to Cheonggyecheon Seoul seems to live in the city The person is the owner of the city but only the cars are full I hope a lot of good things happen in this good city 
90,3.0,Dep
91,5.0, Nice place for a walk This time I put a lot of promotional material to encourage the vote of the 415 general election I walked from Cheonggye Plaza to Gwanggyo Site or Jangtong Bridge I went to the street of 
92,5.0, Personally I think alone among many people and it is good for walking I think the way I spend time in the city is important but there are only a few places in Seoul where you can walk and think quietly but its 
93,4.0, Stalls and shops are lined up at night and are lively It is a place for citizens to rest You can also stroll along the river 
94,4.0, Flip Myeongbak The best 
95,5.0, Artificial stream between the city Great for creating ecological landscapes feng shui and a place of relaxation 
96,4.0, Cheonggye Plaza Cool and good 
97,4.0, A lot of players Have fun with a variety of rides If a lot of people wait a bit View many photography 
98,4.0,The stream is a right choice for summer You should also explore around here There is a duty free supermarket and a human made park near this stream
99,3.0,It is just a small stream in the city
100,4.0, There are a lot of things to see only in winter and other than that  what kind of event should I visit 
101,5.0, Corona gives room I wonder if Cheonggyecheon was so relaxed 
102,3.0,its a artificial stream in the middle of a downtown business district to represent a long lost stream
103,5.0,Beautiful view
