,STAR,CONTENT
0,5.0, Always a good place to come 1000 won entrance fee Lunch time tickets are also available for nearby office workers 
1,5.0, It was a meaningful time to do the night tour with commentary 
2,5.0,It isnt a huge palace so in some areas you can feel quite cozy if it isnt crowded I recommend to not go there in a rush so you can enjoy it better the details make it special So dont be afraid to explore the alleys and narrow doors
3,5.0, Near Deoksugung for over 10 years I went to work but this was my first time going in It was spacious and quieter than I thought I thought there would be a space like this in the city center When I get a little 
4,5.0, Visit the city art museum to see works The works floating in the pond were special 
5,5.0, Deoksugung night tour It rained a lot but it was even more interesting with the detailed history explanation from the Hanyang guide It was difficult to visit Deoksugung on a rainy evening but it came with a 
6,4.0, Always a nice place I need some more shade benches 
7,5.0,A beautiful and peaceful palace right across the city hall You can even see the changing of the guards for free at certain times everyday
8,5.0, I recommend going in the morning I went around 11 oclock and it was so hot that I couldnt move You can watch the changing ceremony at the main gate at 11 oclock 
9,5.0,Very beautiful imperial palace very well maintained
10,5.0,It is beautiful and giant
11,5.0, Remembering the footsteps of the last emperor of Korea Gojong 
12,5.0, Worth seeing especially if you have time for more castles than the two mustsees in Seoul 
13,5.0,Recommend guided night tour  
14,5.0, Beautiful and little crowded temple in the center of Seoul It is worth coming to see it 
15,5.0, It is a place where you can feel the modern history of Korea together with Deoksugung Hear the story of King Gojong It was a proud and happy time to look back on our heartbreaking history At night the lights were 
16,5.0, Where can I find it at such a low price Sometimes its good to stop by when youre working nearby and take a look The price is good and it is not expensive 
17,5.0, The palace in the building is restored forever and left behind 
18,4.0, We just saw the changing of the guardit was very interesting 
19,5.0, A wonderful place where the past and the present coexist 
20,5.0, A place where you can rest comfortably even for a short time 
21,4.0,To do
22,5.0, An old palace walk in the city center But the palace special less shade If you are going in summer be sure to bring a parasol Take it with 
23,5.0, It is quiet and the visit to Seokjojeon is beneficial To visit Seokjojeon you must apply online in advance 
24,5.0, You must make a reservation in advance to visit Seokjojeon 
25,5.0, I had time before going to Incheon International Airport so I chose Deoksugung which is the closest to Seoul Station It was good except that it was a pity that the City Art Museum was closed 
26,5.0, comfortable atmosphere Coexistence of Eastern and Western Architecture coexistence of the present and the past 
27,5.0, Beautiful palace great for relaxing by visiting a magnificent place The employees are very nice and friendly 
28,5.0,I had an incredible day walking around the palace Its beautiful to see all the people in traditional dress to take pictures
29,5.0, A place to forget the midsummer heat where we can find our soul History teaches us a lot 
30,5.0, Its good to stop by the nearby city art museum The comfortable smell of wood the colors everywhere are attractive 
31,5.0, Since it has not been restored yet you may think that it is more flat than other palaces and lacks much to see It seemed to show the pain of our history in its own way 
32,4.0, I did not know that there were stone buildings in the Joseon Dynasty The fusion of East and West was unique 
33,5.0, Its cool and pretty when you come at night If you are a lover I would recommend wearing hanbok 
34,3.0,The entry tickets are only 1000 Won so its definitely worth a visit 1 Its open until late in the evening but if you get there past 1630 or 17 pm there are no english tour guides available And without a tour guide you cant 
35,4.0, Deep sympathy for the explanation of the path of King Gojong 
36,5.0, great If you go on a weekday it will be quiet and healing Free admission on the last Wednesday of every month 
37,5.0, I want our old couple to look friendly I think its funny that the daughter who takes pictures from behind the awkward comrade haha 
38,5.0, It is a place where you can feel calm and walk It is recommended to sit at a cafe in the palace and bruise 
39,5.0, After all visiting an old palace makes me feel like Im in a dream house Just imagining that I was possessed by a king in the past and spread my wings with my own thoughts hahahaha My son pretending to be a prince 
40,5.0,Unforgettable
41,4.0, Noise from various groups protesting around the adjacent Seoul City Hall Annex So there is no atmosphere of an old palace 
42,5.0, It is a good place for a short walk in the middle of the city center 
43,5.0, Another attraction from Gyeongbokgung Palace A place to relax in the city center 
44,5.0,Its such a beautiful palace with plenty of areas to walk around Its not as big as some other palaces but its definately a place i recommend I went Wednesday not realizing that the last Wednesday of every month is Culture Day which means its free admission day
45,5.0, It was more interesting to listen to the teachers story 
46,5.0, there was an orange ant I was really surprised A Japanese guy said he poisoned his coffee to kill King Gojong 
47,4.0, There are a lot of group tourists at Deoksugung Palace at night I like to bruise 
48,5.0,Good
49,5.0, our precious heritage A place where you can experience the present and the past at the same time 
50,5.0, Its nice that you can watch it for 1000 won You can sit and listen to the sound of the water 
51,5.0,Traditional and modern palace in South Korea Othoniel was been there 
52,4.0,You must go and see this beautiful palace
53,5.0,Mt trong nm cung in nht nh phi gh thm khi i du lch Hn Quc
54,5.0, Deoksugung Pond Rose Cell Othoniel Artwork Garden and Garden 
55,5.0, The teacher explained it in a fun way so it was fun and there was a time to take pictures so I took a lot of pictures 
56,5.0,Nice small with ample greenery
57,5.0, We recommend visiting with a cup of coffee at dusk Bring your garbage back 
58,5.0, The night program of Seokjojeon Hall is in progress and I was not able to attend because I had to make a reservation but I was happy that there is a wonderful historical palace in the middle of the city and that it 
59,5.0,"If you want to experience the aesthetics of modern architecture that permeates Seoul, it is a good place to take a walk.     "
60,5.0, It is a palace in the modernization period where you can see both Eastern and Western architecture at once and it is a suitable place to look around alone 
61,5.0,This place is so calm  peacefully I wanted to make meditation when i walking around
62,5.0,This is a must visit location stunning and so wellmaintained artifacts and buildings so homy they hadhave underfloor heating you would like you could live there
63,5.0, Although Daehanmun was under construction it was nice inside Deoksugung There are places to rest in the scorching sun and I definitely want to make a reservation for Seokjojeon someday 
64,4.0, Monuments preserved well maintained There are also performances that retain the old system the handover ceremony is very exciting and it also attracts tourists The parks ancient houses and 
65,5.0, It is a beautiful and friendly place in the middle of Seoul 
66,5.0,Peaceful place
67,4.0,The place is definitely worth visit You can sense the tradition there There is good information available for tourists about the history of the place
68,4.0, If you make a reservation to see the inside of Seokjojeon you can hear an informative commentary for free The interior of Seokjojeon is very pretty 
69,5.0, The palace is located near City Hall station exit 2 entrance fee 1000won The stone wall road next to the palace is so beautiful 
70,5.0,Another great cultural institution in Seoul Loads of beautiful and interesting buildings well maintained
71,5.0, It is a quiet palace Be sure to visit it The area around Deoksugung Doldamgil is also very pretty 
72,5.0, Its a beautiful place Especially in the evening on a clear day its quiet so its good to organize your mind 
73,4.0,Very nice palace in a huge space near center of Seoul Cheap entrance fee 1000 KRW Clean toilet
74,5.0, A space where you can take pictures of the present past and future in one picture 
75,4.0, places to visit I cant enter Seokjojeon because I go too late If you want to see the night view go 
76,5.0, Its nice to have such civic resting places and relics in Seoul 
77,5.0,Very nice palace well preserved in the middle of the city
