,STAR,CONTENT
0,4.0,The new look of Gwanghamun Square The road for cars and buses became so narrow maybe can make some of the ppl worry of the traffic jam Instead the square became so wide that ppl can relax here There are some chairs to relax And now in the summer there are two spots of water fountain where kids can play with water to overcome the heat This square is connected with subway statiom Gwanghamun At night they turn on the light and the square become more attractive
1,5.0,The activity center of Seoul Essential This whole area
2,5.0,It was reopened 3 days ago Children are able to play in fountain Many places to sit and rest
3,5.0,Honored to attend the opening day of the square after 2 years of repair
4,5.0,An important place for Korea in terms of both a public gathering space and honoring history
5,4.0,Square where demonstrations and events are held
6,4.0,A rectangular square from north to south in front of Gwanghwamun in the center of Seoul The avenue previously passed through the center and is currently being renovated to move the road to the east side of the square This is the most important social political and cultural activity area in Seoul It not only gathers a large number of political demonstrations but also hosts cooperative cultural and sports activities
7,4.0,Der Gwanghwamun Platz ist eigentlich immer einen Besuch wert Momentan Juni 2022 ist ein Groteil des Platzes jedoch eine riesen Baustelle Vor Jahren war der Platz bereits eine Riesenbaustelle als dort der Fugnger Bereich in der Mitte neu aufbereitet und modernisiert wurde Nun werden auf einer Seite die kompletten Autofahrbahnen gegen Parkflchen ausgetauscht Fr Autofahrer bedeutet das in Zukunft deutliche Beeintrchtigungen und fr Fugnger eine deutliche Verbesserung  Bis dahin ist der Platz jedoch kein Platz an dem man lnger verweilen mchte Leider habe ich nicht mehr im Kopf bis wann die Baustelle dauert
8,5.0,Currently under construction but you can still see the monuments Wouldnt attend at the moment for pictures though not sure when construction is due to finish They turn the lights off at the Palace at 11pm
9,5.0,The music was excellent
10,5.0,A place where you can take in all of the Gyeongbokgong palace entrance Its a wide space with lots of history vibes around A walk on a Sunday day around this square is highly recommended Not now maybe because of the construction work but definitely after it
11,3.0,There is currently a construction site all around
12,4.0,A nice open space with good views of the gates of Gyeongbokgung Palace Sometimes they have things set up here When I went there were lots of ice sculptures made to look like penguins which was nice to see if you are going to Gyeongbokgung Palace then I recommend going here to take pictures of the main gate area You just have to time your photos to avoid the cars and traffic on the road
13,4.0,It is even better if know who were King Sejong and Admiral Yi google it ;
14,5.0,nice place to visit plus the surrounding
15,5.0,Center of seoul
16,5.0,I could realized how many people were here holding candle lights to achieve democracy peacefully I wasnt here at that historical moment but the wide opened square and the big ancient gate made me picturing the size of the demonstration That made me goose bump for a while
17,2.0,During this season the autumn colors are very beautiful
18,5.0,The landmark of Seoul where many moviesTV series were filmed the bronze statues of King Sejong and General Yi Sunsin
19,5.0,They are finally moving it to one side Before there would be road on both sides which meant having to cross the street to get to the plaza Now they moved it to the left if you are facing the palace and the road is on the right Its a must visit place in Seoul where you can learn about Lee Sunshin King Sejong and access to the palace
20,5.0,The big place so many people come to here There is high building a lot and a big Korea King center
21,5.0,Good
22,5.0,Very downtown
23,5.0,Good and Thank you
24,5.0,Very nice with a lot of things to do  Luckily didnt get wet from the water fountain
25,5.0,The best spot for tourism in Seoul
26,5.0,A great walk with interesting statues to gaze at
27,4.0,Sightseeing spot standard
