,STAR,CONTENT
0,5.0, It was too hot to walk around properly but there are experiences and cafes so its perfect to go when the time is right 
1,4.0, Very good rebuilt nice care If you rent traditional dress for little more than the entrance it includes the entrance to the site and it is a nice memory in the photos 
2,5.0, Beautiful palace complex cheap entrance fee 3000 won It has a small coffee 
3,4.0,This is my second visit to the palace  July  August is the rainy season and in our first two days in Seoul it rained continuously for the entire day and you wouldnt want to visit on a rainy day as there is very little shelter to be 
4,5.0,Amazing and huge
5,5.0, It is heartbreaking to know that the Japanese imperialists forcibly demolished it and sold it to the general public 
6,5.0, Today I visited the Gyeongbokgung Palace parking lot through a search very satisfied 
7,5.0,Very Beautiful place I like it
8,5.0,You enter for free if you are wearing a traditional dress
9,5.0,Great place for sightseeing  please take about 15hours to walk aroundand it might be wonderful in snow season
10,5.0,Loved seeing the buildings so often appearing in the Kdrama period pieces
11,5.0,A nice place to visit and see Koreas historical place It is one of the largest Palace in Korea still keep intact There is even a museum situated next to it As we were on tour package we got the chance to wear Korea ancient clothes and went tour around the Palace It seemed we had travelled back to the past
12,5.0,This is a beautiful palace that I highly recommend you visit when in Seoul Seoul has a lot of beautiful palaces and this one should definitely be in your must see list
13,4.0,I felt history
14,5.0,Beautiful worth a quick 1h max visit
15,5.0,What a wonderful and peaceful place
16,4.0, Superb place which unfortunately is not really authentic because the Japanese had destroyed it Korea since the end of the 19th century has been trying to rebuild it identically A really nice thing the fact of 
17,5.0, Gojongs story is enough Please take a tour and listen 
18,5.0,Worth a visit My daughter loves Korea
19,4.0, It seems to be the first time I have visited so it seems that the building and facilities are not inferior in terms of grandeur and the best palace in Korea 
20,4.0, It is a good place to take a walk while exploring historical sites in a quiet place even on weekdays The changing of the gatekeeper is also worth seeing 
21,5.0, I lost 2kg after going to Gyeongbokgung Palace on a hot day Admission fee 3000 won Take a cup of coffee and escape the heat at the National Museum of Korea right next door 
22,4.0,It was good to find Gyeongbokgung after a long time
23,5.0,Amazing culture its a must 
