,STAR,CONTENT
0,5.0,super place for fruits and vegetables
1,4.0,I really like that there are vegetables fruits everything I want
2,3.0,The biggist Traditional market in korea
3,5.0,It is a large market used by locals and has a large number of vegetables dried fish fish fruits and fruits Very convenient transportation near the subway station which is cheaper than the Nandemun market which you wont get tired of for hours There are many restaurants in the market
4,4.0,Good
5,5.0,Best place for foreigner as well as local people to purchase fruits and vegetables spicesdry fruitsmeat etc at the same placecheap and valuable for moneyits better to purchase from here rather than form mall mart Its pocketfriendlygo and shop as per your likes
6,4.0,wonderful opportunity to experience the local everyday life
7,5.0,The best
8,4.0,The market sells many things not only drugs However a lot of bargaining is required
9,5.0,must go and look around yummy food all around
10,5.0,It is one of the largest in Seoul and there is only a market so it has a wide selection of people and the best number of people
11,3.0,Reasonable prices
12,4.0,Full range of mushrooms cultivated ginseng and nature at very good prices
13,5.0,Its a very good market to buy almost all l Kind of food
14,5.0,Gooooood
15,5.0,I always visited the place for fresh vegetables and fruits The place is also popular as traditional market of seoul The fruits and vegetable are available in real reasonable price
16,3.0,Good
17,5.0,Cheap and Good Quality Parking really needs big improvement
18,5.0,My most favorite market for buying fruits and fresh vegetables Reasonably priced and the quality is super too
19,3.0,Good
20,5.0,Very busy
21,4.0,There are various kinds of vegetables fish fruits and meat It is recommended to come and stroll around The price is reasonable and cheaper than a separate store outside
22,5.0,A lot of vegetables and fruits are available here
23,5.0,Every thing is here
24,4.0,The market is very big and has everything you need It is very affordable to shop around Some stores are closed on Saturdays and most stores are closed on Sundays but the openair stores are all open There are so many people during the festival
25,5.0,Little market
26,5.0,This is a traditional market in Cheongnyangri Dongdaemungu  Many agricultural products seafood and meat can be purchased at low prices  It is close by getting off at Cheongnyangni Station or Jegi Station on Subway Line 1
