,STAR,CONTENT
0,5.0,GOOD
1,5.0,A beautiful cathedral that conveys the history of Christianity in Korea
2,3.0,Nothing that will blow your mind but it is interesting to see a European style church in the middle of modern Seoul They kind of trap you at the top courtyard and its hard to find the way out however
3,5.0,The recorded Christian music is a bit strange and the church loses authenticity as a result Apart from that its not a mustsee place for Europeans
4,3.0,There is a very big church in the center of Myeongdong There are quite a lot of sites and it seems that there are various facilities It was said that only believers should enter the shrine disappointing
5,5.0,Beautiful church and experience Be respectful and quiet when visiting as people are praying Go to TajIndian restaurant across the street for a meal after
6,5.0,We heard anticipated Sunday Mass at 6pm Saturday evening The mass was solemn But most importantly the choir sang beautifully during the mass Everyone was required to wear face masks while inside the church
7,5.0,Stunning cathedral
8,5.0,The church looks very beautiful and splendid
9,5.0,Truly devoted parishioners and pilgrims They seem like they live their faith to the scriptures Parishioners and some visitors seem they go with faith and hope and when they come from the church they look like transformed in a very positive way They seem faithfully committed The place is simple but it makes it majestical Bus and train accessible Lots of stairs for the one who come by the front  Wheelchair accessible by the side of church  Small Chapelle on the basement The best part is that Jesus Christ is present if you listen carefully with your heart   Point yourself towards the Altar English language Mass on Sundays Nuns and priests are welcoming Confession in English available every day
10,5.0,Largest cathedral in Korea
11,5.0,Holy danctuary
12,4.0,The time of the opening of the Grote Kerk is not well indicated unfortunately We have now been to small chapel Out of respect for the others no pictures were taken
13,5.0,Peaceful and quiet place in a busy city Beautiful cathedral and surroundings Recommended to visit
14,4.0,MyeongDong Cathedral is a real haven of peace in the heart of Seoul a bustling city par excellence And the presbytery will give the impression of being in the middle of Europe and not in Seoul An architecture that clashes but that soothes
15,5.0,Gorgeous
16,5.0,Beautiful place to 
17,5.0,English mass service at 9 am
18,5.0,You can find information about Mass times on the website There is one English mass on Sundays 900 am This Cathedral is so beautiful inside
19,5.0,Wonderful
20,5.0,Very welcoming and the locals make you feel at home
21,5.0,Beautiful Cathedral
22,5.0,Religious and historical place
23,5.0,Worth seeing Our Pope JP2 was also here
24,5.0,the most famous cathedral in Korea Located at the center of the Seoul city so you can easily get to the place
25,5.0,Lovely place with a lot of history Their holiday events are well worth the trip to see
26,5.0,It doesnt feel the same during the day and night and the church building is beautiful Every piece of glass is a work of art If you come here it is recommended to take a walk around the church But there are just too many people
27,5.0,Its a beautiful cathedral If you come to Myeongdong you should come there at least once Although its religious establishment it is a historic place that contains the modern and contemporary history of Korea
28,5.0,It was cold but the visit was worth it
