,STAR,CONTENT
0,5.0,Street food and shopping
1,4.0,always a symbol of Seoul though lots of shops closed Myeongdong is still a fun place to be
2,5.0,Convenient place for shopping
3,5.0, One of the famous streets of Korea If you want to take a walk in the evening do some shopping then you are welcome 
4,5.0,It was crowded with people of various races 
5,5.0,Great place to walk at night to check out the street vendors Lots of food vendors Its of course very touristy but I cant deny the good times I had with my family here Lots of good street food I highly recommend the chicken kabob 
6,4.0,Not as many as before
7,4.0, Its not as lively as in the old days but a lot of people have increased There are still many empty vacancies 
8,5.0,Nice place for sight seeing
9,1.0,So many shop are empty or move out Not as crowded as before covid started Really pity to see this pandemic cause so much different
10,1.0,I got here by 7pm Everything is closing Just wasting  time
11,4.0,Not too crowded for nowadaysthisperiod  mayjuly2022
12,5.0,lots of goods
13,4.0,Nearby Hotel have roof top coffee cafe
14,3.0,A lot of shops crowdy for shopping afficionados ;
15,3.0,Its cool
16,3.0,Sadly changed a lot after COVID with a number of retail places out of business
17,5.0,Really relaxing atmosphere with really nice hidden shops and restaurants
18,5.0,Cute cats nice host drink included And very clean
19,5.0,cool
20,4.0,Nice clean streets lots of options for food shopping kitschy things
21,5.0,I heard a lot about covid shutting this place down but though I never visited precovid its definitely up and running now Every shop you could possibly need starts here from Zara to dalgona stalls it 
22,3.0, It was a pity that I didnt have the flashiness of the past Due to the corona virus the attractions in Myeongdong have decreased a lot 
23,5.0,Beautiful shopping experience and very good street food
24,3.0, I didnt feel like I was before Corona Those who go thinking about that time will not be disappointed 
25,2.0,Likely due to COVID19 meausures Myeongdong is past its heyday now Many many closed shops I wouldnt bother going there as things are right now
26,3.0,On the positive side its not too crowded now but that is because there are so many empty store places It gives it a bit of a getto feel Weird because the businesses that are still there are the big companies like Nike etc So certainly not what it was four years ago I hope it picks up
27,4.0,Sad to see that MyeongDong shopping street is not as bustling as before due to covid situation Manage to come to this street for a visit ever still travel restriction relax 
28,5.0,Happening market place ij seoul Must visit
29,5.0,No 1 tour place in Seoul
30,4.0,Good place for shopping and street food
31,5.0,This is the best shopping paradise in Korea
32,4.0,quite a number of food stalls nearby brisk walking ot window shopping is the best excercise you can do after eating fried chicken with beers
33,5.0, There are a lot of shops of different price categories Its amazing how so many buildings fit in such a small area A very colorful place is a must for the room 
34,3.0,COVID has changed the shopping landscape completely with almost all beauty shops shuttered with the exception of Olive Young Feels like a ghost town Lots of construction noises though so hopefully they will reopen in the near future 
35,5.0,Best area for tasting local food and some very good shopping area The street gets really busy in peak hours
36,4.0, Seoul Myeongdong A shopping street full of various brand shops and a lot of various restaurants 
37,4.0, Before Corona it was very crowded but now a lot of business places are closed Street food sales have also decreased a lot Its too quiet 
38,2.0, After Corona many stores are missing so there is nothing to see and nothing to shop 
39,4.0, Myeongdong street like never before Stores closing one by one No tourists due to corona 
40,5.0,I enjoyed the walking with my family
41,5.0, The church is good and I am satisfied with the spring outing 
42,5.0,Delicious food Thai restaurant
43,5.0,Super nice
44,1.0,most stores closed the door but peoples are there I think most of them are just workers working around here and going for a walk around after lunch which means they are not shoppers
45,3.0, Its a street in Myeongdong that I havent been to in a long time but all the commercial areas are dead 
46,5.0, Myeongdong street is not like it used to be I hope you can get back to your daily life as soon as possible 
47,5.0, In February 22 22 almost all firstfloor shopping malls were closed due to the longterm impact of Corona and many buildings were vacant 
48,3.0, Its too bad the streets are quiet and there are too many closed places Its not the romantic street it used to be Im upset 
49,5.0, Its a weekday so its not crowded and its cleaner than I thought 
50,3.0, Empty stores and a small number of street vendors When will the former glory be TTTT 
51,5.0, It was the first time I visited since Corona and the business district was so sad that it died Hope you recover soon 
52,3.0,Dont plan to go there during national holidays like the Lunar New Year 90 of the shops and restaurants were closed On the good side at least it wasnt crowded We just happened to be there not planned and just realized that nothing to see
53,5.0, It looks quiet due to Corona but it is still a friendly place with many places to go and things to see 
54,5.0,Cosmetics heaven for ladies best discountsMust visit in Seoul for shopping
55,5.0, Its free because of covid 19 Its really nice to walk around Myeongdong Cathedral for a while 
56,4.0, Clearly a lot of business areas have died since the pandemic I hope it will end soon and the streets will be lively 
57,5.0, Myeongdong Street No1 We hope that we will soon be free from corona and ultramicrons and show a lively appearance 
58,5.0,Probably my favorite part of Seoul You can leave me here for a day and Id be OK  Tons of streetfood choices Cheesy grilled scallops candied Strawberries red bean pancakes theyve got it all My o ly regret is that I shouldve made 
59,4.0, The number of shops and customers decreased a lot due to the corona but I am glad that it seems to be coming back little by little My favorite Myeongdong Kyoja here is still good business 
60,4.0, It is a pity that the once glamorous street is now quiet 
61,4.0,Nice place for hanging out in the evening for shopping or street food hunting Branded stuff and local one are available here From cosmetics to fashion
62,5.0,So much has changed due to COVID19 but this place is still iconic and special somewhere I always bring visiting friends and newcomers
63,5.0, Myeongdong has a lot less people coming and going because of Corona but still It is still Myeongdong 
64,4.0, Due to Corona there were fewer people on the street than before and many street shops were closed I look forward to the time when the bustling Myeongdong comes to life again 
65,5.0, Damage caused by COVID19 Its sad to see a closed business 
66,2.0, The Myeongdong I visited for the first time in 4 years was not the Myeongdong I knew 90 of the market was dead 
67,3.0, It seems that the Chinese people dont come so its getting worse and worse 
68,5.0,The festivities begin to thrive
69,3.0, A town full of for leases  Now even if I go the bitterness remains rather than the joy 
70,1.0, A holiday street in Myeongdong that makes you feel intimidated On a street full of foreigners and lively there are a few poor food stalls and empty buildings looking for rentals adding to the eulsans charm 
71,1.0, Its completely ruined 80 seems to be ruined Its worth taking a look at it for a different purpose 
72,5.0, I could feel why Myeongdong is a representative tourist attraction in Seoul In a time when everyone is having a hard time with the corona virus Myeongdong is full of people 
73,2.0, Myeongdong was hit by the direct hit of Corona 19 so there were too many empty stores and there were few people so it felt like an old man 
74,5.0, Oh my gosh I went Its not the old Myeongdong you are so quiet 
75,3.0, I went to Myeongdong Cathedral I was walking down Myeongdong street as I was coming and I was passing a clothing store that sold 39000 won shirts for 4900 won I cant climb 
76,3.0, Many stores were empty and there were not many people so it was quiet I hope the corona virus will end and we will go back to the old days 
77,5.0,There are so many places to eat drink and shop
78,5.0,A place where you can easily find what you are looking for
79,3.0, Coronas impact is huge More than half of the rental shops are disappointing 
80,4.0, I didnt shop in these few this time There were a lot of people when I went so I didnt enter 
81,4.0,Still recovering from COVID sparse street vendors
82,4.0, The number of people has definitely decreased compared to before In particular I havent seen a single foreigner 
83,4.0,Its not quite what it used to be Many of the small shops are out of business due to the lock downs in response to COVID Its still fun to visit clean and has an air of hope that it can return to its former glory
84,5.0, I was upset because there were so many empty stores  I visited to remember my 20s 
85,5.0, with the corona pandemic Its difficult for foreigners to enter so most of the three stores are closed so its hard to eat 
86,3.0, Its sad that there are fewer people on the street than before 
87,1.0, Myeongdong which used to be colorful and lively seems to have disappeared 
88,4.0,So many shops to go around to Most are skin care shops but there are also convenience stores clothes shops souvenirs street foods shoe shops and money changers 
89,5.0,Great
90,5.0,Myongdong
91,5.0,I feel so sorry who was doing business in myeongdong  Almost 70 shops are closed  Looks like Gosht Street
92,3.0, The fortress is quiet Please return to the splendid and rich days of the past 
93,3.0, There were a lot of vacancies but there were a few people 
94,3.0, Due to the corona virus there are fewer people But still messy 
95,5.0, Nowadays there arent too many people 
96,4.0,An amazing experience to walk around at the place
97,2.0, I felt lonely The glamorous days of the past are colorless 
98,5.0, A lot of stores are missingbut the Myeongdong street of memories 
99,4.0, I stopped by to eat Myeongdong Kyoja Kalguksu after a long time The splendid and crowded streets of Myeongdong are even saddened as if they 
100,1.0, Due to Corona the business district is completely Im sad 
101,4.0, Unfortunately Myeongdong has become so lifeless now due to the corona crisis It seems to have changed so much that it has become more of a foreign tourist attraction so when a situation like Corona happens it 
102,3.0,emptu
103,5.0, There are fewer people than before Corona but it seems to be getting more lively 
104,5.0, All facilities and products are good and the quantity is good 
105,5.0,Nike
106,2.0, Particularly touristy area with shops targeted for them To walk around and discover your first shops the district is interesting However for shopping I particularly advise against The sales techniques are 
107,5.0, Seoul Nike is really big and there are plenty of things to see Its enough to spend half a day in a hurry 
108,5.0, It is a place where you can feel the aftermath of the corona pandemic Foreign tourists are disappearing and only empty shops are appearing one after 
109,5.0, I wish the corona would end soon and it would be crowded 
110,5.0,Ideal to buy
111,3.0, at the Catholic Hall Had lunch with a friend 
112,5.0,this place offers a lot of things from beauty products dress shoes and foods
113,5.0,Good to have dinner
114,5.0,Amazing for shopping foreigner friendly Now during covid is it almost deserted
115,3.0, There are not many street vendors due to a decrease in tourists 
116,5.0,The best place in Seoul
117,5.0, This is so neat Replying to Jackson 
118,3.0, Myeongdong Manhattan Shinjuku 
119,1.0, I feel bad because there are a lot of empty shops in the aftermath of the prolonged Corona Myeongdong Kalguksu Gyoja is booming even in Corona and the service at the price is a bakery _ 
120,5.0, Myeongdong is one of the largest shopping centers and also one of the main tourist attractions in Seoul City 
121,5.0, Hi  The street is very lively there are many foreign tourists cafes restaurants shopping centers Nearby is Myeongdong Cathedral 
122,3.0, The streets are quiet and many shops are closed I hope that the corona virus will calm down soon so that it can be transformed into a lively Myeongdong street 
