,STAR,CONTENT
0,4,Shopping heaven but not many signboard for direction
1,5, Namdaemun is often used because of its variety and low prices 
2,4, There are many things to see and it is good Cool in summer warm in winter Namdaemun Market has a special charm 
3,3, It is a traditional market for a long time and it was good to have delicious braised cutlassfish and grilled fish 
4,5, Its always good to walk It has a wide variety of clothes and accessories Jewelry and good and cheap food 
5,3,It is one of the most famous fish markets
6,5, I stayed in Seoul this time so I stayed near Namdaemun Market When I had time I went to Namdaemun Market for a walk but I felt a bit regretful because I was still less energetic than before because of the 
7,5, cleaner than ever A lot has changed 
8,5, The weather is hot and the people who work hard are amazing I went back and forth to look for missing accessories There were not many 
9,4,Popular market with tourists
10,5, The boss is friendly Instead of forcing it you listened to the customer and made the choice by understanding and explaining from the customers point of view 
11,4,This is a huge market where many international items like imported foods are available tho expensive still
12,5,Underground market ive loved it
13,5, Market where you can find everything especially vitamins 
14,3,Too few items for sale
15,4,Its like a Sampeng but much bigger
16,5,there is so much to see very interesting place
17,5,A bit of everything nice ride
18,5, Its all over the place There are a lot of people again 
19,4, Nice place to just take the idea and take a walk I cant find anything special to buy 
20,5, It is huge there are everywhere It is not necessarily a market as we understand it elsewhere There are several blocks of buildings each 4 or 5 stories tall on either side of the street There are shops 
21,4,You can enjoy various things
22,5, After visiting after a long time I looked around the market and ate delicious braised cutlassfish and grilled samchi Today too Delicious braised cutlassfish and steamed egg 
23,5, I ate braised cutlassfish and it was all delicious Unfortunately there was no seat so I ate alone in the corner 
24,5,Very good place
25,5, The accessory shop near Exit 6 of Hoehyeon Station is cheap This is a restaurant that only sells meat and kimchi steamed dumplings 
26,4, Go to Namdaemun Market Flower Market and buy artificial flowers There are various types and they are cheap ranging from 1000 won to 3000 won 
27,5,Yum yum plenty for all Food and stuff to please all sorts But the Egg Maca Chou was my favourite Not to be missed
28,5,You can find anything but a more touristy place
29,4,Organized chaos is the most apt description of this space It is packed with vendors and with  a little searching you can find pretty much anything you are looking for
30,5,Its cute and a lot of friendly people
31,5, A place where you can buy all your daily necessities at the price you want 
32,4, There were few people coming to the market due to the corona virus but lately people seem to be coming back here and there Peoples faces are bright and the smiles spread across the faces of the 
33,5,Came to hairtail alley to try braised hairtail stew They alley has dozens of restaurants all selling the same dish I just picked one where the staff seemed inviting Delicious stew but beware of small soft bones
34,1, Imitation Heaven But this is where I go to buy imported sheep to make highballs 
35,3,Characteristic
36,2, It is still a complex place and it feels like a major accident is bound to happen Still there seem to be many people who want to taste the traditional market 
37,5, Braised cutlassfish dinner at the alley It was nice to go to Namdaemun after a long time 
38,5, Its a place I go to often I went to buy a present for my mother and girlfriend 
39,5, I came with my glasses on but there will be more and more foreigners 
40,5,Affordable stuffs to buy
41,5,You will find everything and at a great price
42,5, I just like it There is a smell of life and there are many restaurants 
