,STAR,CONTENT
0,4.0,Not bad
1,5.0,Heartbreaking stories of the patriots Well worth visiting entry is free
2,4.0,Interesting Too bad that there was little  no information about the liberation by whom and some other details
3,5.0,Good for a Sunday walk Much can be learned about the freedom fighters in Japanoccupied Korea Many atrocities were committed here and many people were tortured very harshly
4,5.0,It was an incredible experience thanks to FunDayKoreacom with a concert actors telling the history of the place it was really incredible day  But of course the places is awesome and you can visit by your own and have a great experience
5,5.0,Excellent warimperialist history exhibit If youre an English speaker I recommend downloading the app to listen to more information about the exprience of the prisoners
6,4.0,Recommend to visit The venue is huge and there are many buildings to visit The sun is shining the buildings are grand and Japanese architecture has a sense of beauty If we talk about the shortcomings the wooden prison on the second floor is not open and the other is that there is too much light in the building which makes the interior of the building very bright without the dark and gloomy feeling of the prison under Japanese rule haha
7,5.0,This is not a comfortable museum to visit The experience is sometimes disgusting sometimes horrifying Its the perfect reality check for people who have forgotten what cruelties humans are capable of
8,5.0,Interesting place
9,4.0,Awesome and worth the price
10,5.0,The cultural heritage I choose is seadaemun prison Seodaemun Prison is located in Seodaemun histoy hall251Tongil road seodaemungu in seoul Admission fee to seodaemun prison is 3000won for adults 1500won for teengers and 1000won for children Seodaemun prison is famous as the prison where martyr Yoo gwan soon was imprisoned so there is a place where Yoo gwan soon is reproduced and there is a large taegeukgo photo zonr Overall the advantage is cheap admission fee and a lot of attractions and the disadvantage is that if you are not interested in history you shoul have a boring time
11,5.0,Best historic site ever English Japanese available
12,4.0,Seodaemun prison is the place where korea anti Japanese activists were imprisoned and tortured It is located in Seoul and you can find it by walking out of Exit 5 of Independent Gate Station Seodaemun prison is open from 900 to 1830 You have to make a reservation on the internet to enter the place Admission is 3000 won for adults 1500 won for teenagers and free for senior citizens and people of national merit In the main buildng there is an exhibition hall about independence activists during the Japanese colonial period It takes two hours to look around this place There is a place that depicts the death penalty or a space that reproduces torture so you can feel it vividly You will understand well if you download the app and watch it while listening to the audio explanation Seodaemun prison is a valuable palce to understand the history of Korea
13,4.0,One time you can go to get acquainted with the history
14,5.0,Very important place
15,5.0,It is a good idea to take the opportunity of this tour to study the history of Japan and South Korea I myself had the opportunity to find out if Koreas history education for Japan is true The one I put out as a reference photo was taken by me from what was on display around 2006 It shows the state of torture by the police I think its because it turns out that the fact that its changed to something else now isnt true or is too exaggerated It seems that Ryu Gwansun will also be awarded the Order of Merit for National Foundation Republic of Korea as an independent martyr but there are various theories about her and it is said that it is based on the facts from each one It can be said that it is in a difficult state  I hope that the hindrance to friendship between Japan and South Korea will create an atmosphere that will be examined again
16,5.0,What I like about Korea is the way they tell the history in interesting way I do recommend you to watch some movie reference before coming here so you can take the time machine through the tour  I also bought souvenir here it is kinda expensive but I think it is worth it
17,5.0,Memorial place
