,이름,별점,리뷰,날짜
0,Traveller of the world,4.0,"Not a must but worth stopping by if in the area.  I was doing the Seoullo 7017 walk.  Free.  This is one of the main gates of the Fortress Wall of Seoul.  After you have seen one, they all start to look the same.  What I did like though was the information boards (mainly photographs) showing how the gate had changed over the years.  In the early days, there was one photograph with a mode of transport (can't remember what it was) going under the gate and what appeared to be market stalls surrounding it.  Very different to now.  Looking at the gate you could imagine what it was like then, almost being transported to another era.  You don't need long, ten minutes at the most.  As I said, not worth a special trip unless your really into history and architecture.  If you come by subway from Seoul station, take exit 5 or you will walk all around.  Seoul station is one of the main stations and it's huge with multiple exits","Written May 31, 2022"
1,CanisHan,4.0,"C ( 20.12.16 ) This architecture was one of landmark in Seoul, and National Treasure No.1. There was not big area, but understood about Choseon's architecture shape. There was very good point to start Seoul tour, and Namdaemun traditional market was located beside this architecture.","Written December 20, 2020"
2,Janet1016,5.0,"One evening while walking around the Namdaemun Market looking for a place to eat dinner, we walked out a back alley and found the Sungnyemun Gate in all it's glory right across the street. It was surreal really, and a stunning piece of architecture.  Sungnyemun Gate (literally meaning 'the gate of exalted ceremonies') was built between 1396 and 1398 and has been repaired and restored on numerous occasions over the centuries. There used to be four main gates to the city (which used to be called Hanyang, and is now present day Seoul) We learned that if we came back the next morning that there was a 'Changing of the Guard Ceremony' performed for the Public. There is signage close by to tell you of the hours.  Sungnyemun Gate has a base of stonework with a half-round arch in the center and a gorgeous big door facing south. On top of that, there was a two-story wooden pavilion; the first floor of the pavilion was equipped with small doors on the east and west sides, and the second floor had wood-paneled windows on every side.  There are photos of the Gate taken after the Korean War when it had been damaged which are fascinating.  We showed up the next morning just in the nick of time. It was the end of January and there were only two other people there. The Guards are dressed in period uniforms from the Joseon Dynasty and it's really breath taking to get a sneak peek in to the past. A very nice security guard told us when we could approach and when we needed to stand back. They let us get up super close and I got some great photos. We were in Seoul during the Corona-virus scare so all the guards and staff were wearing masks.  We were in Seoul for a week and visiting this Gate and watching the Guard ceremony was definitely one of the highlights of our visit. (And it's free!!!!)  I love Changing of the Guard Ceremonies. I live in Ottawa, Ontario, Canada and have been to see the Changing of the Guard Ceremonies on Parliament Hill tons of times so it was really fun to get to compare with the Ceremony in Seoul. They too had a marching band!!!!","Written February 27, 2020"
3,ariel_latorre1969,4.0,Stumbled to this landmark after a visit to Namdaemun markets. Impressive structure standing out amidst tall buildings around. Typical historical site in the middle of modern Seoul.,"Written January 13, 2020"
4,ileannkneel,4.0,"The gate is right beside a 5 street intersection; the entrance to the gate is on the opposite side from the intersection. I wandered for a bit before finding it. Once in (which was quick as there is no admission and no one was around), it was quite impressive both to its sheer size and the fact that there is nothing preventing anyone form actually touching it. I would have thought that a national treasure such as this and being as old as it is, there would be heavy security and boundaries set so as to keep curious hands at bay. Not so. Feel free to touch away. And look up when passing through the gate. The murals in the ceiling are Sistine Chapel-like... ok, not really but still pretty cool.","Written December 6, 2019"
5,Aimilia,4.0,"Sungnyemun is one of the Eight Gates in the Fortress Wall of Seoul, South Korea, which surrounded the city in the Joseon dynasty. Located in the heart of Seoul.","Written December 4, 2019"
6,Nicholas D,4.0,"Just down the main strip from Gyeongbokgung Palace is a junction that spilts in several locations and in the middle of this junction is an ancient gate called ""Sungnyemun Gate"". It is part of the ancient city wall that surrounded the capital of Seoul in the Josean dynasty and is one of the oldest remaining features of the wall in Seoul today. It is a great place to visit on the way to Namdaemun Market and there are daily activities at the gate including Changing of the Guard ceremonies which occur daily every 2-3 times in the day. You can get some photos with the guards at the end of the ceremony which makes for some great holiday photos.","Written September 26, 2019"
7,Rumples,4.0,"Sungnyemum Gate, one of the four main gates in Seoul’s former fortress wall, dates back to 1398. But this South gate has been rebuilt many times with the latest completion occurring in 2013. I was exiting the Nandaemun Market at Gate 1 when I first saw the structure and wondered why it looked so new. Designated National Treasure No. 1, it stands across the street from the market on a big traffic island in a modern section of the city, known for its tall buildings. When I went to investigate, I was delighted to find free pamphlets in English that give the gate’s history from the Joseon Period until the present.  The gate features a stonework base, a two-tiered pagoda-shaped tile roof and a large archway in the center. A few guards in colorful traditional garb stood nearby and I soon heard distant drumming that came closer. It signaled the impending arrival of many men dressed traditionally in colors ranging from royal blue to bright yellow, complete with big hats and boots and carrying large flags. I had arrived in time for the free changing-of-the-guard performance at 11:40 a.m. Only a few others joined me, which was a welcome change from the huge crowds I encountered at similar productions held at Seoul’s palaces. After the short, less-than-10-minutes show, visitors could pose with the men for photos.  As a history buff, I really enjoyed my stop here and the lack of tourists. The gate stands between Seoul Station and Seoul Plaza. It can be accessed by Subway Line 1, Seoul Station, Exit 4 and Line 4, Hoehyeon Station, Exit 5. Closed on Mondays.","Written September 22, 2019"
8,Oldjack,3.0,"The Sungnyemun Gate was built between 1396 and 1398 and was part of the old Seoul City wall.It has been modified over the years and in 2008 the upper structure was destroyed by fire, but now restored. It is an interesting structure in a city mostly glass an concrete.","Written September 21, 2019"
9,emma,4.0,It's in the middle of a busy square full of cars. So it's good to see it when you are just passing by and catch a quick photo.,"Written September 8, 2019"
10,Luca C,4.0,"Better known as Namdaemun Gate, is one of the symbol of Seoul: One of the 8 gates of the seoul's Fortress. It was built in 1398 during the Taejo Reign. You can walk throught it and take pictures. It's interesting see an historical place like this at the center of traffic jam! You can take a quick visit before entering the Namdaemun Market.","Written September 2, 2019"
11,Mr C,4.0,This gate near Seoul Station is one of the last remaining gates in the walls of ancient Seoul. The gate is located on an island in main road. Best viewed from a distance.,"Written August 13, 2019"
12,Scott W,4.0,"One of the 4 main gates in Seoul, reconstructed many times most recently in 2008, Sungnyemun Gate is impressive and great for some photos, but not really much to do there. There is a changing of the guard to add some colour (I missed it, but had previously seen the change at Deoksugung - its only a 10 min walk from Deoksugung to Sungnyemun). It's a good place to start a visit to the Namdeamun Market (there is an underpass from Sungnyemun gate to the top of the markets. Worth a quick stop and photo opportunity. More photogenic than Dongdaemun Gate and easier to get a good angle.","Written July 14, 2019"
