,STAR,CONTENT
0,4.0, It is a street where the old and the new are in exquisite harmony and it is a place welcomed by foreigners and locals 
1,5.0, There are people in each store who can speak several languages so I thought it was Insadong 
2,5.0, I went to eat Taegeukdang shaved ice and got rejected so I went to the shaved ice shop on the second floor near 50m 
3,5.0, Its perfect for making stamps and buying gifts for foreigners such as bells and fans 
4,4.0,Too hot
5,3.0, Because it is a weekday there are not many visitors there are many empty stores 
6,1.0, The smell of people Street shops are interesting Prices are cheap I wonder if its because a lot of foreigners come 
7,5.0, mashita The atmosphere is nice but there are a lot of foreigners and not many people in the morning 
8,4.0,Evolving into an art district Traditional tea cafes are an added attraction for tired feet
9,5.0,The MOXY hotel is a great place to stay in Seoul  Insadong has so much to do and see and most importantly to eat The street vendors have amazing food  Most even have someone that can understand a little English  At least to order 
10,4.0,Wasnt as great as previous reviews I have read but I imagine that was prior to covid Seems to be buzzing a bit but expected more
11,5.0,A good place to grab souvenirs and anything you might have forgotten
12,5.0, Place I stopped by while walking around Nakwon Shopping Mall All the clerks were friendly and the tea was good Take a good rest in a large 
13,3.0,cute older area with artsy souvenirs shops and tea shopscafes
14,3.0,In many cases an overpriced area Tea and other locally produced items cannot be found easily
15,4.0,Place for tourists desperate for gifts
16,5.0,One of the best places for souvenirs
17,5.0,Lovely atmospheric street full of touristsfriendly shops and restaurants
18,4.0,Great place to shop and eat though it is very pricey compared to regular open markets due to tourism
19,4.0,Lots of shops some with truly special art most with more of the same  Good food choices
20,5.0, I think its a wellpreserved and worthwhile street in Seoul There are many restaurants and places to see especially in the alleys and narrow streets connected to the main road It is said that there was a lot of 
21,5.0, Ive been to Insadong several times but its oldfashioned and there are a lot of people coming and going and there are restaurants and shops around that seem to bring people together 
22,3.0, It is one of the representative tourist attractions in Seoul Prices and food are expensive 
23,4.0, its okay Service needs a lot of improvement 
24,5.0,Many interesting things great if you like to take pictures of out of the ordinary things and crafts
25,5.0, Its been a while since I went to New Years Eve and went to Insadong but again there were a lot of people and there were a lot of things to see and it was good I bought a bracelet from this place 
26,5.0, There are many companies nearby so if you go during lunch time you may have to wait a long time 
27,4.0,Not bad
28,5.0, Insadong street after riding Namsan Tower Gyeongin Museum of Art Healing Artworks by Kim Kyungi Windsurfing at Ttukseom Park 
29,5.0, Morning walk 900 Afternoon walk 1600 A street with traditional culture in the city center Its one of my favorite streets in Seoul where I often come to relax 
30,3.0, Koreas representative street comma in the city 
31,4.0, Also Insadong Its been a long time since I went so it was good to become a memory 
32,5.0,Its beautiful
33,5.0,Very famous area with palace Museum and Market to shop Drop by shops and have your pictures drawn for Souvenir
