,STAR,CONTENT
0,5.0, I went to an autograph session for writer Shin Kyungaes book Strange Albergue The cradle of knowledge When you come here you come across various ideas and logics I personally 
1,5.0,hwang hyunjin from stray kids was here and he talked about this book store then i searched for it and saw it so amazing
2,4.0,Manybookorder
3,5.0,Good place
4,5.0, I think it might be a business that best expresses the charm of a large offline bookstore 
5,5.0, It is spacious and has a lot of books and a lot of various things 
6,5.0, The overwhelming smell of Kyobo from the entrance makes me calm You can have a great time The sections are well divided 
7,5.0, All kinds of books stationery computer equipment and even the atmosphere of a bookstore  If you go to the Paris Croissant on the 1st floor and eat brunch on the weekend you feel like you had a good weekend 
8,5.0, A place I often visit A comfortable and happy feeling with various books and old memories is the place 
9,5.0, B1 Kyobo Life Insurance Building Jongno 1 Jongnogu Seoul Go to Gwanghwamun Station Exit 4 and go up the stairs there is a door directly 
10,4.0,Good selection  Needs more space to sit and a cafe
11,5.0, A place where you can always meet books with a happy heart Reading books is better than reading books in the library except for reading while standing 
12,5.0, There are various books and stationery and it is good as a summer retreat 
13,5.0, the smell of books The smell of Kyobo Bookstore No further explanation is necessary 
14,4.0, Thank you for the book you want to purchase However I had already scanned the barcode with the kiosk and paid but I was a little dissatisfied with the system in which purchasing a kiosk was meaningless 
15,5.0,Huge Nice selection of books and others
16,5.0, tell me what to do Its not as good as it used to be but its the best bookstore in Korea Stationery is very vast However the fountain pens are not very diverse Im proud that there are a lot of online sales 
17,5.0,plenty of foreign books and with reasonable price
18,5.0,The bookstore has more variety than my expectations Manage to find some English books there As a stationery lover I found there are many interesting items too
19,5.0,The biggest bookstore I had ever been to  Has a good sized foreign language book section with English and other language books
20,5.0, Still the best in Korea bookstore There is nothing 
21,5.0, Fan signing events for popular artists are also held frequently 
22,5.0, It was a bit inconvenient because it was being remodeled The pleasant Kyobo scent is good 
23,3.0, Not much has changed since I was a kid I felt like it was smaller than I expected In the past it felt like collecting and selling luxurious brands but now I feel like Im just bringing in miscellaneous things and 
24,5.0, A bookstore accessible to everyone A space that makes you fall in love with books 
25,5.0,One of the huge book stores in Korea  you can find almost all of kind books
26,5.0, It is easy to search for books and purchase them and when it is difficult to find them ask the staff and they are kind and helpful 
27,4.0, It is a large bookstore and has a wide variety of books and office supplies 
28,5.0, People make books and books make people Best bookstore in Korea 
29,5.0, As of 220722 during the renewal of Kyobo restaurant  Lots of people and reading books It should be recognized as the main store only 
30,5.0, You can easily find the book you are looking for through a book search 
31,5.0,Good
32,5.0, Two words are nagging best bookstore Staff are also very friendly 
33,4.0, After much effort I went to Gwanghwamun and stopped by Kyobo Bookstore to shop for books while waiting for my appointment time Books and people are overflowing 
34,5.0, First of all its cool  There are many types of books and many people 
35,5.0, A great place to go shopping with the kids on the weekend Just be careful about selling toys near the cashier 
36,5.0,Great bookstore with friendly setvices Got cafe and food section in the store
37,5.0, If you need a book go If you have time go There are also stationery and miscellaneous goods 
38,5.0, If you read this book from one book to the next in the book recommendation section for children who like books two or three hours goes by quickly 
39,5.0, Clean and very spacious bookstore Hot Tracks is good too 
40,5.0, Its a good place to read books and buy stationery with the kids 
41,5.0, good It boasts the largest scale among Kyobo Bookstore branches and has many people There is a lot to see and a lot of good books 
42,5.0, I recently visited Hot Tracks twice It was nice to be able to shop with a variety of products from stationery to gifts for granddaughter 
43,5.0, You can find many useful books Discounts are also available for members 
44,5.0, Okay the staff were a bit friendly Tendency to be late in answering a question 
45,5.0, Its a good place to go looking around because they sell a variety of things besides books 
46,5.0, The best book and stationery store I have ever seen Books stationery for every taste First books are divided by subject Secondly all the staff are very friendly and helpful They will be happy to tell you where 
47,5.0, The store is clean and there is a good selection of books It was easy to find each type so it was easy to find and in addition to books there was Kyobo Hot Tracks so the kids really liked it 
48,5.0, There are a lot of things and its cool and there are so many places to look around so its overwhelmingI recommend going at least once 
49,5.0, A large library bookstore located in Gwanghwamun A good place to use when you want to find a comfortable environment and various library There are also various albums and phrases 
50,5.0, Its really big and it doesnt look like its missing anything 
51,5.0, Bookstores are evolving into complex general stores Every time I come to this bookstore I feel cozy 
52,5.0, It is possible to go on a date or to watch alone A symbolic place not just to buy a book 
53,5.0, I think the best way to buy a book is to look at it offline 
54,4.0, There are many books and there are many books that are difficult to find elsewhere 
55,5.0,Amazing they had a cd shop inside and kept playing skz songs
56,4.0, The best bookstore in Korea It is a bookstore that has no shortage of spacious space convenient parking and friendly service 
57,5.0,They sell multilingual books including English and Japanese books Awesome collection They even sell sexy zone and King  Prince calendars 1010 recommended
58,5.0,      
59,5.0, When it was hard to go outside like these days I visited to read books I advised not to wear a mask so I used a mask as I did not normally wear a mask As always Kyobo Bookstore Gwanghwamun Branch runs an event 
60,5.0, It was spacious and wellorganized and above all I liked that there were many albums 
61,5.0, Absolutely wonderful bookstore A resting place for body and mind in the heart of the city 
62,5.0, A place where books are challenged Just a fun place to visit 
63,4.0,Huge bookstore offers a wide variety of literature on pretty much categories even on foreign material Unfortunately literature about cycling is not available  take care its a bit cold down there
64,5.0, Its been a while since Ive been there and my eyes are wide open  I dont think Ill be bored even if I stay all day 
65,5.0,Great selection of English books for kids Friendly and helpful staff  For stroller access theres an elevator thru the lobby entrance on the east side of the building
66,5.0, It is a representative bookstore in Korea Great for a city break or a date 
67,5.0,Holy space of all books
68,4.0, Im in Jeongdong I went to Kyobo and played with the speakers of Wenen 
69,5.0, Souffl cake apple mango and coffee are all really good 
70,5.0, Needless to say the scale I park at Gran Seoul on the weekend and take a look at it and pick one or two 
71,5.0, There are many books and things to see A bookstore worth visiting in Seoul 
72,5.0, It is also the largest bookstore with a wide variety of books 
73,4.0, Its been a while since Ive been with the kids so its very new There are many books so it is good to read and talk with children 
74,5.0, A place where you can find a lot of variety of books and even stationery fancy It was a weekend so there were not many people 
75,5.0, It smells like a book and I love it Due to Corona the number of seats available has decreased 
76,4.0, It is connected to Gwanghwamun Station Exit 4 so it is good to visit when you have spare time or if you have time It is a friendly wellorganized bookstore where you can experience a variety of experiences 
77,4.0, I went to find the remaining stock to restart my piano study  I was very grateful to the staff for informing me in detail 
78,5.0, Lots of people and good parking The book finder system works well and is convenient 
79,4.0,Busy store Good selection of English books Strange how all book stores have same price
80,5.0,Perfect place for everyone who is interested in the old style book I found what I was looking for
81,4.0, Its a pity that there are no coffee shops or places to sit and read books 
82,5.0, There are many books and it is comfortable and good It is directly connected to the subway station 
83,5.0, I havent been able to sit and watch since Kosi Guk but its nice to be able to read a book in advance and buy it 
84,4.0, I recently visited Kyobo Bookstore Its a little different from before but it seems to be getting better Not only books but also stationery are available in a wider variety than before so it was nice to see a lot 
85,5.0,Decent selection of books in English Small music section including a limited number of lps Good stop for expats
86,5.0,Best library
87,5.0, Its always a nice and comfortable place Parking is convenient too 
88,3.0,very crowded
89,5.0, It is convenient to take a break because there is a space for people walking around the building to take a rest 
90,5.0, large bookstore Gwanghwamun albums and phrases 
91,5.0, Kyobo Bookstore is a place to quench your cultural thirst 
92,5.0, I live in the United States and I was surprised that it was a bigger wellequipped and fairly clean place than any other bookstore in the United States 
93,5.0, I always stop by when Im near Gwanghwamun One or two hours pass quickly while reading a book Not only books but also stationery electronic devices and bags there are quite a few things to look at 
94,5.0,Helpful staff It has what I need HUGE bookstore
