,STAR,CONTENT
0,4.0, Shops here and there Byeolmadang Library There are many things to see and many things to buy 
1,3.0, First of all the Starfield shopping mall below has no food to eat and the road is difficult all roads lead to the Starfield library It took me over 25 minutes to find a restaurant I knew in advance haha It can 
2,3.0, Visit to attend a seminar It was very difficult to eat lunch 
3,4.0,A large mall with a cool library Quite many stores but the layout is a bit confusing
4,4.0, Its a place I go to often so its okay and good Parking is a bit expensive 
5,5.0, Very very large shopping center with all kinds of things in it 
6,4.0,too many people
7,4.0,huge shopping mall with library lots of shops restaurants cafes cinema and aquarium
8,5.0,For the library
9,4.0,liked the fact it was huge not much to shop here though but worth a look around
10,5.0,This mall is AMAZING Its all underground and there are so many amazing stores We loved the Starfield library and the Aquarium They have a mega box movie theater too and a really nice food court Its incredibly clean as well
11,5.0,Large mall with the impressive Starfield Library located in heart of seoul This mall is connected the Samseong Station on Seoul Metro Line 2 and Bongeunsa Station on Seoul Metro Line 9 Gorgeous and overwhelming Combination of fashion 
12,3.0, The parking lot is wide but that could be a disadvantage It is difficult to find a parking location and even to find a destination after parking it seems to be getting more and more inconvenient than the old COEX 
13,5.0,Great mall with many restaurants Its attached to Intercontinental Seoul Parnas
14,5.0,good
15,5.0,Excellent Mall in the neighborhood Gangnam
16,5.0,Sweet mall suitable for walking
17,3.0, Lunch before viewing Starfield COEX Mall Photo  Video Exhibition Saboten Seafood Katsu Black Pork Katsu Cold Soba 
18,5.0, I recommend Byeolmadang A paradise for shopping where you can buy a lot of books and anything You can get on Line 2 right away and there are lots of delicious food 
19,4.0, Even if it is a little complicated it is a complex cultural facility that is cooler than the outdoors and can do almost everything 
20,5.0,Good place to take a stroll
21,5.0, The road was painted in blue on the floor so it was easy to move 
22,4.0, visit to Confucianism  I was aiming for a parking discount but it was already sold out due to 
23,4.0, Its also Starfield good 
24,3.0, All right What is the evaluation Complex crowded undergrounddont go these days 
25,5.0, Lots of things to see and do They even laid out a blue carpet to keep you from getting lost these days 
26,4.0, As a single shopping mall it is good to have a large size and a lot of food to see 
27,5.0, I visited COEX in Samseongdong on a business trip and it was good 
28,3.0, A place where you go expecting something special but when you go there you dont have a special experience 
29,4.0,Definitely a must see Theres a Starbucks as you enter so you can grab a coffee and read a book The library gets really busy so go early if you was a window seat 
30,5.0,This very big mall and also has many tourist attractions like Starfield Library and Coex Aquarium This place is perfect for shopping eat play and enjoy
31,5.0, clean and comfortable There are many brands and the store is spacious There are also quite a few restaurants 
32,4.0, The air conditioner is not cool these days but there is nothing like it in terms of multishopping 
33,5.0, I bought a dress at a clothing store and I am satisfied with both the quality and the price But it is too hot in COEX But the InterContinental Hotel Caf is cool The air is different 
34,5.0,numerous books to love at
35,5.0,Love the ambient of this place Whenever you are in Seoul try to spend sometime here
36,4.0, A place where you can have a date comfortably on a hot summer day But too many people 
37,4.0, Its good except for the hard to find Everything is really there 
38,4.0, Its nice to have a place where you can use Shinsegae gift vouchers 
39,5.0,Always the best place to see cute penguins
40,4.0,Muy lindo lugar
41,3.0, The positioning of COEX is quite ambiguous It lacks a lot compared to its competitors 
42,5.0,The mall was very lively with the stores and people but I went in for the library everyone talks aboutbut I must say Im disappointed considering the tiny number of books in English over there I had bigger expectations I guess
43,5.0,You find all sorts of food here Good to have an exhibition at Coex so that youll have plenty of time to shop at the mall
44,5.0, There is no place like COEX in hot and rainy weather like these days 
45,5.0, A place worth visiting once All the restaurants you want to go to 
46,5.0,Such a gorgeous mall Its very big which is slightly overwhelming but I enjoyed all the options Stores seem to close around 9930PM but you can find some restaurants that stay open later
47,3.0,outdated mall
48,5.0,I like visit here
49,5.0, There are quite a lot of pretty things on sale even though the clothes below are cheap If you come to buy clothes youll be fine Most of the restaurant corners are delicious but because its Gangnam there are a 
50,5.0,Very lovely and well organised place
51,4.0,Space okay
52,3.0, Holiday parking is a bit crowded and there are a lot of people I stopped by because there is a hoka store for mountaineering equipment but it is difficult to secure a quantity these days so it is better to check 
53,4.0, It feels much brighter and cleaner But I still need to fill it up more so one point is deducted 
54,5.0,Tem muitas opes de restaurantes e de lojas Alm disso tem um cinema muito grande e  tudo muito limpo e agradvel
55,5.0,Oh I loved this place and its because of the way how they kept All of the Corona virus rules
56,5.0,Large mall with the impressive Starfield Library A visit is definitely worthwhile because of the library In addition to the usual shops there is also a large food court
57,5.0, Andong steamed chicken restaurant in COEX Mall it was yummy 
58,5.0,Free books to read
59,4.0, Except for the Starfield Library there are not that many interesting shops and the shopping center itself is rather uncomfortable and confusing 
60,4.0, Now that Corona is over it is a place where people will pass like a wave There are many experiences and things to see and it is the best place to shop for food at once 
61,5.0,Well planned events centre
62,5.0, It was nice that the blue road was marked to make it easier to find the Byeolmadanggil 
