,STAR,CONTENT,DATE
0,5, Since there was a lot of damage in Seoul due to heavy rain in August 2022 we walked about 10km along the promenade from Jeongneungcheon to Cheonggyecheon to see Cheonggye Plaza There were tributaries flowing into ,6 days ago
1,4, This is Seouls signature square Much better than the newly built Gwanghwamun Plaza It forms a double wall with the square in front of City Hall ,a week ago
2,5, Always a thrilling space I definitely feel like I am in the center of Seoul ,2 weeks ago
3,5,Great walk from Myeongdongwide walk way Light up at night,a month ago
4,5, Walk from Insadong here Well Im not tired at all  I use lunch and eat a lot ,a month ago
5,4, Neat tourist spot A good place to take a break if you have plenty of time ,2 months ago
6,5, The famous Cheonggyecheon Stream in Seoul A beautiful and pleasant road starts from Cheonggye Plaza As it is the starting point of Cheonggyecheon various events are often held here and it is always crowded with ,2 months ago
7,4, The starting point of Cheonggyecheon A place where events are occasionally held The city hall Deoksugung Palace Gwanghwamun Gate and Gyeongbokgung Palace are close to each other making it a good place to take a ,3 months ago
8,5, The coolness in the city center and the square of discussion ,4 months ago
9,5, There is an incense burner for vaccine victims In order not to be demolished let the government answer Come out and give me strength ,6 months ago
10,5,A walking distance to Deoksugung Palace and I think to other palaces as well Cheonggyecheon plaza is a mustvisit when you want to see Cheonggyecheon stream Taking a quick stroll along it is relaxing and every angle of this place is ,10 months ago
11,5, A place with many seasonal sights Before Corona I miss the days when various festivals and events were held throughout the four ,11 months ago
12,1, From Jongno 5ga to Jonggak there are rows of mulberry trees and ripe black mulberry and unripe red quince are standing in a row The fountain was also very cool and the water rushed to it and the river and ,a year ago
13,5,As seen in Vincenzo and Move To Heaven kdrama,a year ago
14,2, I am not sure what the meaning of the square is or whether it is a space that embraces the city ,a year ago
15,5, Free trails in the city center A good space for healing The sound of flowing water is good It is good to walk with family and lovers ,a year ago
16,5, The place where the water flows makes your eyes and mind easier ,a year ago
17,5, Cheonggye Plaza  is located in 141 Seorindong Jongnogu Seoul and is a small plaza attached to Cheonggyecheon in Seoul and the origin of Cheonggyecheon ,a year ago
18,5, Every evening I walk almost there  calmly ducks fish ,a year ago
19,4,Best place for strolling in Seoul,a year ago
20,5, When I saw the sound of the water and the fish in the middle of the city I felt a world of concentricity There was a chilly breeze but it was great for a walk ,a year ago
21,5, Fun in the city Later like a central park in New York it will also be green ,a year ago
22,5,It is the starting point for the Cheonggyecheon stream,a year ago
23,5, Its Cheonggyecheon Whether its a date course or a walking course its always great There are plenty of restaurants such as cafes and restaurants with good atmosphere on each side so its always a good place ,a year ago
24,5,Good,a year ago
25,5, good There are also many places to eat around ,a year ago
26,4, Seouls famous place in harmony with a cute and vintage shopping district ,a year ago
27,5, A plaza where nature and people communication and culture live ,a year ago
28,4, The night view is beautifulIt is a building forest a pretty place where you can take a walk while listening to the sound of the water flowing in the middle of the city in harmony with colorful lights ,a year ago
29,5,Love it,a year ago
30,5, It is the only place that deserves praise for the achievements made by the mayor of Seoul Its a wonderful place to show off the scenery that makes Seoul a worldclass city ,a year ago
31,4, Good for a walk Its too complicated on weekends but its hard to see such a promenade in the city center ,a year ago
32,5, Cheonggyecheon stream with the history of Seoul is really wonderful ,a year ago
33,5, For coping well with corona It was good in the future if you can purchase it online please ,a year ago
34,5, Close to Gwanghwamun and Cheonggyecheon was neat and nice ,a year ago
35,3, I made it really well However it is getting messy and aging due to poor management in Seoul ,a year ago
36,5, Its a bit cold at night to go now but its a nice place to get some air ,a year ago
37,4, It is a good place to walk quietly in cool autumn weather Its clean and comfortable ,a year ago
38,4,Beautiful place,a year ago
39,5, The staff gave me friendly explanations and recommended products ,a year ago
40,5, In the capitals four main gates A place where the flow flows and fish Its a good place to walk ,a year ago
41,5, Good place throughout the four seasons in the morning during the day and at night ,a year ago
42,5, Nearby is Seoul Plaza Seoul City Hall Gyeongbokgung Palace and Cheonggyecheon so it is good for family outing ,a year ago
43,4, The cool breeze and bright sunlight blown away the corona stress ,a year ago
44,5,amazing,a year ago
45,2, It is Cheonggye Plaza next to DongA Ilbo in Gwanghwamun and the sound of flowing water is a pleasant space ,a year ago
46,5, A clear stream in the city a great place to relax great ,a year ago
47,3,So so,a year ago
48,5,Weekend chilling ,a year ago
49,5, A relaxation area with water that you can enjoy in downtown Ise ,a year ago
50,5, Because Cheonggyecheon Stream is near the house it is very convenient because it is connected to Geumsangcheomhwago City Hall and the Han River for exercise ,a year ago
51,5,Perfect place for a nice stroll,a year ago
52,5, By restoring Buk Brook it has become a representative attraction in Seoul ,a year ago
53,4, Hearing the sound of water in the city and the wind fluttering  ,a year ago
54,5, Former President Lee Myungbak to Mayor In the midst of many difficulties while in office It seemed like he made a great work ,a year ago
55,3,Good,2 years ago
56,5, There were so many people in the square I need to be president ,2 years ago
57,4, A beautiful place at night with colorful lights Night view photo restaurant ,2 years ago
58,4,Good,2 years ago
