,STAR,CONTENT,DATE
0,5,Street food and shopping,4 days ago
1,4,always a symbol of Seoul though lots of shops closed Myeongdong is still a fun place to be,a week ago
2,5,Convenient place for shopping,a week ago
3,5, One of the famous streets of Korea If you want to take a walk in the evening do some shopping then you are welcome ,2 weeks ago
4,5,It was crowded with people of various races ,2 weeks ago
5,5,Great place to walk at night to check out the street vendors Lots of food vendors Its of course very touristy but I cant deny the good times I had with my family here Lots of good street food I highly recommend the chicken kabob ,2 weeks ago
6,4,Not as many as before,3 weeks ago
7,4, Its not as lively as in the old days but a lot of people have increased There are still many empty vacancies ,3 weeks ago
8,5,Nice place for sight seeing,3 weeks ago
9,1,So many shop are empty or move out Not as crowded as before covid started Really pity to see this pandemic cause so much different,4 weeks ago
10,1,I got here by 7pm Everything is closing Just wasting  time,a month ago
11,4,Not too crowded for nowadaysthisperiod  mayjuly2022,a month ago
12,5,lots of goods,a month ago
13,4,Nearby Hotel have roof top coffee cafe,a month ago
14,3,A lot of shops crowdy for shopping afficionados ;,a month ago
15,3,Its cool,a month ago
16,3,Sadly changed a lot after COVID with a number of retail places out of business,a month ago
17,5,Really relaxing atmosphere with really nice hidden shops and restaurants,a month ago
18,5,Cute cats nice host drink included And very clean,a month ago
19,5,cool,a month ago
20,4,Nice clean streets lots of options for food shopping kitschy things,a month ago
21,5,I heard a lot about covid shutting this place down but though I never visited precovid its definitely up and running now Every shop you could possibly need starts here from Zara to dalgona stalls it ,a month ago
22,3, It was a pity that I didnt have the flashiness of the past Due to the corona virus the attractions in Myeongdong have decreased a lot ,2 months ago
23,5,Beautiful shopping experience and very good street food,2 months ago
24,3, I didnt feel like I was before Corona Those who go thinking about that time will not be disappointed ,2 months ago
25,2,Likely due to COVID19 meausures Myeongdong is past its heyday now Many many closed shops I wouldnt bother going there as things are right now,2 months ago
26,3,On the positive side its not too crowded now but that is because there are so many empty store places It gives it a bit of a getto feel Weird because the businesses that are still there are the big companies like Nike etc So certainly not what it was four years ago I hope it picks up,2 months ago
27,4,Sad to see that MyeongDong shopping street is not as bustling as before due to covid situation Manage to come to this street for a visit ever still travel restriction relax ,2 months ago
28,5,Happening market place ij seoul Must visit,2 months ago
29,5,No 1 tour place in Seoul,2 months ago
30,4,Good place for shopping and street food,3 months ago
31,5,This is the best shopping paradise in Korea,3 months ago
32,4,quite a number of food stalls nearby brisk walking ot window shopping is the best excercise you can do after eating fried chicken with beers,3 months ago
33,5, There are a lot of shops of different price categories Its amazing how so many buildings fit in such a small area A very colorful place is a must for the room ,3 months ago
34,3,COVID has changed the shopping landscape completely with almost all beauty shops shuttered with the exception of Olive Young Feels like a ghost town Lots of construction noises though so hopefully they will reopen in the near future ,3 months ago
35,5,Best area for tasting local food and some very good shopping area The street gets really busy in peak hours,3 months ago
36,4, Seoul Myeongdong A shopping street full of various brand shops and a lot of various restaurants ,3 months ago
37,4, Before Corona it was very crowded but now a lot of business places are closed Street food sales have also decreased a lot Its too quiet ,3 months ago
38,2, After Corona many stores are missing so there is nothing to see and nothing to shop ,3 months ago
39,4, Myeongdong street like never before Stores closing one by one No tourists due to corona ,4 months ago
40,5,I enjoyed the walking with my family,4 months ago
