,STAR,CONTENT,DATE
0,5,      ,12 hours ago
1,5, I went on a trip with a foreign friend and I enjoyed watching the night view ,15 hours ago
2,4, Its been a while since I took the Busan Songdo Cable Car so it was crowded and hot ,a day ago
3,4,Rad,a day ago
4,2, Beautiful the city from above but the times written on the site and on Google to go up the tower were until 11pm and at 930pm we were told that we could no longer go up ,2 days ago
5,4, Not enough parking spaces Its been 10 years since I came here more people ,2 days ago
6,2,Boring,4 days ago
7,5, The mens restroom on the first basement floor is in good condition A lot of people come and go every day ,4 days ago
8,4, You can enjoy the night view of Gangbuk in Seoul by cable car The only downside is that the parking lot is expensive ,5 days ago
9,5,To  fro from Seoul Tower crowded at times,5 days ago
10,5,Quote a lovely place with a good view Worth taking a trip up here if you are i seoul I recommend going there during the evening but not so late that everything is closed Right after sundown is perfect,6 days ago
11,5,Staff were professional and courteous Appreciated the friendly humor,6 days ago
12,4, There is nothing interesting except the cable car The kids had so much fun riding the cable car ,a week ago
13,5, Parking is a bit expensive but it is recommended for a memorable trip ,a week ago
14,3, 11000 won one way It was 14000 won round trip The trail is wellmaintained so descending on foot is not a problem ,a week ago
15,5,Worth a visit and see Seoul from the top,a week ago
16,5, best of scenery Great for a quick beer ,a week ago
17,4, I went because my child wanted to ride the cable car but the parking fee was wicked ,a week ago
18,4,Good ride from Seoul city Nearby Myeongdong station 5min taxi,a week ago
19,5, You may have to wait a bit on the weekend but it was nice that the line went out quickly ,a week ago
20,4,The scenery is outstanding ,a week ago
21,4,Very packed in one car,a week ago
22,5,If you dont wanna walk  take the Cable Car,a week ago
23,5, I didnt have high expectations as I didnt have a good relationship with the cable car but I felt better than expected The night view is wonderful I also went to Mt Seorak but I felt even better because it was a ,2 weeks ago
24,5,Scary and fun at the same time,2 weeks ago
25,5, The night view was also beautiful It would be nice to come on a clear day ,2 weeks ago
26,3, Its nice to be able to climb The price has gone up a lot ,2 weeks ago
27,1, Not good in many ways not recommended unless its off time ,2 weeks ago
28,4, Highly recommended unless its a bit hot inside and youre not afraid of safety ,2 weeks ago
29,5,Resealable price for  cabin car  Nice view and yummy food  at the top of Tower,2 weeks ago
30,5,Legit and a great view of paradise specifically at night,2 weeks ago
31,5, Even in hot summer when you go to the top a cool breeze blows ,2 weeks ago
32,5,Cable car experience was enjoyable,2 weeks ago
33,2,Dont go on weekend  cuz they accept too much visitors  you always stuck in the line whereever you go in namsan tower,2 weeks ago
34,5, Its a hot but very relaxing trip I got a discount with a tok deal purchase ,2 weeks ago
35,1, The price is too expensive 14000 won round trip for adults 10500 won round trip for children The price is high but it is stuffy smelly and hot because 3040 people are put ,2 weeks ago
