,STAR,CONTENT,DATE
0,5,Nice village,18 hours ago
1,3, free Good for a walk The parking lot right in front costs more than 5000 won per hour ,3 days ago
2,5, Right outside Chungmuro Station This is a hanok village ,6 days ago
3,4,That was clean village and you know like village,6 days ago
4,5, It was my first time in a large mansion so I really liked the fresh grand and pretty old house ,a week ago
5,5,Beautiful by night You even can get in the buildings to see the traditional interior and a set of beautiful paints,a week ago
6,4, It was nice to have an exhibition of my work A place that allows you to enter a designated area so you can see the work People wearing shoes What are they doing ,a week ago
7,5,Very nice and peaceful walk around the village while learning about the history and culture,a week ago
8,4,old village,2 weeks ago
9,4,It was very quiet when I went Great to walk around at a leisurely pace and explore,2 weeks ago
10,5, A beautiful replica village from the Joson period Furnished to the last detail ,2 weeks ago
11,4, Located near Chungmuro Station easy access and a place where you can enjoy elegant hanok in peace ,2 weeks ago
12,5, A trip to Seoul for vacation It is good to take the city tour bus After a bit of rain it is green and green ,2 weeks ago
13,5,Restored hanok houses nice walk,2 weeks ago
14,3, Rather than taking the time to come there is something like this while walking If you want to go and see it it is a suitable place to go for a walk ,3 weeks ago
15,5,20110525 Visited good attractions,4 weeks ago
16,5, Very nice Well done pretty great ride ,4 weeks ago
17,4,Good,4 weeks ago
18,5, The weather was nice and I was able to learn about history and it was so good ,a month ago
19,4, Its wider than I thought I come here from time to time for various events Great for a walk too ,a month ago
20,5,Loved it,a month ago
21,3,It looks like its more sloppy than before,a month ago
22,3, It feels strange to appreciate the traces of the proJapanese ,a month ago
23,5,Multiple traditional homes were moved here to make this village Beautiful to see and educational as well Activities for kids make it a great family experience,a month ago
24,5, There is a small hanok under Namsan Mountain in Seoul Its a good place to be ,a month ago
25,5,Amazing tradition village well worth a visit,a month ago
26,5, It is located near Namsan Mountain in the city center This is a hanok village It is located 1 minute away from the subway ,a month ago
27,4, Senior Model Contest It was an unusually hot day but it was very crowded ,2 months ago
28,5,a must visit place,2 months ago
29,2, Tuho is made of plastic Jegichagi and top are cheap the streets are dusty sand and the door of the house is padded with urethane ,2 months ago
30,5,Beautiful place,2 months ago
31,5, It is a quiet healing A relaxing place in the city center good ,2 months ago
32,5,A very attractive area of yesteryear with lots of history look at those houses and they are all livedin While walking along there are art galleries historic sites snack bars restaurants and who would not like to dress up to ware traditional clothes for a day,2 months ago
33,5, A place where you can enjoy some quiet time in the middle of the city Its not fancy but I like it ,2 months ago
34,4, Lets make fun memories with the kids Sorry about the parking ,2 months ago
35,5, A place to experience the importance of hanok in the city ,2 months ago
