,STAR,CONTENT,DATE
0,5,one of the nicest park in Seoul Great to walk around absorbing the nature,a day ago
1,5, It is large and wellmaintained so it is good for a walk It looks good for a picnic and exercise doesnt seem to be a problem I went on a weekday and there werent many people but on the weekends it was really ,a day ago
2,5,Pretty park with a nice vibe,3 days ago
3,5,I loved this place Nice for just walking around there are places to grab a cup of coffe nearby as well,4 days ago
4,5,Good place for picnic and spend some time near the nature,a week ago
5,5,It is such a great place to chill and take a walk Free entrance,2 weeks ago
6,5,Spent some time here on a weekday and it was a quiet and relaxing afternoon,2 weeks ago
7,5, Seoul Forest After listening to all that time I stopped by the restaurant to visit the restaurant ,2 weeks ago
8,5,One of the best parks in Seoul,2 weeks ago
9,5, I took a walk in the afternoon when the spring rain was moist ,2 weeks ago
10,5, I saw a lot of beech flowers and saw a lot of flowers that are hard to see ,2 weeks ago
11,5,A place to explore time and time again filled with art to enjoy water fountains to play in and miles of perfect natural serenity,2 weeks ago
12,5,This is a nice peaceful park in the middle of the city with outdoor gym table tennis and tennis fields,3 weeks ago
13,5, The Seoul Forest which shows a different look for each season is really nice I think the hidden sincerity of the gardeners and caretakers everywhere in the forest such as flowers trees fountains ponds etc was ,a month ago
14,4, Its not crowded enough compared to other places so its a good place for outings and couples to enjoy a date ,a month ago
15,5, Its easy to access on weekdays and its good for leisure ,a month ago
16,4, Insect hall botanical hall deer etc There are many things to see ,a month ago
17,5,This is such a pretty area We walked the trails in the early morning when the weather was perfect,a month ago
18,5, A place like the breath of the world with only home and work ,a month ago
19,4, Its spacious so its good for a walk there are many shaded places and there are benches so its nice to take a walk comfortably It was hot so the children were hanging out in the fountain ,a month ago
20,5, I went to Seoul Forest for the first time It is good for a quiet walk for 12 hours ,a month ago
21,5, good place to go with family Mosquito attention ,a month ago
22,5, Walks forests contemplation healing everything is good ,a month ago
23,5,Not bad for walking and sports no high climbs,a month ago
24,5, Seoul Forest Its spacious and quieter than I thought and theres a lot of shade so its cool There are several benches and picnic seats so you can take a break or do some ,a month ago
25,5,Lovely park in the city I am jealous at the residence around this area for having such a good greenery nearby A great place to spend time to walk around getting fresh air clear the head Seeing all the trees here is very relaxing And ,a month ago
26,5, It seems like a blessing to have such a big park in the middle of Seoul  ,a month ago
27,5, You can take a walk in the sweltering summer and enjoy the good snow comfortably ,a month ago
28,5,Its a very nice park  were so happy to have this park ,a month ago
29,4,Very nice to to at night Beautiful lights everywhere  Like a fairytale  Should have more trash cans but this is only my opinion,a month ago
30,5,Yo Im not sure,a month ago
31,5,Best place to relax,a month ago
32,4, Its hard to find a park like this in Gangbuk Seoul There is an Olympic Park but for some reason it feels like nature and leisure coexist ,a month ago
33,5, Seoul Forest in Seongdonggu  It is a park so large that you wonder where in Seoul you can find such a ,a month ago
34,5,Great place,a month ago
35,5,I came here at night and it was calm and theres a piano we can play on,a month ago
36,4, Articulation by making them all over the resting place there are too many people ,a month ago
37,5, Seoul Forest The scenery is beautiful there are many shelters and I also liked the small stream running through it It is the largest forest and ecosystem in Seoul ,a month ago
