,STAR,CONTENT,DATE
0,5, My 8yearold granddaughter had fun riding on the rides and having fun in Summer Water Wars a 100ton water bomb ,a day ago
1,4, It was fun to play in the water competition only in summer ,2 days ago
2,1, If hand sanitization is compulsory the disinfection treatment can be done better ,4 days ago
3,5, The kids really enjoyed it There is no fuss about wanting to go again Ill have to go play again soon hehe Water bomb is so much fun that adults want to enjoy it too ,5 days ago
4,4, I think the hot summer Water Wars program is good Be prepared to change clothes Even with a raincoat on everything is wet ,5 days ago
5,5, feel great cost performance king king chan I didnt have to wait too long and I got on the rides right away  ,5 days ago
6,5, Lots of people on the weekend It looks more like Everland Because the area is small ,6 days ago
7,5, If you visit in the evening it is not too hot and you can ride a lot without waiting in line at a reasonable price ,6 days ago
8,5, A place where a child is hurt but there are fun memories ,a week ago
9,4, Each facility is different Good value for money and has everything ,a week ago
10,4, What when I was young when I was in love After having children I have a lot of memories like children but there are still not enough places to rest ,a week ago
11,5, 2281 Mon Visit Enjoy the night view of Seoul Land while having dinner at the Ssam Taste Restaurant ,a week ago
12,4, Lots of things everywhere But adults are really disrespectful to order If you line up with children they will just pass in front of you ,a week ago
13,5, I dont know if its because its a cloudy day in the middle of the rainy season Ride more than ten rides haha ,a week ago
14,5, Its the best Seoul Land has a decent amount of people and its fun to play ,a week ago
15,5, Im going to Seoul Land to see that Luna Busking Luna Band You can spend an exciting time with your children on a stage full of passion and fun ,a week ago
16,5, A place where you can make good memories for your children ,a week ago
17,2, I am worried because the facilities are too old and there is nothing to see ,2 weeks ago
18,5, On the way back if you take the child the child faints and is on the verge of fainting ,2 weeks ago
19,3, where the memories were Please stop the roller coast vibration There are a lot of loud events but I am worried that the animals in the Grand Park will feel insecure I would like to transfer ,2 weeks ago
20,5, Entry after 4pm Faculty Discount Purchased at KRW 13000 per person ,2 weeks ago
21,5, I went to Waterward for the first time and it was so much fun It was a rainy day but its even more fun because its wet anyway ,2 weeks ago
22,5, Heaven for children Today was such a very happy time The weather was not too hot and not too crowded ,2 weeks ago
23,5, Go in the morning and ride the rides play in the cool water at Water Wars and even open at night I didnt know that time passed I recommend you to visit it during summer ,2 weeks ago
24,3, It is so empty and so different from the past when it was crowded ,2 weeks ago
25,1, World Cup Im sick too many cockroaches ,3 weeks ago
26,5,Its was fantastic,4 weeks ago
27,5, I added it to enjoy the Songkran Festival but the amusement park is also open until late and there are many places to eat and see so it was great A lot of kids come to play ,a month ago
28,4, Seoul Land located to the north of Cheonggye Mountain in the south of Seoul has a zoo a science museum and a modern art museum so children visit with their parents as a resting place for Seoul citizens ,a month ago
29,5, You can make good memories while walking with your family ,a month ago
30,5, It is a great place for parents and students with young children to destress Despite the corona crisis we did our best to welcome you ,a month ago
31,5, Good value for money Its old but I think its better for kids to play ,a month ago
32,4, Waterwars as a summer event Its cool and the size is just right  ,a month ago
33,4, Its good to have fun with children but adults wont have much to play with Its very hot in the summer Thats what Im worried about ,a month ago
34,5,shouth korea and kurdistan,a month ago
35,5,Nice not to wait long Lots to eat and good deals,a month ago
36,3, There are too many rides under repair and out of operation ,a month ago
37,5, I went to the night opening but there were more people than I thought  I made a lot of fun memories with the kids  ,a month ago
38,5, I went to Seoul Land after a long time May the day when you take off your mask and be free will come soon ,a month ago
39,5,Good,a month ago
40,5, If you go early there is plenty of parking space The rides are enough to ride from babies to adults ,a month ago
41,5, It was nice to be with people I havent seen in a long time due to Corona ,a month ago
42,4,not bad,a month ago
43,4, This amusement park seems to have aged a little or a lot it is felt when you ride one or another attraction for example on a roller coaster the mechanics creaked and our separate trailer jerked sharply when it ,a month ago
44,5,Seoul Land Luna park is the best theres a lot of rides specially even for kids enjoyed much the Log Ride,2 months ago
45,3, it was monday There are many attractions that are not open Many restaurants are not open ,2 months ago
46,5, If you are taller than 110 the restrictions on rides are a bit narrow It was nice to be able to wear a lot of things ,2 months ago
47,5, If you have preschool children the annual membership is a good enough place to pick up more than the full price There are two indoor kids cafes in the amusement park and there are many places to play with children ,2 months ago
48,5,Cool park,2 months ago
49,5,Affordable amusement park with lot of rides and fun activities One can spend a whole day here with familyfriends or as couples,2 months ago
50,5, Because the weather is passing and it doesnt rain I came and the operation was a complete failure Waiting over 1 hour ,2 months ago
51,5, Seoul Land also has a different trash can Its a holiday so its good because there arent many people than I thought ,2 months ago
