,STAR,CONTENT,DATE
0,4, Shops here and there Byeolmadang Library There are many things to see and many things to buy ,3 days ago
1,3, First of all the Starfield shopping mall below has no food to eat and the road is difficult all roads lead to the Starfield library It took me over 25 minutes to find a restaurant I knew in advance haha It can ,3 days ago
2,3, Visit to attend a seminar It was very difficult to eat lunch ,3 days ago
3,4,A large mall with a cool library Quite many stores but the layout is a bit confusing,4 days ago
4,4, Its a place I go to often so its okay and good Parking is a bit expensive ,4 days ago
5,5, Very very large shopping center with all kinds of things in it ,a week ago
6,4,too many people,a week ago
7,4,huge shopping mall with library lots of shops restaurants cafes cinema and aquarium,a week ago
8,5,For the library,a week ago
9,4,liked the fact it was huge not much to shop here though but worth a look around,a week ago
10,5,This mall is AMAZING Its all underground and there are so many amazing stores We loved the Starfield library and the Aquarium They have a mega box movie theater too and a really nice food court Its incredibly clean as well,a week ago
11,5,Large mall with the impressive Starfield Library located in heart of seoul This mall is connected the Samseong Station on Seoul Metro Line 2 and Bongeunsa Station on Seoul Metro Line 9 Gorgeous and overwhelming Combination of fashion ,a week ago
12,3, The parking lot is wide but that could be a disadvantage It is difficult to find a parking location and even to find a destination after parking it seems to be getting more and more inconvenient than the old COEX ,a week ago
13,5,Great mall with many restaurants Its attached to Intercontinental Seoul Parnas,a week ago
14,5,good,a week ago
15,5,Excellent Mall in the neighborhood Gangnam,a week ago
16,5,Sweet mall suitable for walking,a week ago
17,3, Lunch before viewing Starfield COEX Mall Photo  Video Exhibition Saboten Seafood Katsu Black Pork Katsu Cold Soba ,a week ago
18,5, I recommend Byeolmadang A paradise for shopping where you can buy a lot of books and anything You can get on Line 2 right away and there are lots of delicious food ,2 weeks ago
19,4, Even if it is a little complicated it is a complex cultural facility that is cooler than the outdoors and can do almost everything ,2 weeks ago
20,5,Good place to take a stroll,2 weeks ago
21,5, The road was painted in blue on the floor so it was easy to move ,2 weeks ago
22,4, visit to Confucianism  I was aiming for a parking discount but it was already sold out due to ,2 weeks ago
23,4, Its also Starfield good ,2 weeks ago
24,3, All right What is the evaluation Complex crowded undergrounddont go these days ,2 weeks ago
25,5, Lots of things to see and do They even laid out a blue carpet to keep you from getting lost these days ,3 weeks ago
26,4, As a single shopping mall it is good to have a large size and a lot of food to see ,3 weeks ago
27,5, I visited COEX in Samseongdong on a business trip and it was good ,3 weeks ago
28,3, A place where you go expecting something special but when you go there you dont have a special experience ,4 weeks ago
29,4,Definitely a must see Theres a Starbucks as you enter so you can grab a coffee and read a book The library gets really busy so go early if you was a window seat ,4 weeks ago
30,5,This very big mall and also has many tourist attractions like Starfield Library and Coex Aquarium This place is perfect for shopping eat play and enjoy,4 weeks ago
31,5, clean and comfortable There are many brands and the store is spacious There are also quite a few restaurants ,4 weeks ago
32,4, The air conditioner is not cool these days but there is nothing like it in terms of multishopping ,4 weeks ago
33,5, I bought a dress at a clothing store and I am satisfied with both the quality and the price But it is too hot in COEX But the InterContinental Hotel Caf is cool The air is different ,4 weeks ago
34,5,numerous books to love at,a month ago
35,5,Love the ambient of this place Whenever you are in Seoul try to spend sometime here,a month ago
36,4, A place where you can have a date comfortably on a hot summer day But too many people ,a month ago
37,4, Its good except for the hard to find Everything is really there ,a month ago
38,4, Its nice to have a place where you can use Shinsegae gift vouchers ,a month ago
39,5,Always the best place to see cute penguins,a month ago
40,4,Muy lindo lugar,a month ago
41,3, The positioning of COEX is quite ambiguous It lacks a lot compared to its competitors ,a month ago
42,5,The mall was very lively with the stores and people but I went in for the library everyone talks aboutbut I must say Im disappointed considering the tiny number of books in English over there I had bigger expectations I guess,a month ago
43,5,You find all sorts of food here Good to have an exhibition at Coex so that youll have plenty of time to shop at the mall,a month ago
44,5, There is no place like COEX in hot and rainy weather like these days ,a month ago
