,이름,별점,리뷰,날짜
0,lostinatlanta,3.0,"It's a nice clean stream in the middle of a bustling city. Relaxing place to take a stroll but IMO, not work going out of your way to see it.","Written July 13, 2022"
1,Brian J,5.0,"We walked part of the stream on our way from Changdeokgung Palace to City Hall. As a tourist, not something you’d make a special trip to see but worth walking through if you’re in the area.","Written July 6, 2022"
2,sleeperdoc,5.0,"Renovated stream through downtown Seoul with walkways, sitting areas, nice lighting. Popular with tourists and locals, couples on dates and office workers wanting a ""nature break."" Easy access from several downtown subway stops and worth and hour stroll.","Written May 30, 2022"
3,Traveller of the world,5.0,"This was just stunning.  I went at dusk.  Even though it was slightly chilly with light rain, the atmosphere and setting were just magical.  The lights and skyscrapers, the couples sitting by the stream or families and friends catching up, whatever the occasion it was the atmosphere, vibe and setting that just captured my heart.  Loved it.  I took a slow stroll from one end to the other and back.  There are some information boards which are really interesting to read giving you some facts about the stream and the surrounding area.  This is a must for any trip to Seoul.  I was lucky the evening I was there, the sky turned this stunning colour with the dark grey clouds and purple sunset. Suggest going in the early evening. There are a few places nearby to grab a drink or bite to eat after.  ","Written May 30, 2022"
4,Cpwee,5.0,Quiet and easy to navigate during our morning run along the stream. It’s a morning stroll location for locals as well. Good route for city runs for first time visitors.,"Written March 21, 2022"
5,jake a,5.0,"Cheonggyeacheon is the first of the stream beds to be restored and is a pleasant walk through downtown Seoul. Birds have returned as well as some small fish. it is about five miles long wandering through downtown. It is a prototype of all the other successful stream bed parks across Korea,","Written June 4, 2021"
6,AuthurTommy,5.0,"Clean, calm streams for walk. Love this place again. Evening is better to walk after dinner. Recommend.","Written April 25, 2021"
7,Andy. T,5.0,Unfortunately this year no Christmas lights which last year were stunning but still a nice walk in the evening along the river.,"Written November 22, 2020"
8,Konstantina K,5.0,"This area is picturesque and pretty for a stroll. At night, lights are switched on and very colourful.","Written September 6, 2020"
9,Nurhakim_ID,4.0,"Visiting Cheonggyecheon is a must if you go to Korea. It's an 11 km long modern stream that runs through downtown Seoul. The stream starts from Cheonggye Plaza, a popular cultural arts venue, and passes under more than 20 bridges before flowing into the Hangang (River), with many attractions along its length.","Written September 1, 2020"
10,Guven D,5.0,its great a small river in the middle of the city. You can sit and put you food in the water and drink something and relax during your trip.,"Written August 12, 2020"
11,Raisa & Raisha,5.0,"From a walking distance of Jonggak station you will found Cheonggycheon stream. It’s a 10 km long modern public space in downtown Seoul. It’s a great place to chill and get away from the city's fast paced life. Depending on the time of the year, there’s different exhibitions. It’s definitely good place for pictures.","Written May 23, 2020"
12,Neil Explores,5.0,"Best time to go there at night. When we went there, it was around the Christmas season and the stream is adorned with colorful lanterns. Very festive!","Written April 12, 2020"
13,BillNabilah,4.0,"Beautiful little stream with people walking and jogging around. However if you go there during the night, it can be a bit scary as the street light is not much in terms of quantity and brightness. But don't worry as local people here are very nice and friendly. It is also peaceful to walk during the night.","Written March 15, 2020"
14,jh s,5.0,for decades it was a huge hideous overpass but is now a nice modern park thanks to president lee myung bak. i guess that's an improvement,"Written February 16, 2020"
15,Ashley M.,5.0,"Peaceful little stream in the middle of the busy city! There's something that happens when you walk down those steps and get next to the stream. All of a sudden, you're not in a busy city. You're strolling along a peaceful stream. Beautiful spot","Written February 5, 2020"
16,hondaheine,5.0,"Very fun detour from the middle of a crowed city. We were there on New Years Eve so it was quite crowded, however I have been before and it is a nice place for a break.","Written February 1, 2020"
17,Della G,4.0,"We stumbled onto this stream by chance when we were touring the Myeongdong shopping area. This is a delightful stream that runs about 10 kilometers through pretty much downtown Seoul. I understand that prior to 2005, the stream was polluted. So now this area has been cleaned up and converted into an art and nature walkway. It is a wonderful area to walk along the stream. It is a relaxing stroll, has nice greenery and art work along the way. You can even cross over onto the other side where there are stepping stones. I would say it is a nice area for city workers to have lunch in, great for families and romantic couples alike.","Written January 31, 2020"
18,travelovemn,5.0,It is quite nice man made attraction at the middle of the city. People just walk along the stream enjoying scenery.,"Written January 29, 2020"
19,clynsa1,5.0,This stream is beautiful and offers a nice reprieve from the hustle of the city. Go at night to see it lit up.,"Written January 20, 2020"
20,dblim,5.0,"You won’t miss this if you’re walking from kwangjang market. Pop by for a quick photo, beautiful reflection of the sky in the stream.","Written January 19, 2020"
21,barnaul2000,5.0,"in the midst of tall buildings, and city noise, this is a true peaceful oasis, with ti s cute colorful umbrellas and art display installations,and peaceful water sounds. very sweet and beautiful spot.","Written January 17, 2020"
