,이름,별점,리뷰,날짜
0,Lena M,5.0,What a great experience! We have been already to some aquarium places but this is so far my favorite. This place is fun for the whole family.,"Written June 20, 2021"
1,Daniel P,5.0,The Lotte aquarium has most of the fish that other aquariums have! Since the other aquarium is far away from the place where I live. So I think Lotte aquarium has a perfect location where many people can visit!,"Written November 23, 2020"
2,Neil Explores,3.0,"If there's anything that's really unique about this aquarium, that's the robot fish. Given that this is Korea, a high-tech country, the robot fish is an expected but welcome sight to see.  Captivating beluga exhibit. Quite nice underwater tunnel. Plenty of small sharks too. And quite diverse fish exhibits.","Written April 19, 2020"
3,Toni Z,3.0,"Having been to a number of more interesting aquariums in Asia, this one is not particularly interesting. Unless someone in the gang craves for it, can pass.","Written January 25, 2020"
4,mic_leow,5.0,"We bought the package of the aquarium tickets together with the admission to Lotte World. We decided to visit the aquarium first as they do not allow rentry at the Lotte World. The aquarium was located at the other side of the Lotte mall. The aquarium was new and well space out onto two floors. As with all aquariums around the world, you get to see almost the same typical species of marine animals on display. However, they have the beluga whale that is our first seeing it up close in an aquarium. Interesting! You can also ""bottle"" feed the fishes on the second floor which is our first too. My boys had a fun times feeding the fishes through bottles. Is definitely a memorable experience for them.","Written December 26, 2019"
5,Sophie,4.0,"It was nice to come see the beautiful fish and aquarium. It was pretty!! The inside is big, bigger than Busan aquarium. You can see many different types of fish and animals here. You can just walk through and look at the colorful species. I think I spend around 2 hours inside. Beautiful designs to take pictures, and have a good time with friends or family.","Written December 10, 2019"
6,Sung W,4.0,"If you are going to the Gangnam area any way, apart from visiting the shopping mall, you may wish to reserve time for this aquarium. It is not a very big one and the advantage is that it is actually inside the Coex Mall and is wholly indoor. Though it is compact variety of fish is good. You can see shark, turtles, penguins, and many more. You can spend two hours there, and worth going even if you have one hour and are thinking what to do. Kids will enjoy.","Written October 18, 2019"
7,Steve D,5.0,This is very modern. It is inside the Lotteworld Mall.The aquarium is massive.There are lots of species.You can walk through clear observation tunnels and see fish and Baluga whales swimming around you.If you love sealife you will love it.,"Written October 16, 2019"
8,Roy H,4.0,Very beautiful and you can tell they work very hard on maintenance. One of the nicer aquariums. Beluga whales. Unfortunately I will not go back probably. Very sad. Small tanks.,"Written August 28, 2019"
9,Winston Chuah,4.0,"Located in Lotte World Mall, it's a popular spot for tourists and locals alike. I'd advise going early for a visit as when the crowd's build-up, the experience can be a little harrowing (jostling for space to view the exhibits). Good educational fun for all ages and it's wheelchair and stroller friendly.","Written August 27, 2019"
