,이름,별점,리뷰,날짜
0,Ash,1.0,Literally nothing much left. Food is still buzzing but shopping and street vendors are really sad... Not worth coming anymore.,"Written August 8, 2022"
1,lostinatlanta,5.0,"Lots of shops, restaurants, and food vendors. Definitely a must go area. In terms of shopping, other areas are cheaper (Namdaemun) but this place is cleaner and more similar to Western shopping areas with less haggling involved.","Written July 13, 2022"
2,ThatBaldDoc,4.0,"This is a very active and crowded street. Make sure to visit during late afternoons to the evenings as all manner of food, drinks, and anything under the sun (or moon) can be purchased here, several with a cheaper price range.","Written June 29, 2022"
3,mel7155,4.0,"Great place to shop for cosmetics, fun socks, hair products and even Korean fashion . Yes many shops have closed but it is slowly being revived .  What was interesting was trying the various type of street food along this area - who does not love eating skewered meats as you stroll along the streets or try Dalgona candy or eat fried chicken and beer and thereafter try your hand on Myeongdong ice cream , dumplings etc….  Business is slowly being revived here . Good to come down and support the local businesses .","Written June 23, 2022"
4,Turid,5.0,Great shops with kpop merch and fun food stalls. A lot of fun socks available as well. Very nice underground shopping mall,"Written June 18, 2022"
5,Traveltheorient,5.0,"This is the ""El Primo"" shopping area of Seoul. It is in the heart of the city and it is an absolute must to see if you are in Seoul.","Written June 11, 2022"
6,Annie C,2.0,"Shopping here has not revived. Almost all clothing boutiques were gone. No more pushcarts selling sundries and street food too.  Dongdaemun too. With recommendations of friends and Korea Tourist Ambassadors and Korea Tourism Information Centre staff, I turned to Wangshimin, Goto Mall, Enter-6 Fashion Square various locations, Jonggak, Coex Mall and Gangnam Underground Shopping Mall.","Written June 10, 2022"
7,Traveller of the world,4.0,"I wrote a review but editing it as I am still in Seoul and my review has changed slightly. I expected a lot more looking at photographs pre-pandemic. Seoul has only just reopened to the world. It is busy and things are open but it's not as I would have imagined. The shopping is pretty average with some local shops plus high street names like Zara. There are some food stalls (more on the weekends) where you can get street food. Having said the above, each day it is getting busier and more things are opening slowly. Weekends are when things are really busy. I expected things to open a lot later but most things start to close by 22:00.","Written June 4, 2022"
8,sleeperdoc,2.0,"A few years ago, this place was wall-to-wall people. Last Friday night it was not. At least a third of the businesses were closed up and there were only about ten street food vendors (some were excellent, though). Maybe it will bounce back, maybe not...","Written May 30, 2022"
9,Hannah,5.0,"Myeongdong is a must-visit when touring Korea. With products ranging from tornado potato chips to designer shoes, Myeongdong boasts everything in Korean cosmetics, food, toys and fashion. Its perfect location (centered in Seoul) allows such resources. The busy hustle of food carts on every street will ensure that you have a delightful time : you simply cannot not ignore the famous elderly woman sitting by the entrance stirring up dalgonas to spice up your visit. Although overcrowded at times, such chaos is what makes Myeongdong the perfect place to take a dive into Korean culture and socialize. Visiting in the morning may also help: Myeongdong is relatively peaceful earlier in the day, although there may be less food vendors.","Written December 10, 2021"
10,Raymond,5.0,"Myeongdong is filled with street food of all colors, sizes and tastes. I was brought here every night by my local friends. You literally can buy and eat anything from this street! It’s a MUST!","Written September 7, 2020"
11,Konstantina K,5.0,"Some of your best shopping can be done here! They have plenty of restaurants and cafes that are really good, At night, the street food is the best and not to miss at all.","Written September 6, 2020"
12,Augustine J,5.0,"Myeongdong is filled with street food of all colours, sizes and tastes. Equally filled with shopping spots. If you are looking for korean cosmetics, K-pop merchandise, clothes, accessories - Go to myeongdong. Everything from underground shopping to high end stores, you will spend your money. It is interesting to see one cosmetic brand having many outlets in parallel streets. Interesting to see free samples given to women at cosmetic store to lure in them and make them buy products. Street food is very delicious, quick and you can definitely make a hearty meal out of them. You can also see students involved in volunteering work, old people protesting sale of dog meat and preaching about believing in Christianity, large tour groups hurrying up to finish their shopping et al.  Whatever it is, Myeongdong is a fun place to go and spend the afternoon or evening.","Written August 21, 2020"
13,Guven D,5.0,"When i visit Korea i always visit Myeongdong its cool. You have to visit it by day and by night. Good place for shopping, eating or for a coffee.","Written August 12, 2020"
14,rememr,4.0,"Lots of shops selling facial products and korean snacks (mainly the almond nuts), though may get repetitive as you walk down the street. Visit Lucky Factory and Brand Market for affordable shirts and t-shirts. Beware of pushy salespeople, you can typically just ignore if you are not interested. As night dawns, street food stalls are set up. There are many restaurants to choose from as well. There is a 8-storey Daiso nearby.","Written August 10, 2020"
15,EnThaSe,5.0,Full of great street food and awesome stores. I recommend trying fried chicken with cheese from one of the carts and u wont regret it i promise u. U literally can buy/eat anything from Myeongdong street. It's a MUST.,"Written July 11, 2020"
16,youbel1970,4.0,"Was nice to arrive via the metro at myeongdong station 6 and the street is in front of you. Very wide and relax street due to Covid and ample space. Nice shops for all and a few street venders. Great side streets with colorful signs and ambiance. Large shopping mall, small mall. Do not hesitate to enter as branded shops are sometime hidden in a small place. Many restaurants for all tastes. Very nice evening with the family. Do recommend this much better than large group mall. Enjoy.","Written June 12, 2020"
17,Paul T,5.0,"Gotta get here each time in Seoul, just because it's life! Every step is an adventure with an amazing display and adventure of trends and trinkets.","Written June 6, 2020"
18,Ail,5.0,"Doesn't look like much when you walk past, but I was practically dying of hunger so I popped in. The definition of a hole-in-the-wall. I got the regular hamburger and wow... there are no words. A classic burger done right. Crisp bun, juicy patty, stuffed with all the essentials (ketchup, shredded lettuce, tomato, and pickles). There's about a million options available between the menu board and wall full of specials, so it can get a little overwhelming, but you really can't go wrong. Not much else to say besides go see for yourself! You won't be disappointed.","Written June 2, 2020"
19,The Weak Knee Traveler,5.0,"This is a very popular place amongst both locals and tourists. There's so many retail shops selling all sorts of merchandise, restaurants, cafes and also street food vendors. Certain parts are really crowded. Definitely a must visit place in Seoul especially if you like shopping.","Written May 31, 2020"
20,jang,5.0,"can see a lot of Chinese people on the streets of Myeongdong, and then you can shop happily and eat delicious food.In addition to seeing Chinese people, there are many people from other countries. Whether day or night, can see a lot of people.I will go to Myeongdong with my friends next time. Very interesting and happy. 명동 거리에서 많은 중국인을 볼 수 있고 행복하게 쇼핑하고 맛있는 음식을 먹을 수 있다. 낮이든 밤이든 많은 사람들을 볼 수 있다. 다음에 친구들과 함께 명동에 갈 거예요 매우 흥미롭고 행복합니다.","Written May 27, 2020"
21,Cyril Grace R,5.0,best place for shopping. suggested time is afternoon until midnight for you to experience the street foods of korea.,"Written May 11, 2020"
22,YesRuvalcaba,3.0,"Easy to Get lost, there are many of the same stores at walking distance so its Easy to get confused or disoriented; prices are really good for all korean beauty products and shoes, but you have to ready for room in your suitcase. Its overwhelming so better if you have a list of brands and products you want to save time .","Written April 9, 2020"
23,patrickperbkk,4.0,"Myeongdong is one the best shopping destination in Seoul. Lot of local and international shops, cafes and restaurants. Love street food, worth to try:-)","Written April 7, 2020"
24,Lance H,4.0,"This is the place to go for street shopping and people watching. It can be quite crowded. There is plenty to eat, including semi-exotic things from a USA perspective. There are also plenty of markets selling everything from clothes to electronics to candy.  Definitely visit this part of town.","Written March 30, 2020"
25,Husain M Husain,5.0,"It was the best thing that my hotel was near myeongdong shopping street, where you can experience the city life in Korea. The street is so active and has so many shops, from skin care, clothing, music, gift shops & etc.  Also, street food is available everywhere on this street. international fast food and coffee shops are available as well.","Written March 30, 2020"
26,BillNabilah,4.0,"This area has a lot of skincare and cosmetics products. Price is not really cheap (Ehwa area is cheaper). However you can get everything here. A lot of food vendors too. Halal restaurants also available here. If you want to do a lot of shopping in Seoul, there are a lot of hotels to choose from, walking distance to Myeongdong.","Written March 14, 2020"
27,Yi Qin,5.0,"We always book our stay near the myeongdong shopping street because of the convenience and the endless food and shopping options it offers. You can find all the famous korean cosmetic brands there and the shops and streets are always crowded, especially at night. The street food there is a must try and we highly recommend the spicy fish cake, hotteok( sweet korean pancake), Gimbap for an authentic korean experience.","Written March 14, 2020"
28,Febrina Prameswari,4.0,"Here you can find Korean hype brand, medium to high-quality brand in way cheaper price than in any other country. The restaurants were a bit expensive compare to other areas in Seoul, but this like where first timer tourists should to go to.","Written March 11, 2020"
29,Caroline Bilbrough,4.0,"Go early evening to enjoy the food stalls, & check out the Chicken & Beer bars (that's exactly what they serve!).","Written March 11, 2020"
30,jrrjr619,5.0,This was a unique shopping experience for the family. There were so many street vendors with just about anything you can think of and lots of food. There are also shops and restaurants in the buildings along the street with more selections than the street vendors so you really need to make a day of it if you have people with you that have the shopping bug.,"Written March 10, 2020"
31,Xfuauz,5.0,"many cosmetic and clothing sold the the stall but most sold at the same price. Some restaurants located need to walk the stair up before you can take the lift to the desired level hence not convenience for people who have problem climbing the stairs. Mobile tourist guide (international language) located at heart of myeongdong street, they are every helpful and get you to where you want including how to book tour trip. It will be a plus if there is more english signage to get around seoul","Written March 5, 2020"
32,J926LRjemcf,5.0,"If you're crazy about korean skincare/cosmetics, this is a MUST visit. There are a lot of shops to choose from. Love the street foods available at night. Some food items are pricey but most are affordable especially for budget travellers.","Written March 5, 2020"
33,thechoos,4.0,"This area of myeongdung is a shopper's mecca. From all the skincare beauty and latest street fashion wear. Bustling, crowded and lively to spend your time and money right here.","Written March 1, 2020"
34,Darren C,5.0,"Great place for choice, yummy street food and ease of getting around. There are few well known brands from the west such as Zara, Levi’s, Tommy Hilfiger, Calvin Klein, Adidas and H&M for what we saw, could be more as it’s a big place, highly recommend a steakhouse in my other reviews.","Written February 23, 2020"
35,KC1,5.0,"Despite there is a lots of shopping to do (mainly cosmetics and snacks), i use to go there for foods mainly. Don't hesitate to go into small alleys and try small restaurants, lots are quite nice and tasty.","Written February 20, 2020"
36,Lee Shearer,4.0,"A must visit when coming to Seoul.Pros- Spacious walkways as compared to say Taipei's street/night markets. 2) Comestic, fashion and foodstuff for snacking relatively affordable. 3) Easily reached via Seoul Metro Stn of Eujiro 1 ga n Myeongdong.4) Wide range of hotels to suit one's budget arnd the area. Cons-1) Their street food are quite pricey for a night market.Average arnd 3000 won for just about any finger food and taste just about average. 2- Can get lost easily as most places in there looks very similar. Nonetheless, a must visit when travelling to Seoul.","Written February 17, 2020"
37,jh s,3.0,"the male street vendors make spitting or grunting noises and stare at people with impure, cynical and aggressive eyes. the female street vendors are loud brazen harpies who love to mess with people. depressing.  it used to be a historical place but not much sign of that anymore.","Written February 16, 2020"
38,Troels J,3.0,This place is fun for 15 minutes but then it is just way too much. It is; however a must see when in Seoul,"Written February 16, 2020"
39,Muhamad Hanif Asaari,4.0,This is the place if you want to enjoy a variety of street food in Seoul. They have some halal food also,"Written February 14, 2020"
40,Deta,4.0,"This is the place where you can shop any cosmetics and skincare brand in Seoul. They has plenty of shops that is heaven for ladies. On the other hand, the are a lots of street food vendor that makes the street more vibrant.  During my visit on winter holiday, the street was very crowded, even in the cold winter night, the street was very pack that makes it hard for you to walk.  Be careful with the sales ladies that give you for some free samples in front of cosmetics store, once you grab the free samples, they will not let you go until you buy something haha","Written February 14, 2020"
41,Holyrood,5.0,"This is an awesome area to shop and have some delicious street food. At night the whole place comes alive and it's just great walking around exploring all the side streets and deciding which street food to try next. So many shops to choose from and if you need some comfort from the west there is always Zara and H&M as well. There are ALOT of beauty shops, as there is all over Seoul. We can back here many times and found something new each time to explore.","Written February 12, 2020"
42,Kens,4.0,"If you are an avid skincare followers, you must go to Myeongdong street for an haul. But I didn't come to Myeongdong for skincare. The street food was reason I came the first time and turned out pretty goooddd. Next stop was Myeongdong Subway exit 6, where you can find heaven of kpop stuff. I bought some for myself hehe.","Written February 11, 2020"
43,Agnieszka G,5.0,If you want to buy souvenirs or the best face products or have a cup of coffee in strange place or just enjoy the vibe of street atmosphere just come here and stay longer the 5 minutes :-) Very good place for shopping lovers or people who wants to feel vibe of the city,"Written February 10, 2020"
44,Nez D,4.0,"The whole area was pretty cool, as there was something for everyone. In addition to all the restaurants and different types of stores (mostly make-up), at night they had a lot of food street vendors. More choices for women","Written February 8, 2020"
45,atran1979,5.0,A great street to walk around. Make up and face masks are really worthwhile. Food is a bit expensive compared to other markets. Retailers really exploit tourism,"Written February 7, 2020"
46,Natalia,5.0,"This place is just simply the best one in Korea. You can find all kinds of clothing, skincare product, gifts, restaurants, street food, to your favourite Kpop star albums! And they're surprisingly very cheap. Moat of stall sells food from 2,000 won per portion. Although I was mostly there looking for gifts and skincare products, this place is a must visit in Korea. I will definitely find a place very near to Myeongdong Street next time I visit Korea!","Written February 6, 2020"
47,Ashley M.,5.0,"There are so many shops and people walking the streets that it can be overwhelming if you're not accustomed to that. If you've never been to Seoul, try not to get sucked into one of the beauty stores (like me). They'll offer you something free and next thing you know, you've spent entirely too much money on facial masks!! LOL... It's fun but BE CAREFUL!! LOL","Written February 5, 2020"
48,Jenine May L,5.0,Super awesome place! I really love everything from here . Would like to go back again here! Super worth it,"Written January 31, 2020"
49,mgmblake,5.0,"Although it was fun to eat the street food, I found it better to eat in some random Korean BBQ restaurant. What makes this place are the makeup and beauty stores. My goodness you will never realize how much skin care and hair care you need (or think you need) until you enter one of these stores. My personal favorite was Tony Moly. If you aren't careful you can blow you entire budget on that street.","Written January 27, 2020"
50,Dave S,5.0,So there is so much street food and for fairly cheap. Also there is plenty of high end shops in the area. It is definitely a good spot to check out if it is you frist time in Korea.,"Written January 27, 2020"
51,Kim,3.0,"If you plan on shopping for k-beauty here, make sure you come before 2pm. Once the markets start it gets crazy busy. On the first night we thought it was a novelty but we quickly realised that some of the food wasn't as cheap as we thought. Some of them vendors reheat food by using those gas flame lighters so they're not fresh off the grill or reheated on it. As well as it being unbelievably busy, there was rubbish everywhere, it was a bit of a turn off. Worth a visit if you're into k-beauty though but wouldn't come here just for the food stalls. There are some decent restaurants around too in the area.","Written January 27, 2020"
52,Toni Z,3.0,"There were always a lot of people.  We were only interested in snacks. Pretty expensive. Would recommend going to the local markets instead.  For example, a box of strawberries was sold at W15000 here and only W3500 at Mangwon market...  Nevertheless, it was a place with different variety of restaurants and shops.","Written January 26, 2020"
53,Averroes C,4.0,should not miss this place. there are lots street food which are very Korean. you can go to restaurants or cafe. Shops - middle range. Crowded coz its popular.,"Written January 25, 2020"
54,Russell1979,5.0,"One of the most popular shopping districts in Seoul and for a reason. It's always crowded, especially during the evenings when all the street food carts are in full swing. I would come here just for the street food from simple veggies to exotic lobsters and shrimps and everything in between. One can find almost every brand here and of course a wide range of cosmetic products. (Carry a stroller if traveling with very small children)","Written January 25, 2020"
55,jacqueline j,4.0,"Great vibes, great market place for street food and people watching! The beauty shops here also great fun!","Written January 22, 2020"
56,Nubailah,4.0,"I love to shop at Myeongdong Street due to its variety of shops and also its street food. Easy access to/from metro station as well. There are many beauty product shops (Holika Holika, Banila n Co, Innisfree, Tony Moly, Lush) and other familiar global brand (Zara, Uniqlo), Tom's Almond etc. The street foods are also good and has many varieties, dont miss to try barbeque lamb stick, strawberry cake/souffle, gimbab, spicy bbq squid and many more.","Written January 21, 2020"
57,Talitha M,4.0,"Very touristy, but fun vibe! Lots of modern shops, market stalls and food stalls. Good variety of food as well. Must have, 30cm icecream!!","Written January 20, 2020"
58,Mtch,5.0,"Myeongdong street is the most amazing street i have ever been! Aside from it is very safe, the street is very entertaining. From the street food, to the signature stalls to the ambiance. Very nice place! We have stayed somewhere this area for 5 days.","Written January 20, 2020"
59,lauricejustine,5.0,"Love the area... all sorts of street food that was amazing!!! Shopping stores left & ryt!!! Its a convinient place to buy all sorts of things. They also have local grill restos that served good food. We ate during Xmas eve at one of the grill resto- i forgot the name, but the meat was delicious!!!","Written January 19, 2020"
60,dblim,5.0,"You would already know Myeongdong is good for getting cosmetics and skincare products. Would recommend you to try the street food that come out only at night.  Also if you plan on getting face /body masks, this is the place to get as they are still cheaper than duty free. Not for all products but most.","Written January 19, 2020"
61,barnaul2000,5.0,"fun experience especially at night! shop and eat till you drop. from street drop variety to cool hole in the wall restaurants, and beauty cosmetics and clothing shops- especially beautiful with all the lights in the evening!","Written January 17, 2020"
62,SiYauKai,5.0,"For first timers to Seoul, this place is ideal...with lots of food options and shopping to do...if you're here for the culinary and shopping experiences! You can have lunch and dinner at different restaurants every day/night (assuming your hotel provides breakfast). Lots of cosmetic shops, with vendors giving out free facial masks in front of their stores, in hopes to wheel you in. Some restaurants have a 2nd or 3rd floor, so do go in and check with host/hostess for availability, and don't just assume there's no seating when the main floor is full. There are lots of street vendors along Myeongdong-Ro (St) where they sell gimbaps, deep fried squids, etc...which you may fancy. For tourists, you will find good exchange rates in this area too. When we were there during Xmas/New Year, there were huge sales everywhere in Myeongdong shopping street… good time to go :)","Written January 17, 2020"
63,Debra M,5.0,"The people are friendly, although when they look like they are handing out samples of things, they are not, they will pull it back and tell you go into store. The street food is cheap but delicous! way to save money. American made clothes are really expensive, I saw very little Korean made clothing, The underground markets are reasonable. But my favorite was really trying all the different foods.","Written January 15, 2020"
64,Rene Paparang,5.0,There's a lot of spot shopping in Seoul but this one is the best. Because they have good price. Low price but good quality. If you want some souvenir from Korea this is one place that you should come,"Written January 15, 2020"
65,lola,5.0,"Bustling, energetic and ecstatic! I love the energy here and the street food are pretty awesome. Go to the alleys for cheaper street food!","Written January 14, 2020"
66,Iglokott,5.0,"Amazing cosmetics shopping, many other shops too. Different kinds of street food. Very different and unusual experience.","Written January 14, 2020"
67,GintamaZ,4.0,Things are more expensive in Myeongdong than other locations in Seoul.  There are definitely more tourist in Myeongdong . It is very central to everything . But very crowded in Christmas .,"Written January 12, 2020"
68,philippebouchara,4.0,"Astonishing lights, restaurants, and full of markets where everyone can purchase good for yourself and/or for presents to be offered to family, friends or relatives when coming over. There was the real life in the city of Seoul at night. No one should miss it when visiting and walking through the capital definitely (night and day as well) !","Written January 9, 2020"
69,Andy S,5.0,"This place is the best place in seoul. This place have everything like streetfood anykind of food you want myeongdong have it...also about shopping street they have everything you dont have to go anywhere in seoul. Everything sell in dongdaemun myeongdong have it....everything sell in gangnam myeongdong have...from shoes, clothing, bags and cosmetic they have complete all stuff","Written January 8, 2020"
70,Meander800093,5.0,This area has all the beauty shops. Masks for every part of your body. Bought loads to take home to australia as it is all so cheap. Did not feel ripped off. Do your homework first as to what you want as it can be very over whelming. Evening food markets are amazing every thing was so good that we tried. A must is the kimchi dumplings and korean fried chicken not to mention the lobster tails. Very busy but very safe. Oh bought a few pairs odf adiddas footwear as very cheap.,"Written January 8, 2020"
71,Kira Yvonne Lim,4.0,"It's a well known fact that Myeong-dong is a beauty product wonderland and not to mention, beer and fried chicken.  It's a must go for any first timer in Seoul and also beauty products fanatics.  It's a lovely and vibrant place with tons of street food too. The only downsides are the animal cafes not letting kids in, a pity.","Written January 8, 2020"
72,Christie Nguyen,5.0,"First time or frequent visitors, this place is a must! Street food stalls are by 4pm everyday until past midnight. Shops and shops and shops, and restaurants after restaurants, cafes and salons and OMG everything you need. If you can, visit this place weeknights, because it’s extremely packed on the weekend.","Written January 7, 2020"
73,DebWhite,5.0,"This was a great place to shop! We visited on a Sunday afternoon. Plenty of tourist friendly stores. Traditional and touristy gifts, food and candy. Definitely a must-do when visiting Seoul.","Written January 6, 2020"
74,minnesotans4,4.0,"We were in Seoul overnight and wanted to shop for their wonderful Korean beauty products. We stayed at a hotel near Incheon and debated whether to take the AREX Incheon Airport Express train from the airport or uber. The one way train ticket was definitely cheaper at 9,000 South Korean won compared to the $75 USD uber but we opted for the uber due to time constraints. Taking the shuttle back to the airport, finding the express train, and coordinating the train schedule plus a transfer to Myeongdong Street from Seoul Station seemed too much of a hassle and time consuming. Travel time was between 45-60 minutes. Be prepared for the crowds since this was one of the main shopping/tourist streets. The stores accept credit cards but have SK won for the street vendors. We found ATMs in the area. We tried some of the street food but after awhile tired of the greasy fried food. There were some rather unique concoctions: fish shaped waffles, dumplings with red bean paste, and seasoned chicken/rice cakes to name a few. We were there for the beauty products and found Innisfree to have the best selections. We loved: Jeju orchid enriched cream, green tea seed serum, green tea seed eye cream, volcanic pore clay masks, wrinkle cream and of course the masks. The jellyfish vital mask was one of my favorites. Credit cards were accepted plus duty free was an option with a passport. These products can be ordered online but was cheaper in the stores. What was interesting about this area was that there were literally no garbage cans to throw away wrappers etc. from the street food. Fun experience and felt very safe in the area.","Written January 6, 2020"
75,Joseatstheworld,4.0,The street comes alive at night and better when the weather is a bit cooler. Much nicer than nigjt market in Taiwan.,"Written January 4, 2020"
76,kikitan99,5.0,Fantastic place for people who love to shop. All kind of shops with many cheap things. Lots of street food as well. Love it! Never leave Seoul without going to Myeongdong,"Written January 4, 2020"
77,Patrick S,5.0,Great choices of appetising street food. Good crowd also creates a festive atmosphere. Seems very safe place to go with family. Some very good restaurant as well at very reasonable prices. Definitely an area not to miss when visiting Seoul. I stayed a week in Seoul and been there almost every evening.,"Written January 3, 2020"
78,stephenchan,4.0,"It is a perfect place for shopping of skin care, fashion items, etc. etc. Lots of people no matter it is weekend or weekday.","Written January 2, 2020"
79,Luleelee,5.0,"Wow! You have to visit Myeongdong- the shops here are amazing- lots of beauty shops in particular! “Free” face masks are offered to lure you into shops but sometimes you can just take them and keep walking. It is super crowded here so be aware you will be bumped into n jostled a bit- all part of the experience! By about 4pm the street food carts come out- oh my goodness the variety, the look n smell is delicious! Is there anything fried that is not tasty?? No!! Try the crepes with Nutella, banana n cornflakes- yum! Egg rolls, corn dogs, fried chicken- all sooo good!","Written January 2, 2020"
80,Nor Hafizah,4.0,"The street was packed with so many shops selling cosmetics at a good price. You can shop them for souvenirs, eat the street food.","Written January 1, 2020"
81,Calvin,5.0,"A must visit if you want to do some shopping and have street food! If you know you way around, Namdaemun Market, Myeongdong Cathedral, Bank of Korea Museum and various shopping malls are nearby - although Hoehyeon station maybe closer to Namdaemun market. You have to try kalguksu and mandu dumplings at Myeongdong Kyoja! They have 2 of 3 locations in Myeongdong, but best go to the original place (established 1966?)","Written January 1, 2020"
82,Cory T,5.0,"Very busy, huge Korean and Western stores everywhere with amazing deals. We picked up a lot of awesome clothes and makeup for superb prices. Can strongly recommend.","Written December 31, 2019"
83,Payge,5.0,"This is the place you have to visit if you are in Seoul. I went here almost every day whilst I was in Korea (for two weeks). There is so much here for everyone, in terms of beauty, music, niknaks, food etc. I would 100% recommend going here at night for the market, it is a once in a lifetime experience. The two best things I found in Myeongdong were - Nanta Theatre and Underground shopping centre.  The Nanta theatre was absolutely hilarious and can be loved by people of all ages. The underground shopping centre - found when going into the myeongdong subway station, was okay, there wasnt much there other than niknaks and socks, but there are a few kpop album shops there with such a large range of albums, all for very cheap. I'm from the UK and albums here (mainly bought through amazon) cost 4/5 times more than what I found here. I spent over £1000 on albums whilst here, and actually got my moneys worth, wheras in the UK this would have gotten me 30 albums at the most.","Written December 31, 2019"
84,lovetotravel88888888,5.0,Very interesting place to wonder around. So many shops and side streets full of shops. So many Korean beauty products and also Tom’s flavoured Almond shops. Also there is also a big Art box here as well. It gets busy during the day but that is nothing compared to nighttime when all the street food vendors come out. Please be careful because people will just push and shove when it’s really busy. That being said we still loved the place. Go and enjoy all it has to offer.,"Written December 31, 2019"
85,paulinehhchan,5.0,"Myeongdong shopping street has all the beauty goods you need to find, every brand , every product. The freebies that comes with every purchase is also quite generous. Watch out for periodic value 1+1 buys if you intend to stay few days.","Written December 31, 2019"
86,Bulldogmom15,5.0,There’s no shortage of Korean beauty products here. However if you’re looking for just about anything else chances are you’ll find it here. There’s also lots of food choices available.,"Written December 29, 2019"
87,Fengww,5.0,Shopping street is interesting and fun for everyone . Ladies are the happiness because we get to buy fashionable items .,"Written December 29, 2019"
88,Emma C,5.0,"Myeongdong is chock-full of shops selling most things, but for me it is a place for beauty products and girly nic-nacs...and street food.  Towards the evening time the area fills with folk selling all kinds of Korean food...BBQ, stir frys, snacky bits and dumplings. I love love love the food and ambience here.","Written December 28, 2019"
89,Kelly C,5.0,"This Myeongdong Street seems never ending road. Before our legs breaks from sores, there are still lots more and more to walk. Filled with many nearby shopping centres and of course street food. It’s very Yummy and walking down the streets during winter is superb cooling for us! In fact, it’s quite freezing. Will definitely come back here again!","Written December 27, 2019"
90,Adrian Lee,5.0,"Night street of famous Myeongdong Street Night Foods, famous for its nightlife packs with people around. Had the lobsters baked cheese with read bean and Chocolate pancake that is so delicious and tasty. Is a night so lively not to be missed, environment and atmosphere is always so lively with bursting energy everywhere ☺️☺️☺️☺️.  Had teh lovely dinner over three street of night stalls around the Myeongdong Street walk. Lots of things to see and hang around the area.","Written December 27, 2019"
91,Romuluz75,4.0,"As part of our tour itinerary, we visited the Myeongdong street for a couple of hours. There is a Lotte duty free mall nearby as well, though its more for branded goods. The Myeongdong street was packed with locals and tourists alike. Most of the shops are selling cosmetics, face masks, fashion accessories, and many streetside stalls with local food.","Written December 26, 2019"
92,Veritas,4.0,"Interesting area with quite a number of cute places , shops , restaurants and night market . I prefer this area over Gangnam area which is to large and takes too long time to walk. Recomendable for tourists.","Written December 25, 2019"
93,2824,5.0,Located just along the train station. This place boasts a lot of fashion shopping and food( both street food and restaurants). Really a haven for the foodies even in winter.,"Written December 24, 2019"
94,Tom Slenderina,3.0,"My first impression was cosmetics...cosmetics and lotsa cosmetics although i did see a uniqlo store down the road.. Honestly i didnt go into any of the cosmetics store who offered free masks (only if you go into the store). I ve had my share of experiences where you go in and it would take me all my might to just get out and continue elsewhere. I just walked past and it was a wonderful experience of sights, smell, hustle and bustle of everyone around. You can get lost in here lol","Written December 23, 2019"
95,PRECIOUS TRAVELS,4.0,"Myeongdong Street is super tourist friendly; there are many shops, cafes, restaurants as well as lots of street food and shopping. Most places have English speakers and/or menus, so it is easy to find what you want. This is also cosmetics center, so if you like or want any of those products: this is a place to get it! Don't be afraid to walk around some before you make final decisions on purchases because there are many vendors providing the same foods/products/souvenirs.","Written December 23, 2019"
96,Vanessa Tan,5.0,"Perfect place for first timer. U get food and u get shopping. This is the place to shop for beauty products. Night market starts at about 4pm where vendors start setting up, buzzling till 11.30pm. very convenient with Myeongdong station and euljiro 1(San) station nearby.","Written December 22, 2019"
