,이름,별점,리뷰,날짜
0,Learntorock,5.0,"A park rather than a forest, but still a nice place to go for a peaceful wander. Lots of things to see, including the 'Invisible Giants' area, deer enclosure, etc. On a hot day the trees drop the temperature. There are toilets and cafes. Lots of seats which are placed in areas that will protect you from the sun, rain and snow.","Written July 15, 2022"
1,SherbetMelbourne,5.0,"OUr daughter took us here and it is one of her favourite places to enjoy some fresh air and greenery whilst she works in Seoul. Easy to walk around, lots to look at, we saw deer and lots of birds etc. Looks like a popular spot for locals.","Written July 5, 2022"
2,sleeperdoc,3.0,"Quiet, park-like ""forest"" in a mostly residential area, near to lots of nicer restaurants. 5-10 minute walk to the nearest subway stop. Some trails, benches and, of course, trees.","Written May 30, 2022"
3,Ellen Tanner,4.0,Went on a weekend and it was packed. Most were locals probably due to Korea's relatively strict covid rules. Went during spring and there were some nice flowers. However it was way too crowded to enjoy nature properly. Coming during weekends would be a better choice.,"Written May 22, 2022"
4,minyoung,5.0,"The park is big and has a good walk path, so it's convenient for taking a walk. There are many beautiful cafes around, and it's fun to visit them. Also, there are many trees. feel like one is in the woods of the city. It's a good place to come when you want to rest, and to come with anyone, your boyfriend, family or friends.","Written May 26, 2020"
5,Kat,5.0,"Love going to Seoul Forest. I have visited both during the spring, summer and fall. This past April, I went to see the sea of tulips and wasn’t disappointed, even during Corona Virus, the colorful tulips brought happiness and hope. But you can visit this place at any time and there will be some sort of flowers to enjoy. Peaceful for walks, picnics, dates, and activities for the whole family. I will definitely be back in the future. Lots of cafes and restaurants near by to enjoy.","Written May 16, 2020"
6,Nether J. Paulsen,4.0,"Besides nicely paved lanes and beautiful scenery, the park has several amenities where you can enjoy your time with your friends and family, like the outdoor tennis and badminton courts. It's such a surprise to find a tranquil and peaceful park so full of green in the heart of the busy city. If you spend more than half an hour walking around, you can even get to Hangang River, which was a very enjoyable walk for me.","Written December 17, 2019"
7,Alex D,5.0,"Vast park in the middle of Seoul. Nice place to relax a while after sightseeing. Also next to Under Stand Avenue, a nicely done shopping center made of container with some interesting restaurants and stores, a little more low key than common ground.","Written November 29, 2019"
8,yipjcs88,4.0,"Seoul Forest is easily accessible by subway. Change at Wangsimni to go to Seoul Forest Station (K211). After exiting the toll-gate, there is a lift at the end of the floor to take you to the street level. Turn left and then right to enter Under Stand Ave. There is a good eating shop on your left. Cross the road to enter Seoul Forest. Last year, the autumn colours were stunning but because of the long summer and dryness this year the ginkgo and maple trees were somewhat disappointing. It is still a good place to walk.","Written November 14, 2019"
9,SGPTaiTai,3.0,"Huge garden with performances on some days, without which, there isn't much to see. A lot of green and few flowers when we visited in early October. I wouldn't recommend going out of your way to visit this place. There are more scenic nature walks closer to the city.","Written November 10, 2019"
10,ChaxouL,5.0,"I went to Seoul forest to enjoy the weather with a friend. the place was really nice, we almost forgot that we were right in the center of Seoul. the weather was perfect and the leaves in the orange color of autumn were perfect. short a good time, I recommend this park.","Written November 5, 2019"
11,Brent H,5.0,Wonderful place to spend a beautiful day. There are tons are walking paths and benches. The park is filled on the weekend. You can rent bikes and ride around the perimeter of the park. There is a lot of shade.,"Written October 29, 2019"
