,이름,별점,리뷰,날짜
0,Annie C,5.0,"Closure of boutiques & cafes in Dongdaemun n Myeongdong, esp Lotte Fitin n Roem, forced me to look beyond these teo familiar places for alternative tourist shopping n cafe-hopping. Thanks to guidance of Myeongdong Tourist Ambassadors, Dongdaemun Tourist Centre n helpful n English-speaking Koreans we met along the way, I still managed to have plenty of shopping at Coex Mlall, Fashion Square Wangshinmin & Goto Mall-cum-new Fashion Square. Sistina, Covet Blan of Coex Mall r my favourites. You must try fried rice w seaweed topping, Gimpbab n Bulgogi set at Coex Mall, and Nolbu Budae Jjae at Goto Mall after tired but enjoyable shopping.","Written June 18, 2022"
1,ChoonSeng,5.0,"Quite a nice place, amazing architecture and some good window shopping place.  The mall just outside the train station so eady access and no worries of miss the way.","Written June 5, 2022"
2,Traveller of the world,5.0,This is a cool mall. You have to go to the library part in the middle. Amazing. Never seen anything like it! The mall has a cool atmosphere too. Located in Gangnam. Nice as evening approaches with the skyscrapers surrounding the mall lighting up.,"Written June 3, 2022"
3,Bella Rose,4.0,"I always bring my friends here once they visit Korea. You can expect various stores like every common malls out there, don't forget to visit the library, best for photoshoot.","Written August 21, 2020"
4,Zee,4.0,"This library is famous among tourists who come to South Korea, located inside COEX Mall in Gangnam district, you can find lots of book genre in many languages, they alo provide book store if you want to get the books or magazines you like.  The vibe is actually kind of not suitable to read some book there because it's usually quite packed with tourists taking pics and stuff, but they do providing some corner and reading tables if you still want to read your book on the spot.","Written June 21, 2020"
5,Neil Explores,3.0,"Such a big mall. We went here because of that ""instagramable book store""... Apart from the book store, just the usual mall with lots of dining and shopping options. Near Gangnam District, though we didn't go there anymore.","Written April 19, 2020"
6,patrickperbkk,5.0,"One of the best meeting points in Seoul. Lovely awesome bookstore with local shops, cafes and restaurants.","Written April 7, 2020"
7,199ro,3.0,"会議での利用（大ホール）。 COEXモール内には、ショップ、水族館、図書館があります。 図書館は、本を提供する体制というより、内装や雰囲気重視で外国人的には見ごたえあります。  I visited for meeting (large hall). There are shops, aquariums and libraries in the COEX Mall. Libraries are more attractive to foreigners because of their emphasis on interior and atmosphere rather than the system of providing books.","Written April 3, 2020"
8,BillNabilah,5.0,There is a beautiful and instagrammable library inside the mall. They also provide prayers room for Muslim tourists so no need to worry if you want to do some shopping here.,"Written March 15, 2020"
9,Bianca,5.0,It was one of the coldest but most memorable new year's eve countdown parties I ever experienced! The food stalls were up as early as noon and people started coming in early. There were plenty of security personnel around so it felt safe and was not hard to move around. The mall was open until 10pm. We had formal dinner before the countdown party. The program began at around 9pm and it was fun as expected with many Korean TV personalities in attendance. The fireworks did not disappoint too!! It was a night to remember!,"Written February 3, 2020"
10,Culinary-Consultants,2.0,"I agree with most that the architectural display out side the Starfield COEX Mall is impressive to say the least. But inside? That's another story. Low ceilings, very dole and depressive. We felt as encased for a lack of better words.  It does not represent inside the modernistic approach from the outside. The quality of the stores are really average and we believed that a structure of this kind would have design better stores and with better choices. Most things once again, cheap Chinese stuff, disposable value items and again the infantile South Koreans with stores filled with teddy bears (for adult people) cute cartoon printed made in China socks (for adults) and the distribution of the stores....very confusing.  Not a well planned mall and nothing to offer except for the Starfield Library, which is really pretty and impressive. Two floors library with lots of colors and places to eat. Basically the only highlight of the Starfield COEX Mall which is pretty average.  Except for the Starfield Library which you can access directly from the streets, the rest of the mall is a waste of pure time. Not recommended.","Written January 29, 2020"
11,Winnie N,4.0,"Chance upon the stacks of books at an underground mall. It was beautiful. Apparently, you can get a book to read or just simply sit around the area. Nice place to visit.","Written January 26, 2020"
12,Kaleb S,3.0,It’s you’re average mall. The library area was kind of cool.. until you realize that many of the “books” are fake and attached to the shelves. Was even more of a bummer when I saw that the “fake” books had duplicates all over the shelves.. They couldn’t even get unique fake books. 🤦🏻‍♂️  Here’s a picture of me looking at a real book about behavioral economics written in Korean. That part was cool.,"Written January 26, 2020"
13,JHL,4.0,"There are many shops, restaurants and so on. It's good to visit during lunchtime if you work nearby. Starfield Library is a free public library. Nice place to chill. Locating in a business area, I think it's not specifically designed to attract foreign tourists. But, we have seen many of them. I guess they prefer this for shopping, photos, aquarium and Bongeunsa Temple.","Written January 17, 2020"
14,GintamaZ,4.0,The highlight is off course the multi story public library .  But there are also variety of stores and restaurants.,"Written January 12, 2020"
15,Kim,3.0,"I was expecting this mall to be bigger for shopping but it's not that big. I didn't visit the aquarium but I did to to the library which was unique and impressive. The shops weren't anything I haven't seen before in Seoul either. The food trucks at the front had long queues, maybe it would've been worth the wait since we entered up having mediocre expensive vietnamese food inside the mall.","Written January 4, 2020"
16,dhcbecker,4.0,"This is the largest underground shopping mall in Asia and it does not disappoint. Of all the shopping malls that I’ve been to in Seoul, this one most resembles those in the States. If shopping weren’t enough, there is a cinema and conference area. One of the most unique parts of this mall is the library that sits in the middle. It’s a lending library with shelves from floor to ceiling which continue to the floor above. Just as incredible is the fact that it’s packed with people sitting around and reading. Yes, there are people in Korea who go to the mall to read. Incredible. Another live-and-learn moment.","Written December 31, 2019"
17,Travelling Trapeze,5.0,"My fiance and I were checked in at Intercontinental Grand Parnas and this mall was very convenient for us. From dining to shopping and even visiting the COEX Aquarium. I love being here although prices in stores are quite expensive.  Tourists like me would find this overwhelming and it will indeed give you some thinking as to buy a lot or not. Haha! I just bought a couple of souvenirs to take home. It would be better to buy from elsewhere, though.  If you happen to be in Seoul, this place is worth visiting - and to explore.","Written December 30, 2019"
18,emily young,3.0,"Very wide. Complex structure. But attractive place. There are many restaurants, too. I really liked the library. I think You don't have to visit. But it's not bad","Written December 25, 2019"
19,rfcmd,5.0,Plan to spend the entire day (at least) if you want to see the whole place. Lots of variety in stores and restaurants. A bit overwhelming and a challenge to navigate due to it's sheer size.,"Written December 16, 2019"
20,Winston Chuah,4.0,"COEX is a big shopping mall and convention center. Famed for being in the Gangnam district made famous by the you-know-what song. COEX isn't the only place to visit and you can visit several attractions like the art hall, SM Town, fountain plaza, duty-free mall, casino, aquarium, bongeunsa (temple) & megabox.","Written December 16, 2019"
21,GlobetrotterJ16,4.0,"Starfield at COEX is one of the best malls in Seoul, quite large, lots of choice of shops and restaurants. It is one of two co-joined malls, also with two hotels, movie theater and much more. One can easily spend half a day there. So large that it is at times easy to get lost but lots of signage helps. Whenever we are in Seoul we go to this mall to stroll around and see whats new and interesting as well as to have a nice meal. Really one of the best in the city.","Written December 15, 2019"
22,daphne-jem,4.0,"The huge, pile of books but arrange neatly on the second floor which can be seen from the ground floor makes the mall stunning, and instagrammable foto opts!","Written December 13, 2019"
23,Eric,5.0,"Must the the most tourists-visited library in the world. A must-see, surely. Not large but the design is unique and visitor friendly. Rest of mall is quite standard with usual shops. There is an aquarium too.","Written November 30, 2019"
24,Swee Cheng,4.0,"We visited Starfield Coex Mall on a Sunday noon in September 2019 . Upon stepping into the mall, we were so so impressed by the huge library which is located right in the centre of the mall. There is a mammoth collection of local and foreign books and magazines and the tall huge walls are lined with books as well. The library is very spacious with many seats available for reading and browsing pleasure. Besides the amazing library, Starfield Coex is a modern mall with everything shoppers need for fashionwears & accessories and services for all ages and also plenty of dinning choices. Understand that within this hige mall, there convention halls, cinema and aquarium. We didnt explore much as we were heading for other destinations given our short stay in Seoul. It is a beautiful Mall and l would love to return for another visit for this is a place to make me smile , especially the lovely iconic library .","Written November 26, 2019"
25,Bethany and Jaz,4.0,"Lots of shops, restaurants and art to see. Easy to get to from train and genuinely just a good time with friends and family.","Written November 6, 2019"
26,MsLigs,5.0,"It is not just a Mall and a big shopping center with a huge food court but it also features an architecturally interesting library. With Free entrance, people could just walk in and read books which were just line up on the shelves. There were chairs and tables around the place. Many people were coming not to read books but to take photos of the place as it is very popular for tourists.","Written November 1, 2019"
27,felicia,5.0,"if you are a kpop fans especially SM stan this place is a must list to visit because SM COEX ATRIUM will give u an experience to get close to your idol, inside SM there's museum, photobooth, merch shop, cafe or even auditorium. and Coex Mall is really nice to look around also the most iconic there's a library inside mall with amazing decoration and huge scale of bookshelf . U can also take a pic in here.","Written October 15, 2019"
28,AR14,4.0,"The mall is great. Modern, lots of good shops and restaurants. Well connected to the metro and bus stop. The library in the center of the mall is a great place for pictures. There is an aquarium attraction which is great. It is also connected to the Hyudai Department Store, Intercontinental Hotel and SM Town Museum. As a family traveler, we appreciate the baby room which had all the facilities we needed. They had changing tables, resting area, nursing rooms, baby cots, and baby feeding area. Very thoughtful.","Written October 10, 2019"
29,Georgia K.,5.0,"Starfield Library is something very special! Thousand of volumes, magazines from all over the world, even magazines for interior designers, gardens, e.tc, from France and Italy, are all in the disposal of the citizens without any discriminations. It is worth it to pay a visit. You can buy or borrow (inside) the library, everything you might have in your mind. In general, the huge store Coex is available for your entertainment as for your shopping.","Written October 9, 2019"
30,Itravel0ne,4.0,Love this mall as it has nice shops with international and Korean brand. Very crowded on weekend and the beautiful library is also the main attraction. The Hyundai hall is a good place to start to hunt for food. You can easily spend your day here.,"Written September 7, 2019"
31,PhaneeClone89,5.0,The mall is very huge. The good thing is. I came when Korea Great Sale was happend. and i was really amazed by the giant library!!!!,"Written August 29, 2019"
32,WorldTraveler,4.0,"We stayed at the Intercontinental COEX which is connected to the COEX mall. Very convenient. The mall is huge and you can find all the usual shops such as H&M, Zara, Uniqlo,....lots of food choices as well. Great food hall where you can get great deals after 7 pm. Definitely a nice way to spend a few hours.","Written August 16, 2019"
