Score,Review
50,"Never fail to visit this restaurant every time I go to South Korea. I know it has now gone into the Michelin list. Well deserved! Delicious, fuss-free, good value for money. Only a few items on the menu. Order and pay on the spot and they serve within 5 minutes. What else can one ask for?"
30,"Fast delivery of food with the specialization of only 4 dishes. It was an experience, but I would not rate the food very high as it was not to my liking."
50,"Super fast service, and the food was amazing, rich taste. I would recommend this place especially if your in a hurry they are super fast."
50,"Simple menu, fast lunch service and great tasting food. I had the beef soup with dumplings and kimchee on side. The tables have Plexi glass partitions for the Covid-19 precaution. You pay up front with cash or bank card."
50,"No surprise why there are two locations in a 2 block radius! Best noodles I’ve had in Korea, tons of locals and quick and easy. You are expected to go in and out quickly, and masks and other health precautions are a must."
50,Definitely must try when you visit Myeongdong. I personally don't really eat dumplings but this one was really good and tasty! Order a tray with a bowl of noodles to share because the portion was really huge! It can get really packed so be expected to wait awhile for a table.
50,"The dumpling is absolutely tasty and one should not miss if they visit Seoul. The dumplings are different from those in Hong Kong, Japan or China. These steamed dumplings are healthy to eat. The noodles are also a must try with delicious kimchi."
40,"This place is famous, some say it is overhyped and others say it’s the best. You have to go and make your mind up for yourself. I thought it was a good meal, especially in the winter."
50,"Accidentally found this Michelin star restaurant while shopping in Myeongdong, and the table was available so we tried. The restaurant cleverly serves only 5-6 main dishes, so we selected some of them, they were very tasty."
50,"I'm a dumpling lover and the dumplings certainly did not disappoint on my first night in Seoul!  You can tell how meaty the fillings are and the texture of the skin in the photos. Have been dreaming of these dumplings for years since I saw them on Tumblr. My dreams have came true!  The partner enjoyed the hot bowl of noodles, however the serving is too much for me. If you're going there specially for the dumplings like me, I suggest ordering the dumplings and you can request a bowl of rice for the staff :)  P.S. the kimchi here is very spicy! Take at your own risk! :P"
50,"Maybe there are better tastes. But, the overall experience here is above all others. Even if this restaurant opened decades ago, it's clean and not expensive. Employees are kind. Queuing doesn't take long. You can order free rice. Also, if your table has one kalguksu per person, additional guksu(noodle) is free. The only thing I don't like is their kimchi is too spicy even for locals. haha."
50,"No wonder they got michelin star! Kalguksu was really delicious, the noodles so soft, broth was so tasty and meat were melted in the mouth."
50,"After touring seoul on a wet cold day we came here for dinner. Delicious. Very limited menu which is fine. We were the only tourists, the rest locals. We had hot noodle soup each and shared the dumplings (you get 10). You pay immediately (before your food comes in cash). The food was fantastic, definitely recommend."
50,"great food, inexpensive. can't go wrong with the noodles and dumplings. simple and classic. 60 years of tradition."
50,No other words to describe that bowl of noodles and the soup! You just gotta try! Its dumplings are good too if you are a meat lover - seductively packed with meat! A-must for anyone who goes to Korea!
