STAR,REVIEW,DATE
5.0, It is located in the basement of Lotte World Shopping Mall 2 and is easily accessible by getting off line 8 It is convenient as it has a restaurant on the basement floor and a shopping aquarium in one place ,a day ago
5.0, Aquarium is always fun Until the end with a seal on top ,2 days ago
3.0, Its honestly disappointing compared to the scale of the building Its small ,3 days ago
5.0,Just awesome with beluga,4 days ago
5.0, It was nice to walk around coolly in the summer so there were a lot of people ,4 days ago
2.0, childrens favorite place Its too bad because there are too many people Because its vacation the kids ,4 days ago
5.0, Parking takes a while since its the weekend Even in summer the inside is cool It is spacious and there are many kinds to see ,5 days ago
5.0,Excellent plan to come with friends or family Very beautiful and organized and its not expensive We paid 28 euros for 2 tickets,5 days ago
4.0, The downside is that parking is expensive everything else was good ,5 days ago
1.0, Feels like a mall in a small space It seems that the separation of space by theme is a bit lacking short of money ,5 days ago
5.0,The aquarium was a wonderful experience Lots of different species to look through Had a good time,6 days ago
4.0, It was difficult because there were too many people Its worth going but you shouldnt go with too big a fantasy ,6 days ago
1.0, The space is too small for the size of the fish In particular the space where the sea lion show was performed seemed like a harsher space for sea lions ,a week ago
5.0,It was a magical timethe animals all seemed to be happy too,a week ago
5.0,Wonderful ,a week ago
5.0,Surprised by the Aquarium Was a little packed to start but the Beluga whale was very cool to see,a week ago
4.0, Its hard to see even a 4 star beluga because of the lack of manatee ,a week ago
5.0,Children like each other very much,a week ago
5.0, It was because there were a lot of people but I had so much fun playing with my children ,a week ago
4.0, It was a weekday and there were so many people But the kids liked it and had a lot of fun Especially the otter beluga and stingray are so cute ,a week ago
4.0, Good to go with kids 0801 Mon There were a lot of people Most of the visitors were families with strollers and children ,a week ago
5.0, Hello  I am disabled I went to the aquarium in Seoul Jamsil Station with my brother it was strange really good from 2021 July 19 to 2022 7 19 Look good ,a week ago
3.0, There are really too many people haha The fish are so amazing but there are too many people ,a week ago
1.0, Babies are all on the display frame and they are rich and lowreachingI have been watching all the children from all over the countryI will not visit again ,a week ago
4.0, It would be nice if there was a plan for activation such as consideration for visitors and events ,a week ago
1.0, I hope they pay more attention to comfort and consideration for visitors ,a week ago
2.0, not large in size Even on weekdays there are many children screaming or running around but parents do not stop them I was watching with my children in front of the aquarium first but I saw a group of strange ,a week ago
5.0, Yesterday from Busan to Yongin The beauty of Jamsil Lotte Aquarium To the mystery of indoor aquarium creatures ,a week ago
3.0, It was good It was good There are too many mites Its okay to go as a couple ,a week ago
4.0,Really crowded but it was beautiful,a week ago
5.0, You have to see Beluga from downstairs ,a week ago
4.0, Very nice and friendly aquarium well signposted cjemin spread over 3 floors if I remember correctly But even though it was amazing to see a narwhal it needs more space ,a week ago
4.0, Beluga is so cute It makes me feel comfortable just sitting and watching ,a week ago
5.0, There are dolphins beluga whales and experiences so there are plenty of things to see ,2 weeks ago
4.0, Very good But half a water person haha I am willing to visit again later ,2 weeks ago
2.0, I thought I was going to have claustrophobia because there were so many people ,2 weeks ago
1.0, Too many people even though there are too many Im really lost I think it would be better to limit the number of entries ,2 weeks ago
4.0, Well decorated Compared to other aquariums I personally think its better ,2 weeks ago
2.0, No fish Beluga is pretty but she looks lonely I will never go again ,2 weeks ago
5.0,Nice place and variety of items,2 weeks ago
5.0,Nice place to enjoy with the family,2 weeks ago
4.0,This is a very nice place to visit with your family You can probably spend about 34 hours with your family if you let your kids play as they want in their play areas I live a few hours away from Monterey Bay aquarium and Ive visited it ,3 weeks ago
5.0,Ok,3 weeks ago
5.0,Large aquarium with diverse habitats and displays  Beluga Whale was in a good mood today and interacting with visitors,3 weeks ago
5.0,Convenient location when combined with Lotte World Great discounts for foreigners Customer service is excellent The aquarium is phenomenal,3 weeks ago
5.0,Aquarium in the mall nice,3 weeks ago
5.0, There are many things to see and it was especially nice to meet a pretty beluga ,4 weeks ago
5.0,So good ,4 weeks ago
5.0,Best place for family with kids,a month ago
2.0, Weekend visits are more peoplewatching than fish  It was decorated nicely and cutely than I expected In particular in the place ,a month ago
5.0, mysterious If we become friends with Zeus can we go to a room similar to this ,a month ago
4.0, There are various types and the interior facilities are well done  ,a month ago
5.0,It was an amazing experience visiting Lotte World Aquarium Fish are adorable They make people happy,a month ago
5.0, By the way there are places where you can feed them but keep in mind that they are cash only ,a month ago
5.0,Best place ever visited so far,a month ago
4.0, Lotte Tower Aquarium I went with Lotte Tower Is it bigger than the 63 Building Many young mothers bring their babies in strollers ,a month ago
5.0, It was fun but there were a lot of people I havent seen much though ,a month ago
5.0,Good   ,a month ago
4.0,Very nice experience overall,a month ago
4.0, Although the overall size is small the large tank is spectacular ,a month ago
5.0, There was a lot to see and it was fun to take pictures If you buy a ticket to use the observation deck and the aquarium in one day you can visit it at a slightly cheaper price ,a month ago
5.0, Yesterdays school Totogi Aquarium family outing at our school The sun was setting and my mother applied and went yesterday so I went too early and couldnt see my friends so it was an hour and a half away but then ,a month ago
3.0, There is less variety than expected The beluga looks good ,a month ago
5.0, Its perfect to take with elementary and low graders and kindergarteners Its accessible and easy to get around Except its a weekend so theres a lot of people ,a month ago
5.0,Really nice place with friendly personnel Good service,a month ago
4.0, There are a lot of events so you can actually enter at a price in the low 20000 won range but since you see everything it feels like the regular price ,a month ago
5.0, It is different from the COEX Aquarium Its so good to go with the kids  ,a month ago
5.0,Rt thch Ngm c nhiu ng vt Chng n rt hi hc ,a month ago
3.0, It is the largest among the Seoul Aquariums but it would be nice to see it together with the observatory on a sunny day as a package ,2 months ago
5.0, Thank you just for seeing the sea animals in the middle of Seoul ,2 months ago
3.0, composition is good Discount tickets for viewing after 5pm are also good value for money But until there Due to the nature of the location on Sundays parking is difficult from hello ,2 months ago
5.0,Really amazing I enjoyed every second of the visit  The staff is so friendly and helpful they try to communicate no matter what thats something I appreciate because corean language is very difficult  beautiful but difficult so in this case Ill give them 5 stars and if I could Ill give more ,2 months ago
5.0,Lots of variety in the exhibits Not the biggest aquarium but such a wonderful diversity in the types of animals and the way they are presented Several places where youre walking through tunnels with sharks rays and fish on all sides; ,2 months ago
4.0,Good to be with kids,2 months ago
5.0,Great place,2 months ago
5.0, It is good to make useful and fun memories with babies At the beginning crocodiles seem too scary for toddlers It is also recommended to skip ,2 months ago
5.0, Very good is more than aquarium There are a variety of fish including crocodiles bellulas and seals Most of them are organized into small tanks There are water tanks and coral displays as well Wow for a ,2 months ago
3.0, If its in front of the house its worth visiting once instead of the fishing port ,2 months ago
5.0,One of my favorite places in the Lotte TowerDepartment Store Doesnt matter how many times you go you will always find somethig new and will enjoy the fish tanks it takes around 2hours to see everything but totally worth it,2 months ago
5.0, The onsite kiosk family ticket purchase was cheaper than the telecommunication company discount 30 It is unfortunate that Belarus meet ,2 months ago
5.0, Having a good time with our family Because the child wants to go to the aquarium ,2 months ago
5.0, The route is inconvenient but its good  The movement line This guys movement line is very inconvenient ,2 months ago
5.0, By far the best Ive been to lately Children seem to love it There are a lot of people so take that into consideration ,2 months ago
4.0,Soso,2 months ago
3.0,Ive been here quite a few times Its nice to see all the sea animals,2 months ago
5.0, Its a great place to come with kids Beluga and penguins are so cute ,2 months ago
5.0,Well organised and well maintained aquarium Special zoomin glasses for kids at various sections,2 months ago
3.0, I went together with the Lotte Tower Observation Deck but I didnt go to an aquarium here and there so it was just that I think a house with children would be fine ,2 months ago
4.0, I was a little nervous at first I had a lot of fun ,2 months ago
5.0,Amazing experience,2 months ago
5.0, hard to get to Comfortable and good after arrival ,2 months ago
5.0, One of the best aquariums Ive ever been to Parking is not as expensive as I thought ,2 months ago
5.0, Everyones favorite aquarium both adults and children  There were a lot of people when we went on Childrens Day The kids love the aquarium so they are the older ones but I went to a nearby ,3 months ago
5.0,Beautiful,3 months ago
5.0, It was my first time visiting this place and I couldnt help but admire the various fish dancing in the rhythm of the water boasting their beauty ,3 months ago
4.0, Friendly explanations and a variety of fish Its a place everyone will love regardless of age but there are too many people ,3 months ago
4.0,I cannot see fish but people,3 months ago
5.0, When I was a child I enjoyed watching it with my mom ,3 months ago
5.0, Its a great place to go with a discount Instead it is difficult to see it for a long time and the optimal viewing time is about 3 hours There are also photo zones and lots of cute fish ,3 months ago
4.0, A great place to go with kids and friends You can get a discount on the parking lot if you use it here They dont give discounts on meals It looks huge but it ends quickly when you turn around  there is a ,3 months ago
5.0, I was surprised at how large and spacious it was than I expected ,3 months ago
5.0, There are so many different types and there is a space where children can play There are many photo spots but it was hard but it was fun ,3 months ago
5.0, I saw a lot of fish and I love taking pictures so its a good date ,3 months ago
3.0, Other than the white dolphin honestly its better than other aquariums I dont think ,3 months ago
5.0,Children friendly great fun and  experience,3 months ago
5.0, If you go too early the otters are sleeping It was impressive to see the penguins flying ,3 months ago
4.0, I went to see the aquarium with the kids from the Chunghyeon Welfare Center ,3 months ago
5.0, The water is very clean and there is no fishy smell peculiar to the aquarium There are rare animals such as beluga and sea lion The super large aquarium is really great You can look down from above or look up from ,3 months ago
5.0, Its good to be able to experience an aquarium nearby Shopping and dining at the same time In particular there are event tickets for 3 or 4 people so it is much better ,3 months ago
4.0, You can see the aquarium nearby and there are many experience events inside so there are many things to enjoy Inside cafe goods corner photography feeding etc But unfortunately Its not a very large ,3 months ago
5.0, I saw the fish in the aquarium The enchanting sight I also saw a walking stingray I was moved by how the scuba diver feeds it and eats it with a cute little mouth ,3 months ago
4.0,Great and beautiful Aquarium the price is ok I think some animals would need a bigger aquarium especially the Beluga Whale,3 months ago
4.0, Unfortunately there are no sharks otherwise not bad I would like to see more shows ,3 months ago
5.0,The combined ticket for the aquarium and the tower was 39000kw and was worth it the exit is quite difficult to find haha but still a must see experience,3 months ago
4.0, It was not big compared to other places but it was good to walk around Parking is easy and there werent many people when it was open ,3 months ago
4.0, The time to visit is a little shorter than Ilsan or other Hanwha Aquariums but there are a variety of fish species and the beluga trying to communicate with people covers everything At the same time as approaching ,3 months ago
4.0, Although it is smaller than COEX you can see many living things and the gentle fragrance spreads out giving you a sense of care I was lucky enough to see a beluga and it was a fun and new experience ,4 months ago
4.0, Its pretty and its a good place to go together Its a pity that the deadline is at 8 ,4 months ago
5.0, If you go on a weekday its honey You can enjoy leisurely ,4 months ago
4.0,Not a bad aquarium best feature was the seals atleast 3 They would follow light around in circles The whale was also really cool to see Lots of different exhibits pig nose turtles jelly fish eels rock fish and a juvenile crocodile,4 months ago
5.0, Although it may not be said that the costeffectiveness is good it seems to be enough to show the children at least once ,4 months ago
5.0, Making memories with my son  studying  happiness  I saw nemowadori ,4 months ago
5.0, COEX is another attraction I liked the atmosphere and theme If the time is right there are also activities for children to experience ,4 months ago
4.0, Parking 4800 won for up to 4 hours 500 won for every 10 minutes after that ,4 months ago
4.0,Bigger than I expected good variety of fish but many of the tanks seem too small for the species of fish or the number,4 months ago
5.0, Grownups looking for lost dreams Kids can enjoy and enjoy all the fish The penguins I saw last were really cute ,4 months ago
5.0, If you come during the daytime you can see the feeding and the active fish ,4 months ago
4.0, facilities are very clean I think its better than any other aquarium But confinement of animals ,4 months ago
4.0,Its really ocean  world by human,4 months ago
5.0, It was well maintained and it was so pretty Its a bit sad that I didnt see my beluga friends but Im very satisfied ,4 months ago
5.0, I went with my mother and child with a ticket The older the child is the more they see and the longer they stay  I think you should extend the parking for 4 hours more ,4 months ago
5.0, Children really like it and as an adult I also enjoyed it ,4 months ago
5.0, Its bigger than I thought and there are a lot of babies beluga cute ,4 months ago
5.0, I canceled the annual membership and went there for a year Almost every weekend I come with my wife and my youngest son and my son likes it every time we come its fun and the annual membership is not wasted I am ,4 months ago
5.0, beluga is cute Beluga is the best ,4 months ago
4.0, Great place to spend time with kids With Beluga ,5 months ago
5.0, It was my first time coming to Jamsil because I dont have any business to visit I thought the aquarium was only in COEX but I wondered what it would be like to say that it is also in Jamsil There is an aquarium ,5 months ago
5.0,Good place for children,5 months ago
5.0,It was a lot nicer than I expected Since it was so small I didnt think there would be much to see However there were a lot of sea animals There are stations where you can feed the fish My personal favorite was seeing the beluga ,5 months ago
5.0, I went to see the beluga There are a lot of neat and pretty marine creatures I was a little tired of waiting for the beluga ,5 months ago
4.0, There is a lot to see but it is quite dark when you first enter and the place is wide so it is easy to get lost so you can get lost or see what you have already seen People who do not know the road well have the ,5 months ago
5.0, It was really good I came to the aquarium after a long time but I thought it was good to come and I was so happy It was a good time when I was alone but not lonely at all ,5 months ago
4.0, kids like it It is best to avoid weekends and holidays too many people ,5 months ago
4.0, On the weekends it is crowded and crowded Still a great place to spend time with kids ,5 months ago
5.0, The 2nd visit was also recently made and clean I hope that the beluga whale will be dealt with quickly in good conditions As a tip do not make a reservation in advance ,5 months ago
5.0, For two people admission is KRW 41000 well done inside Also recommended as a date course Lots of family visitors lots of kids but its fun haha ,5 months ago
1.0, Expectations are low because it is located in the tallest building in Korea The number of fish species the viewing window and the entrance fee are not ,5 months ago
4.0, Better than COEX 63 Aquarium Beluga Its a pity It must be frustrating ,5 months ago
5.0,Awesome,5 months ago
4.0, Lets go see the beluga Its good to go once If you go twice Doesnt it look like fun ,5 months ago
4.0, Its really spacious so theres a lot to see If theres one thing I regret it looks lonely because Beluga is alone ,5 months ago
5.0,Amazing,5 months ago
5.0, A great place for a long outing with children or lovers The last penguin is so cute ,5 months ago
5.0, Bigger than I thought so much to see mysterious expensive ,5 months ago
5.0, Adele and granddaughter Orenman in Busan during Lunar New Year holidays I came to Seoul and went to the Jamsil Aquarium ,6 months ago
4.0, I thought it would be small but it was so good with colorful things to see The children are happy ,6 months ago
3.0, I watched it with no expectations so I didnt expect much ,6 months ago
5.0, I went to the COEX Aquarium about 10 years ago and it was my first time there but youIt was great Previously I thought that the aquarium was a waste of money but I never ,6 months ago
5.0, I went back after a long time  Compared to before the facilities looked a little outdated and the water inside ,6 months ago
5.0, More fun for adults than children Its so fun in the sea you dont know how time flies ,6 months ago
2.0, The aquarium is located in the tallest building in Korea I went with high expectations but it was worse than Ilsan ,6 months ago
5.0, neatly done It is good to spend about two hours until elementary school students Beluga seals are located in a large area so you can see them moving actively ,6 months ago
3.0, It is difficult to see because there are too many people on the weekend ,6 months ago
3.0, Its not very big but there are places to rest Its okay to just take the kids to drink ,6 months ago
5.0, It is the most active among the aquariums I have been to Beluga seemed to be the least stressed ,6 months ago
4.0, Its shorter than I thought The size of the aquarium is a bit disappointing ,6 months ago
5.0, Its been a while since Ive been here and the variety of fish was fun ,6 months ago
5.0,Very beautiful under ocean life Its located in the Lotte World Mall on B1 level Cost of the ticket is 36000 won as of 20220130 we found a 50 discount coupon for Lunar New Year,6 months ago
4.0, There is an aquarium near the house so the kids really like it However it is a pity that a separate parking fee is charged and there is not a variety of marine life in the aquarium The aquarium has more colorful ,6 months ago
4.0, I didnt realize the time was passing because I was watching the fish in the large tank such as beluga and otter penguins and so cute ,6 months ago
5.0, I went to the aquarium after a long time but it has changed a lot here and there There are still many people on the weekends I had a great time with my kids after a long time ,6 months ago
5.0, Go to the house with children Its perfect to come down and see the market ,6 months ago
4.0,Nice place for beat time,6 months ago
4.0, There are many places to take pictures with children many fish and many things to see ,6 months ago
4.0, The advantage of Lotte Aquarium is that there is a 4hour discount on parking lots 200 won per 10 minutes and a photo service charged ,6 months ago
4.0, The water was a little cloudy than before It was a weekday but there were a few people ,6 months ago
5.0, Some fish Poor Its good haha ,6 months ago
5.0,Amazing Collection of Sea Creatures and Fishes  Kids would surely love it,6 months ago
5.0, Penguins favorite place Woo Raegis favorite place Buy an annual membership and take advantage of weekdays ,7 months ago
4.0,Better than coex aquarium,7 months ago
5.0, It is a place where you can enjoy a stroll with a baby who has not yet turned into a baby The inside was bigger than I expected and there were various kinds of fish Even though the baby was strange it was in the ,7 months ago
5.0, good for a date Taking pictures of beluga is harder than I thought ,7 months ago
5.0, Its good to take my baby along The aquarium is also large and there are many things to see Instead it is expected that it would be better to use weekdays rather than ,7 months ago
5.0, I got a T membership discount so I went during winter vacation as a child but there were not many people and there were many interesting and pretty fishes so it was fun I got a discount on parking with an ,7 months ago
5.0, I think it came 5 times Its nice to see a variety of fish species in Seoul If you buy it nearby we recommend an annual pass ,7 months ago
5.0,Super well maintained place unfortunately due to COVID few activities were not availableworth visiting place when coming to Seoul,7 months ago
5.0, B1 where the beluga lives Coffee and cafe inside ,7 months ago
5.0, Aquarium and Seoul Sky in one day After riding the elevator that goes up to the 120th floor in 1 minute the groom and children say that they will not be able to see below ,7 months ago
3.0, It was good at first but there hasnt been much change in several years and I feel sorry for the beluga ,7 months ago
5.0, If you want to feel a childlike feeling please come It is also the best as a date course ,7 months ago
4.0, Much better than rumors  Routes can be a bit confusing ,7 months ago
3.0, It wasnt as good as COEX The fish arent as varied and out of 3 beluga fish are dead2 of them are dead and theres only one so it looks so lonely ,7 months ago
5.0, Its smaller than I thought but sometimes the kids like it ,7 months ago
4.0, It is well organized so that you can have a good time indoors with your children ,7 months ago
