,긍정,리뷰 수,부정,리뷰 수
0,walking/VBG,454,disappointing/JJ,14
1,back/RB,228,perhaps/RB,15
2,traditional/JJ,1059,inside/IN,117
3,walking/NN,454,trying/VBG,33
4,lovely/JJ,137,overrated/VBN,10
5,get/VBP,517,actually/RB,123
6,pleasant/JJ,47,everywhere/RB,52
7,cool/JJ,57,happen/VBP,16
8,take/VBP,457,seems/VBZ,25
9,come/VB,148,says/VBZ,8
10,every/DT,165,felt/VBD,47
11,miss/VB,95,hanbok/VB,144
12,line/NN,89,ok/JJ,1147
13,living/VBG,165,paths/NNS,16
14,boutique/NN,62,craft/NN,111
15,comfortable/JJ,58,use/VB,1528
16,close/RB,133,followed/VBD,12
17,original/JJ,43,ordinary/JJ,8
18,shoes/NNS,101,volume/NN,23
19,super/JJ,31,though/IN,201
20,respectful/JJ,45,crowded/VBD,128
21,manage/VB,29,special/JJ,114
22,walk/NN,1159,buildings/NNS,193
23,food/NN,119,photographers/NNS,6
24,crowd/NN,186,pictures/NNS,238
25,next/JJ,49,style/NN,207
26,galleries/NNS,75,disappointed/JJ,24
27,love/VB,272,enjoyed/IN,108
28,hours/NNS,127,signs/NNS,152
29,mix/NN,48,enough/RB,56
30,annoying/VBG,10,talk/VBP,43
31,easy/JJ,86,impressive/JJ,21
32,loved/VBD,39,expected/VBD,30
33,highly/RB,41,much/JJ,237
34,worth/VBZ,280,minutes/NNS,57
35,even/RB,176,expect/VB,81
36,rental/NN,40,touristy/JJ,40
37,wander/VB,111,basically/RB,20
38,recommend/VBP,179,packed/VBN,16
39,unique/JJ,94,tiring/VBG,27
40,rent/VB,287,however/RB,30
41,best/JJS,116,youre/NN,66
42,,,underwhelming/JJ,6
43,,,unless/IN,12
44,,,part/NN,181
45,,,except/IN,27
46,,,skip/VB,24
47,,,nothing/NN,47
