,긍정,리뷰 수,부정,리뷰 수
0,food/NN,53,months/NNS,1
1,cherry/NN,44,claimed/VBD,2
2,many/JJ,34,cherries/NNS,2
3,enjoy/VB,64,wellknown/JJ,1
4,walk/VB,83,weeks/NNS,1
5,people/NNS,48,overbearing/VBG,1
6,also/RB,55,pool/NN,7
7,night/NN,29,local/JJ,23
8,relax/VB,47,interesting/VBG,7
9,clean/JJ,17,quiet/JJ,9
10,really/RB,29,however/RB,5
11,time/NN,65,public/JJ,9
12,especially/RB,15,reviews/NNS,1
13,couples/NNS,15,hardly/RB,1
14,water/NN,13,happens/NNS,1
15,family/NN,19,chilly/JJ,2
16,rent/NN,80,condition/NN,3
17,relaxing/VBG,20,suffocating/VBG,1
18,stroll/NN,21,miss/NN,4
19,friends/NNS,30,blossomed/VBN,1
20,sit/VB,91,noodles/NNS,1
21,afternoon/NN,15,september/NN,0
22,cycling/NN,20,looking/VBG,9
23,crowded/VBN,25,frequent/JJ,1
24,locals/NNS,19,need/NN,15
25,picnics/NNS,14,youre/NN,8
26,tents/NNS,17,normal/JJ,2
27,bike/NN,64,part/NN,18
28,flowers/NNS,10,probably/RB,1
29,busy/JJ,12,point/NN,5
30,available/JJ,10,best/RBS,19
31,subway/NN,18,winter/NN,9
32,love/VB,37,experience/NN,18
33,picnic/JJ,79,wednesday/JJ,0
34,take/VB,35,area/NN,36
35,sunset/NN,13,sakura/NN,2
36,taking/VBG,15,northern/JJ,2
37,go/VB,98,around/IN,51
38,lovely/JJ,17,cafe/JJ,10
39,hang/VB,27,cherry/JJ,44
40,,,fairly/RB,2
41,,,special/JJ,23
42,,,crowds/NN,5
43,,,absolutely/RB,3
44,,,nothing/NN,6
45,,,maybe/RB,5
46,,,entertainment/NN,2
