,긍정,리뷰 수,부정,리뷰 수
0,top/JJ,215,people/NNS,221
1,architectural/JJ,26,unusual/JJ,17
2,skating/VBG,41,past/NN,25
3,shopping/NN,210,middle/NN,33
4,tea/NN,188,displays/NNS,21
5,exhibition/NN,181,women/NNS,4
6,top/NN,215,worth/IN,264
7,family/NN,196,aquariums/NNS,31
8,charm/NN,12,think/VBP,125
9,plus/CC,26,crowds/NN,25
10,tollerest/JJS,1,crushed/VBN,2
11,entertainment/NN,26,area/NN,317
12,history/NN,51,observation/NN,38
13,ride/VB,446,fee/NN,262
14,kids/NNS,370,geared/VBN,7
15,art/NN,404,inside/IN,234
16,organized/VBN,18,looking/VBG,88
17,exhibitions/NNS,57,significance/NN,3
18,weekday/NN,55,still/RB,131
19,back/RP,141,somewhere/RB,7
20,revolution/NN,5,worst/JJS,11
21,walk/NN,282,quite/RB,138
22,mixed/JJ,10,much/RB,276
23,ice/NN,797,conditions/NNS,10
24,zoo/NN,60,smell/NN,23
25,worth/JJ,264,closed/VBN,65
26,weather/NN,96,could/MD,148
27,activities/NNS,85,staff/NN,109
28,sections/NNS,8,found/VBD,78
29,clean/JJ,61,little/JJ,177
30,tram/NN,17,evaluation/NN,2
31,back/RB,141,money/NN,87
32,time/NN,602,expecting/VBG,24
33,age/NN,361,empty/JJ,19
34,huge/JJ,119,mainly/RB,16
35,beluga/NN,15,small/JJ,185
36,used/VBD,73,tall/JJ,97
37,enjoyed/VBN,145,fishes/NNS,31
38,different/JJ,133,artificial/JJ,5
39,dinner/NN,24,seems/VBZ,44
40,smells/VBZ,6,never/RB,66
41,choose/VB,37,inside/RB,234
42,tshirts/NNS,1,else/RB,52
43,modern/JJ,52,disappointed/JJ,44
44,roller/NN,63,waste/NN,43
45,peaceful/NN,9,cheaper/JJR,48
46,complete/JJ,24,everland/NN,11
47,national/JJ,21,much/JJ,276
48,bukchon/NN,2,old/JJ,309
49,japanese/JJ,2,nothing/NN,40
