,긍정,리뷰 수,부정,리뷰 수
0,love/VBP,399,chances/NNS,3
1,loved/VBD,103,ssamziegil/VB,10
2,also/RB,604,son/NN,221
3,reasonable/JJ,89,priced/VBN,75
4,galleries/NNS,321,typical/JJ,63
5,favorite/JJ,89,merchandise/NN,32
6,new/JJ,107,quite/JJ,155
7,liked/VBD,51,smaller/JJR,28
8,love/VB,399,locations/NNS,3
9,experience/NN,191,little/RB,408
10,station/NN,90,better/JJ,107
11,always/RB,101,would/MD,205
12,excellent/JJ,42,etc/NN,213
13,ones/NNS,83,myongdong/NN,3
14,variety/NN,119,antiques/VBZ,89
15,neighborhood/NN,83,surprises/NNS,10
16,cheaper/JJR,108,special/JJ,216
17,within/IN,48,crazy/JJ,13
18,enjoyed/VBD,150,shopscafes/NN,1
19,clean/JJ,52,looked/VBD,19
20,cafe/NN,334,need/VBP,124
21,food/NN,940,crowded/VBD,179
22,second/JJ,45,hard/RB,59
23,friendly/JJ,92,touristic/JJ,31
24,hotel/NN,87,lower/JJR,34
25,actually/RB,44,decent/JJ,19
26,spoiled/VBD,3,generally/RB,23
27,without/IN,44,mostly/RB,79
28,paintings/NNS,71,expecting/VBG,11
29,everything/NN,110,representative/JJ,4
30,know/VBP,106,im/NN,787
31,definitely/RB,99,mustgo/NN,8
32,hours/NNS,165,nevertheless/RB,7
33,recommended/VBD,53,visited/VB,129
34,bargain/VB,98,overpriced/VBN,33
35,restaurant/NN,1074,souvenir/JJ,1270
36,twice/RB,39,skip/VB,18
37,experience/VB,191,19/CD,9
38,spend/VB,196,supposed/VBN,9
39,bought/VBD,146,much/JJ,262
40,best/JJS,176,disappointed/VBN,32
41,metro/NN,53,overpriced/JJ,33
42,times/NNS,126,much/RB,262
43,cafe/JJ,334,however/RB,43
44,across/IN,30,interest/NN,427
45,,,china/NN,4
46,,,except/IN,19
47,,,elsewhere/RB,47
48,,,nothing/NN,45
