,긍정,리뷰 수,부정,리뷰 수
0,excellent/JJ,76,guess/NN,58
1,loved/VBD,144,fine/JJ,54
2,fantastic/JJ,141,fingerprints/NNS,8
3,level/NN,169,queuing/VBG,29
4,choose/VB,94,interest/NN,201
5,must/MD,553,dont/JJ,410
6,afternoon/NN,162,imagine/VB,42
7,magnificent/JJ,48,touristic/JJ,11
8,spectacular/JJ,209,filled/VBN,37
9,tree/NN,262,boring/NN,22
10,stunning/VBG,103,minutes/NNS,251
11,enjoyed/VBD,257,typical/JJ,27
12,stops/NNS,39,expectation/NN,15
13,coffee/NN,138,solo/VBZ,15
14,reasonably/RB,32,smog/JJ,72
15,love/VBP,1301,pricy/NN,15
16,enjoyed/VBN,257,driving/VBG,6
17,uphill/NN,146,standing/VBG,58
18,put/VB,163,overcast/JJ,13
19,fun/NN,308,unfortunately/RB,33
20,happy/JJ,38,wasnt/VBP,125
21,late/RB,228,ok/JJ,1294
22,either/DT,109,lock/VB,1380
23,life/NN,48,slope/NN,67
24,drink/NN,155,limited/JJ,48
25,thousands/NNS,83,enough/RB,163
26,depending/VBG,45,reduces/VBZ,1
27,worth/NN,839,give/VBP,213
28,stunning/JJ,103,landmark/NN,116
29,buffet/NN,50,group/NN,71
30,anywhere/RB,26,expected/VBD,55
31,choice/NN,54,alone/NN,28
32,shop/NN,659,dissepoinding/VBG,1
33,either/RB,109,else/RB,75
34,times/NNS,140,much/RB,479
35,less/RBR,267,crowded/VBN,365
36,buy/VB,420,crazy/JJ,26
37,360/CD,272,better/JJR,332
38,yellow/JJ,29,overview/VB,18
39,love/IN,1301,closed/VBN,44
40,,,smog/NN,72
41,,,unimpressive/JJ,2
42,,,tourists/NNS,176
43,,,average/JJ,41
44,,,overview/NN,18
45,,,much/JJ,479
46,,,crowded/JJ,365
47,,,disappointed/JJ,58
48,,,nothing/NN,138
