,긍정,리뷰 수,부정,리뷰 수
0,guide/NN,138,reproductions/NNS,1
1,superb/NN,15,rainycold/JJ,1
2,visited/VBD,86,paintings/NNS,37
3,around/IN,155,sitting/VBG,10
4,bring/VB,23,find/VB,67
5,go/VB,519,reached/VBD,9
6,look/VB,120,early/JJ,47
7,easy/JJ,93,confusing/VBG,3
8,small/JJ,65,list/NN,19
9,collection/NN,183,wasnt/VBZ,15
10,absolutely/RB,17,seouls/JJ,0
11,audio/JJ,43,king/VBG,190
12,learned/VBN,33,garden/NN,64
13,full/JJ,116,person/NN,21
14,nicer/RB,1,rather/RB,19
15,favorite/JJ,19,namsan/NNS,0
16,weekend/NN,21,building/NN,287
17,certainly/RB,13,seemed/VBD,17
18,worth/JJ,191,enough/RB,47
19,worth/IN,191,ideas/NNS,3
20,highly/RB,42,indoor/JJ,5
21,access/NN,68,value/NN,9
22,along/IN,23,taejo/NN,0
23,look/NN,120,closed/VBN,13
24,years/NNS,50,popular/JJ,9
25,useful/JJ,9,interest/NN,247
26,excellent/JJ,50,practices/NNS,2
27,floor/NN,209,timer/NN,1
28,need/VBP,81,boring/NN,22
29,signs/NNS,27,earlier/JJR,3
30,understand/VB,68,starting/NN,9
31,day/NN,329,presented/VBN,43
32,least/JJS,54,mummy/JJ,2
33,done/VBN,29,however/RB,18
34,definitely/RB,58,youll/NN,7
35,cant/VBP,24,atmosphere/NN,4
36,permanent/JJ,44,descriptions/NNS,28
37,almost/RB,26,perhaps/RB,5
38,educational/JJ,19,expected/VBD,15
39,trip/NN,58,renovation/NN,1
40,exhibitions/NNS,95,unless/IN,17
41,asian/JJ,5,boring/JJ,22
42,us/PRP,1160,ceramics/NNS,26
43,spent/VBD,107,bored/VBN,10
44,food/NN,84,dont/VBP,62
45,,,guess/NN,11
46,,,nothing/NN,15
47,,,evening/NN,3
48,,,shown/VBN,8
