,긍정,리뷰 수,부정,리뷰 수
0,see/VB,26,organisation/NN,1
1,hall/NN,25,intriguing/VBG,0
2,fountain/NN,16,decent/JJ,1
3,concert/NN,33,bore/NN,1
4,music/NN,35,architecturally/RB,1
5,center/NN,15,architectonic/JJ,1
6,many/JJ,8,aesthetics/NNS,1
7,opera/NN,13,types/NNS,2
8,arts/NNS,21,almost/RB,3
9,also/RB,20,sales/NNS,1
10,classical/JJ,10,open/VBP,8
11,performance/NN,24,gone/VBN,1
12,exhibitions/NNS,23,bookings/NNS,1
13,events/NNS,11,tofu/NN,1
14,venue/NN,10,thought/VBD,1
15,house/NN,5,missing/VBG,1
16,concerts/NNS,10,menu/NN,1
17,traditional/JJ,7,meat/VBN,1
18,subway/NN,10,meat/NN,1
19,performances/NNS,14,kimchi/FW,1
20,would/MD,12,jeyuk/JJ,0
21,find/VB,12,hair/NN,2
22,seems/VBZ,4,cafeteria/NN,1
23,open/JJ,8,hard/JJ,6
24,building/NN,12,least/JJS,2
25,collection/NN,8,seats/NNS,10
26,art/JJ,70,ticket/NN,10
27,dance/NN,5,price/NN,8
28,little/JJ,10,image/NN,2
29,cool/JJ,3,conventional/JJ,1
30,though/IN,14,understand/VBP,3
31,huge/JJ,5,name/NN,3
32,taxi/NN,8,thai/NN,1
33,excellent/JJ,8,tickets/NNS,7
34,orchestra/NN,6,museum/NN,11
35,attended/VBD,8,needs/NNS,4
36,free/JJ,7,underground/JJ,1
37,musical/JJ,15,shoes/NNS,1
38,cultural/JJ,4,ripped/VBN,1
39,check/VB,4,flood/NN,1
40,,,classic/JJ,12
41,,,remodeled/VBN,1
42,,,narrow/JJ,1
43,,,chair/NN,1
44,,,foreigners/NNS,2
45,,,pieces/NNS,2
46,,,country/NN,1
47,,,english/JJ,3
