,긍정,리뷰 수,부정,리뷰 수
0,kids/NNS,26,werent/JJ,2
1,take/VB,41,needed/VBN,4
2,autumn/NN,21,unfortunately/RB,3
3,grand/JJ,9,lift/JJ,53
4,day/NN,53,didnt/VBP,10
5,big/JJ,25,seemed/VBD,6
6,food/NN,23,disappointed/JJ,5
7,museum/NN,10,visited/VBD,13
8,go/VB,140,long/JJ,21
9,spacious/JJ,13,entering/VBG,2
10,want/VBP,20,zoo/NN,101
11,garden/NN,13,outside/JJ,5
12,children/NNS,34,entrance/NN,30
13,best/JJS,13,half/NN,6
14,ive/JJ,42,worst/JJS,1
15,morning/NN,8,unfriendly/JJ,1
16,fun/NN,29,parking/NN,18
17,enjoy/VB,24,granddaughters/NNS,1
18,elephant/NN,31,grandchildren/NNS,1
19,since/IN,8,convenience/NN,3
20,corona/NN,3,stroller/NN,7
21,car/NN,33,kennels/NNS,1
22,cable/NN,13,right/JJ,12
23,spend/VB,11,likely/JJ,1
24,weather/NN,16,least/JJS,9
25,eat/VB,67,construction/NN,5
26,cheap/JJ,7,present/JJ,3
27,leaves/VBZ,12,covid/JJ,0
28,trees/NNS,11,store/NN,4
29,comfortable/JJ,7,slow/JJ,5
30,took/VBD,11,time/NN,45
31,birds/NNS,12,severe/JJ,1
32,wide/JJ,9,road/NN,6
33,transportation/NN,4,babiesbut/NN,1
34,childrens/NNS,2,way/NN,42
35,play/VB,14,hard/JJ,6
36,trail/NN,6,old/JJ,28
37,even/RB,18,sky/JJ,24
38,,,enclosures/NNS,10
39,,,staff/NN,5
40,,,weekends/NNS,2
41,,,recommend/VB,24
42,,,everything/NN,6
43,,,changed/VBN,2
44,,,armored/VBN,0
45,,,cages/NNS,8
46,,,small/JJ,15
47,,,empty/JJ,5
48,,,many/JJ,57
