,긍정,리뷰 수,부정,리뷰 수
0,inside/IN,361,heavily/RB,5
1,worth/IN,386,ok/JJ,447
2,hours/NNS,577,stands/NNS,3
3,definitely/RB,126,skip/VB,24
4,weapons/NNS,143,havent/VBP,9
5,informative/JJ,239,goes/VBZ,23
6,best/JJS,196,towards/IN,21
7,enjoyed/VBD,128,think/VBP,122
8,huge/JJ,216,guess/NN,12
9,outside/NN,599,mean/VBP,48
10,must/MD,372,similar/JJ,19
11,highly/RB,94,god/JJ,3
12,one/CD,857,prewar/JJ,3
13,educational/JJ,90,marble/JJ,6
14,minutes/NNS,61,museumsit/NN,0
15,available/JJ,78,speaker/NN,16
16,displays/NNS,427,construction/NN,7
17,actually/RB,70,obviously/RB,7
18,peninsula/NN,44,little/JJ,152
19,free/JJ,726,1951/CD,1
20,open/JJ,102,memory/NN,6
21,spent/VBD,226,generals/NNS,2
22,loved/VBD,68,sorry/NN,3
23,may/MD,79,american/JJ,9
24,short/JJ,84,look/VBP,240
25,cafe/NN,83,extra/JJ,22
26,much/JJ,393,maintained/VBD,39
27,learned/VBD,114,say/VB,73
28,tribute/NN,91,get/NN,445
29,spend/VB,333,oriented/VBN,3
30,enjoyed/VBN,128,discover/VB,12
31,even/RB,355,knowing/VBG,14
32,conflicts/NNS,71,enough/RB,97
33,love/VBP,207,felt/VBD,65
34,day/NN,648,subway/NN,103
35,thought/VBD,142,halls/NNS,20
36,extensive/JJ,49,probably/RB,52
37,everything/NN,131,tellus/VBZ,1
38,different/JJ,158,knoe/VB,1
39,dont/NN,138,perspective/NN,69
40,via/IN,26,amd/RB,4
41,airplanes/NNS,102,ok/NN,447
42,couple/NN,123,shut/VBN,3
43,countries/NNS,158,fighter/VBP,56
44,,,find/VBP,141
45,,,glimpse/NN,12
46,,,locations/NNS,3
47,,,seems/VBZ,16
48,,,bad/JJ,25
49,,,border/NN,8
