,긍정,리뷰 수,부정,리뷰 수
0,read/VB,42,made/VBD,3
1,best/JJS,17,staff/NN,18
2,selection/NN,25,much/RB,17
3,time/NN,40,childrens/NNS,2
4,also/RB,42,sight/JJ,1
5,section/NN,27,seeing/NN,1
6,kinds/NNS,11,hence/NN,1
7,english/JJ,3,sold/VBN,1
8,wide/JJ,18,responding/VBG,1
9,go/VB,84,im/VBP,49
10,station/NN,57,im/JJ,49
11,various/JJ,11,enough/RB,6
12,large/JJ,22,preorder/VB,1
13,friendly/JJ,15,jump/NN,1
14,spacious/JJ,9,3/CD,4
15,kids/NNS,12,im/NN,49
16,space/NN,10,smaller/JJR,4
17,stationery/JJ,42,said/VBD,3
18,always/RB,10,man/NN,46
19,one/CD,68,kindly/RB,2
20,comfortable/JJ,7,older/JJR,2
21,favorite/JJ,8,little/RB,10
22,reading/VBG,14,speak/VB,10
23,love/VBP,28,corner/VBP,4
24,convenient/JJ,9,receipt/NN,1
25,available/JJ,10,online/NN,6
26,go/VBP,84,number/NN,7
27,still/RB,8,unfriendly/JJ,3
28,think/VBP,10,sit/VB,48
29,makes/VBZ,7,plastic/NN,2
30,much/JJ,17,piled/VBN,1
31,largest/JJS,7,better/NN,10
32,library/NN,6,look/VB,24
33,language/NN,16,long/JJ,6
34,little/JJ,10,see/VB,31
35,day/NN,21,felt/VBD,2
36,supplies/NNS,7,enter/VB,7
37,,,appliances/NNS,2
38,,,cant/VBP,8
39,,,home/VB,5
40,,,readers/NNS,2
41,,,asked/VBD,3
42,,,parking/VBG,5
43,,,crowded/JJ,3
