,긍정,리뷰 수,부정,리뷰 수
0,one/CD,18,high/JJ,13
1,options/NNS,6,western/JJ,2
2,square/VBP,4,indoor/NN,2
3,brands/NNS,12,first/JJ,5
4,really/RB,5,even/RB,11
5,huge/JJ,14,dont/NN,4
6,big/JJ,16,go/VBP,32
7,movie/NN,8,check/VB,2
8,food/NN,21,3/CD,6
9,line/NN,7,stick/JJ,1
10,parking/NN,4,special/JJ,4
11,entertainment/NN,7,otherwise/RB,2
12,hours/NNS,6,mega/JJ,1
13,excellent/JJ,1,close/NN,9
14,affordable/JJ,5,central/JJ,1
15,court/NN,11,year/NN,3
16,choose/VB,4,otherwise/IN,2
17,times/NNS,7,one/NN,18
18,best/JJS,4,koreans/NNS,0
19,seul/NN,0,horrible/JJ,1
20,parking/VBG,4,countdown/VBP,1
21,range/NN,5,area/NN,6
22,subway/NN,9,afternoon/NN,2
23,interesting/JJ,3,local/JJ,4
24,hotel/NN,5,minutes/NNS,2
25,enjoy/VB,10,large/JJ,10
26,hundreds/NNS,2,border/NN,1
27,number/NN,3,basement/NN,7
28,want/VBP,5,weather/NN,3
29,courtyard/NN,0,sale/NN,4
30,another/DT,3,things/NNS,4
31,got/VBD,3,home/NN,2
32,alot/NN,1,outside/IN,5
33,theatre/NN,3,youre/NN,4
34,price/NN,9,wednesday/JJ,0
35,theres/VBZ,0,slot/NN,1
36,cgv/NNS,0,practical/JJ,1
37,shop/VB,48,convenience/NN,1
38,go/VB,32,new/JJ,2
39,,,took/VBD,2
40,,,familiar/JJ,1
41,,,worth/IN,4
42,,,get/VB,12
43,,,stores/NNS,16
44,,,pm/NN,1
