,긍정,리뷰 수,부정,리뷰 수
0,night/NN,1024,boring/NN,21
1,things/NNS,163,fewer/JJR,9
2,walk/NN,1379,admission/NN,39
3,quiet/JJ,81,almost/RB,68
4,amazing/JJ,290,need/VBP,243
5,trip/NN,271,weekend/NN,169
6,restaurants/NNS,404,normal/JJ,15
7,library/NN,26,trap/NN,37
8,sometimes/RB,20,ive/JJ,783
9,comfortable/JJ,46,ride/VBP,487
10,day/NN,944,dissepoinding/VBG,1
11,corona/NN,54,dust/NN,11
12,dont/VBP,270,every/DT,311
13,spring/NN,84,sadly/RB,2
14,strolling/VBG,23,cool/NN,195
15,recommend/VB,398,namsangol/NN,1
16,different/JJ,154,emptu/NN,1
17,leisure/NN,25,dep/NN,62
18,enjoyed/VBD,197,surrounding/VBG,81
19,easy/JJ,154,long/RB,603
20,along/IN,163,bus/JJ,789
21,used/VBD,71,waiting/VBG,117
22,souvenirs/NNS,119,long/JJ,603
23,opening/NN,12,top/JJ,1105
24,morning/NN,114,nothing/NN,91
25,full/JJ,187,crowded/VBN,365
26,came/VBD,144,visited/VBN,226
27,eat/VB,1344,rides/NNS,89
28,around/RB,655,expectations/NNS,8
29,namsan/RB,47,seemed/VBD,26
30,family/NN,139,ride/NN,487
31,walk/VB,1379,observatory/NN,156
32,incredible/JJ,30,base/NN,218
33,weather/NN,209,took/VBD,396
34,photo/NN,298,probably/RB,52
35,may/MD,132,rest/VB,881
36,opportunity/NN,49,soso/JJ,8
37,adults/NNS,25,much/JJ,344
38,rare/JJ,5,due/JJ,103
39,board/NN,37,money/NN,85
40,pm/NN,159,minutes/NNS,183
41,accessible/JJ,59,seems/VBZ,54
42,explore/VB,55,n/JJ,4971
43,nature/NN,63,tourists/NNS,143
44,highly/RB,60,okay/NN,22
45,walk/VBP,1379,could/MD,235
46,stores/NNS,61,hill/NN,480
47,lost/VBN,40,kids/NNS,117
48,felt/VBD,65,queue/NN,237
49,mountains/NNS,38,bus/NN,789
