,이름,별점,리뷰,날짜
0,장상규,3,(Translated by Google) More to see than before. ㅠ  (Original) 예전보다 볼거리가. ㅠ,18 hours ago
1,Heeyoon Chung,4,,18 hours ago
2,엄성균,5,(Translated by Google) This is the place where you are an insurance company  (Original) 보험사다녀오는곳입니다,a day ago
3,햇살쨍 (햇살쨍),4,(Translated by Google) Quiet and good place to meet  (Original) 조용하고 만남을 갖기 좋은 장소,a day ago
4,이윤정,5,"(Translated by Google) I didn't see anything else because I went to the wedding hall, but I used the food court and bakery, but I want to see the aquarium and the observatory on the wall.  (Original) 예식장에 다녀오느라 다른 건 보지 못했지만 푸드코트, 빵집 이용했는데 아쿠아리움, 전망대는 담에 봐야겠어요",a day ago
5,한영석,5,,a day ago
6,권병태,3,,3 days ago
7,황Daniel,3,Famous building in Seoul but old fashioned & distant from downtown a little,3 days ago
8,최준기,5,,3 days ago
9,김정민,5,(Translated by Google) I went to the observatory while going to the buffet and it was great!  (Original) 뷔페다녀오면서 전망대까지다녀왔는데 좋아요!,3 days ago
10,오징징쭈꾸미,5,,4 days ago
11,Seojun Yoon,4,,4 days ago
12,이중우,5,Best hot place,4 days ago
13,soobae peterkim,4,,5 days ago
14,Jinhyuk Lim,4,,5 days ago
15,송현지,3,(Translated by Google) I had a good time  (Original) 재밌게 놀았어요,5 days ago
16,김기호,3,,5 days ago
17,민창규,5,(Translated by Google) It was tight.  (Original) 조았어요,5 days ago
18,규하하,2,,5 days ago
19,Jongmin Yoon,5,(Translated by Google) I went with my kids and they loved it. Satisfied.  (Original) 아이랑 같이 갔는데 좋아하네요. 만족합니다.,6 days ago
20,이근만,3,(Translated by Google) I went to the 63 Art Exhibition. it was good I wish it was a little bigger  (Original) 63아트 전시회 다녀왔는데 좋았어요 좀 컸으면 좋았을듯,6 days ago
21,Joey Tan,5,Amazing aquarium especially for children,6 days ago
22,J.우드우키,5,,6 days ago
23,예지(임초게),4,"(Translated by Google) It's not a 360-degree open space, so there's a bit of a sad and stuffy atmosphere. However, I think that it is a good set composition for the price as you can see the exhibition as well as the view of Seoul city. But the coffee is the worst.  (Original) 360도 탁 트인 공간이 아니라서 좀 아쉽고 답답한 분위기가 좀 있음. 하지만 서울시내 조망 뿐만 아니라 전시도 같이 관람할 수 있어서 가격대비 괜찮은 세트구성이라고 생각 됨. 다만 커피가 최악.",a week ago
24,Monsieur James,1,,a week ago
25,강예진,5,,a week ago
26,박의상,4,(Translated by Google) The taste is plain but not boring Stick to the essential taste without the smell of galbi-tang  (Original) 맛 평범한데 질리지 않는맛 갈비탕 잡냄세 없이 본질적인  맛에 충실,a week ago
