,이름,별점,리뷰,날짜
0,Danbee cho,5,(Translated by Google) Even if we go to the sacred place of bicycle for many years It's also a great way to walk towards Samjeongmun from Samcheong Park or Waryong Park  (Original) 자전거의 성지 몇년째 다녀도 질리지 않습니다 삼청공원이나 와룡공원에서 숙정문방향으로 걸아가는길도 정말 좋아요,an hour ago
1,doit lee,5,북악팔각정 위에서 본 풍경을 가슴을 확 트이게 합니다. 답답한 도심속에서 찾을 수 있는 평온한 자연의 숨결을 느낄 수 있는 곳 입니다.,3 hours ago
2,장미,5,,4 hours ago
3,정태영,4,,7 hours ago
4,최용덕,3,오토바이 너무 시끄러워요. 주차 편해요. 라면 있어요. 날파리도 많아요.,8 hours ago
5,Yonghun Jang,5,,14 hours ago
6,하늘빛사랑교회,4,(Translated by Google) Nice but the parking lot is very inconvenient  (Original) 멋져요 근데 주차장이 너무 불편합니다,17 hours ago
7,이주혁,4,"(Translated by Google) There is a good view of the sky and there is also a bakery on the first floor, so you can eat sweet potato bread and potato bread when you are hungry looking at the sky.  (Original) 하늘사진이 잘보이고 1층에 빵집도있어서 하늘보고 배고플때 고구마빵 감자빵먹어도되요",18 hours ago
8,리프리,5,,22 hours ago
9,&,4,(Translated by Google) Driving lessons and visits. Parking lot discounted  (Original) 운전연습 겸 방문. 주차장 경차할인 됨,a day ago
10,조소희,5,(Translated by Google) I ride my bike sometimes  (Original) 자전거 타고 가끔 갑니다,2 days ago
11,soobok LEE,4,,2 days ago
12,chung harry,5,(Translated by Google) The best dating space with a view of Seoul.  (Original) 서울전망 이 가능한 최고의 데이트공간.,3 days ago
13,안혜자,5,,3 days ago
14,김준식,4,,3 days ago
15,hoonki kim,5,,3 days ago
16,이영채,5,(Translated by Google) It is the second best place to view Seoul after Namsan.  The advantage is that you can drive to it by car.  (Original) 남산 다음으로 서울을 조망하기 좋은 곳입니다.  자차로 드라이브해서 갈 수 있다는 점이 장점입니다.,3 days ago
17,oh kyu kwon,4,(Translated by Google) A place where you can see the beautiful scenery of Seoul at a glance  (Original) 서울의 멋진 경치를 한눈에 볼수 있는곳,3 days ago
18,앵엉Tube,4,(Translated by Google) The one on the left is the jokduribong There is a fire pit...  The octagonal pavilion of Bukaksan has a good view and is new every time you go.  (Original) 맨 왼쪽이 족두리봉이다 불광동이 있는...  북악산 팔각정은 좋은 뷰가 있고 갈때마다 새롭다,3 days ago
19,Neo Park,5,(Translated by Google) It was nice to be able to see Seoul at a glance.  (Original) 한눈에 서울을 볼 수 있어 좋았음.,3 days ago
20,서성수,5,,3 days ago
21,Gyver Choi,4,(Translated by Google) It was a bit noisy due to the large number of visitors.  (Original) 방문객이 많아져 조금 시끄러워졌다.,4 days ago
22,드미르,3,"(Translated by Google) Palgakjeong Pavilion by the side of the scenery is not clean, so healing is not enough.. As a date course, once in a while... There is not much to see  (Original) 경치 괜찮은변 팔각정 자체는 깨끗하지않아서 힐링은 그닥..  데이트코스로 한번쯤간단히...  별로볼건 없어요",5 days ago
23,Junwoo Bae,5,"(Translated by Google) The moon was bright and bright, so I climbed the octagonal pavilion for the first time in a long time. As expected, I realize once again the truth that the night view of Seoul is best seen from Bukak Palgakjeong Pavilion.  (Original) 달이 휘영청 하도 밝아서 정말정말 오랫만에 팔각정 올라갔습니다. 역시 서울 야경은 북악팔각정에서 보는게 가장 멋지다는 진리를 다시 한번 깨닫게 되는군요.",5 days ago
24,홍용훈,4,(Translated by Google) It's tough in summer.  (Original) 여름엔 힘듬ㅜ,5 days ago
25,정은주,5,(Translated by Google) An impressive drive in Pyeongchang-dong in the rain and mountain roads  (Original) 비 내리는 평창동이랑 산길이 인상적인 드라이브 함,5 days ago
26,이대원,5,(Translated by Google) Like 😀 👍 😀 👍 😀 👍 😀 👍  (Original) 좋아요 😀 👍 😀 👍 😀 👍 😀 👍,5 days ago
27,red point,4,,5 days ago
