,이름,별점,리뷰,날짜
0,JS Lee,5,,3 days ago
1,이윤진,4,,3 days ago
2,바푸리,5,"(Translated by Google) It was said that it was raining, so there were not many people and it was quiet. Even on cloudy days, there was no fine dust, so it was cool and the visibility was wide, so I was satisfied. nice to do  (Original) 비가 온다는 말이 있어서 그런지 사람도 별로 없고 한적하니 좋았어요 날이 흐려도 미세먼지가 없어서 시원하고 시야거리도 넓어서 만족스러웠네요 맹꽁이 버스 이용하실 분들은 꼭 왕복으로 이용하세요 올라갈땐 편하게 올라가고 내려갈땐 한바퀴 돌면서 내려와서 구경하기 좋네요",5 days ago
3,뚱떼기,5,(Translated by Google) Paddy train is so much fun.  (Original) 맹꽁이열차 너무 재밌어요.,5 days ago
4,Pio Pio,5,"(Translated by Google) Good for a quiet outing on the weekend. Since there is almost no shade, spring and autumn are good. Cherry blossoms in spring, reeds in autumn - highly recommended  (Original) 주말에 한적하게 나들이 하기 좋습니다. 그늘막이 거의 없기 때문에 봄,가을이  좋습니다. 봄에는 벚꽃, 가을에는 갈대- 강추",3 weeks ago
5,하늘빛사랑교회,4,"(Translated by Google) Okay, it's cool and it's easy to walk, but I can't come easily because the parking facility fee is expensive.  (Original) 좋아요 선선하고 걷기젛아요 근데 주차장시설이용료가 비싸서 쉽게 못와요",3 weeks ago
6,HoiHoi (월간순정칠색조),5,,a month ago
7,manh Nguyễn,5,,a month ago
8,Jong doo Choi,5,(Translated by Google) Sangam-dong Park  (Original) 상암동 공원,a month ago
9,KOO K,5,"(Translated by Google) It's a weekday, so there aren't many people.  (Original) 평일이라 사람도 별로 없고 좋아요.",a month ago
10,이명재,5,"(Translated by Google) If you are going up with a child, we recommend the ferocious train.  (Original) 아이와 함께 올라간다면 맹꽁이 열차추천",2 months ago
11,블랙밀크커피,5,,2 months ago
12,김나팔,5,(Translated by Google) The scenery is the best.  (Original) 경치 최고 입니다.,2 months ago
13,SM Lee,5,so nice place to walk with someone,2 months ago
14,mysig preci,5,(Translated by Google) I went there with the weather and emotions of that day and this season.  (Original) 그날의 날씨와 감정 이 계절을 담고서 찾아갔습니다,2 months ago
15,최병집,4,,2 months ago
16,최홍석,5,,2 months ago
17,Taeho Kwon,5,"(Translated by Google) It is quiet, clean and good.  (Original) 조용하고 깨끗하고 좋아요.",2 months ago
18,송길,5,"(Translated by Google) It was so amazing that I couldn't believe that a place like this existed in Seoul. Instead, to get to Sky Park, you have to walk for a very long time, so you have to prepare your mind!!  (Original) 서울에 이런곳이 있다고 믿겨지지않을만큼 신기했어요 대신 하늘공원까지 가려면 엄청 오래 걸어야해서 마음의 준비를 해야되요!!",2 months ago
19,Martin Troxell,5,,2 months ago
20,윤광식,5,(Translated by Google) cool and open space green forest scenery The beautiful and flowing long Han River It is a wonderful attraction in Seoul that is embodied on one side.  (Original) 시원하고 확 트인 공간 프른 숲 경관이 아름답고 흐르는 긴 한강줄기가 한쪽으로 수체화 멋진 서울의 명소 입니다,2 months ago
21,맨디,5,(Translated by Google) It's better to go with someone you like  (Original) 좋아하는 사람이랑 가서 더 좋았던,2 months ago
22,김수정,5,,2 months ago
23,이환,5,"(Translated by Google) Sky Park in May, where the sky and meadows are green.  I thought only the reed fields in autumn were pretty, but these days, when the summer is green, it's pretty.  2022.05.14 - Visit  (Original) 오월, 하늘과 초원이 푸르른 하늘공원.  가을 갈대밭만 이쁜 줄 알았더니 여름 푸르른 요즘도 이쁘다.  2022.05.14 - 방문",2 months ago
24,김랑곤,5,(Translated by Google) I really like the fresh yellow flower field. The view of the Han River from the observatory is also very good.  (Original) 싱그러운 노란유체꽃밭이 너무너무 좋아습니다  전망대에서 바라보는 한강에 뷰도  너무좋아요,2 months ago
25,周炫성경애TV,5,(Translated by Google) A place to walk and heal in downtown Seoul I really like it. It's wonderful to see all of Seoul and Mapo at a glance. The air is really good.  (Original) 서울도심에 걷고힐링하는장소로 정말좋아요서울중심과마포쪽 다 한눈에 보이다니 멋져요 공기도 참좋네요,3 months ago
26,김류랴류랴,5,"(Translated by Google) good for a walk Parking is easy. If there are a lot of cars in the parking lot, you can park comfortably by coming to the district heating company. It is a good place for a date and a good place for a family outing. If you come on a clear day, you can see the whole of Seoul. Try the feral tea too ^^  (Original) 산책하기 좋아요 주차하기도편해요~ 혹 주차장차가 많을때는 지역난방공사쪽으로오시면 편하게주차할수있어요 데이트 장소로도좋고 가족 나들이하기도좋습니다 맑은날오시면 서울전체가다보여요 맹꽁이차도 경험해보세요^^",3 months ago
