,이름,별점,리뷰,날짜
0,ᄋᄋ[175.127],5,,18 hours ago
1,S.Y. Jin,5,(Translated by Google) like  (Original) 좋아요,2 days ago
2,진대화,5,(Translated by Google) at ease quietly your heart tidy up good to look around  (Original) 편안히 조용히 마음을 정리하며 둘러보기 좋음,3 days ago
3,하사우,5,GOOD,4 days ago
4,Chaeeun Chang,5,(Translated by Google) The most sacred place in Korea 🥰  (Original) 한국최고의성지🥰,4 days ago
5,Seongho Kang,5,,5 days ago
6,채종임,5,,5 days ago
7,전순욱,4,(Translated by Google) I have changed a lot but I am solemn ~ ^^  (Original) 많이 변했지만 엄숙~^^,6 days ago
8,SEUNG JOON LEE,5,"(Translated by Google) Myeongdong Cathedral The Catholic Archdiocese of Seoul Cathedral in Myeong-dong, Jung-gu, Seoul. Historic Site No. 258. The building was completed in 1898. tangible remains Era Modern/Opening Period Personality Cathedral, Catholic Church Established date and year 1898 Scale (area) 1,668㎡ Location Myeongdong Cathedral, 74, Myeongdong-gil, Jung-gu, Seoul Owner (Foundation) Catholic Archdiocese of Seoul Maintenance Foundation Manager Seoul Archdiocese of Seoul Maintenance Foundation Cultural Heritage Designation No. Historic Site No. 258 Date of designation of cultural property: November 22, 1977 Justice The Cathedral of the Archdiocese of Seoul, built during the Korean Empire in Jung-gu, Seoul. Catholic Church. private.  opened It was designated as a private property in 1977. The area is 1,668 square meters. As the Catholic Cathedral of the Archdiocese of Seoul, it occupies a central position as a symbol of Catholicism in Korea. It is the only pure gothic style building in Korea. Construction started in 1892 (29th year of King Gojong) and was completed in 1898.  Origin and change The site where Myeongdong Cathedral was located was called Jonghyeon (鐘峴).  After the signing of the Treaty of Amity between Korea and the United States in 1882, freedom of religion was allowed to some extent. wanted to However, because it is close to Yeonghuijeon Hall, which enshrines the royals of the successive kings of the Joseon dynasty, the court detained ownership of the site and the start of construction was delayed. did.  Then, on May 8, 1892, the foundation ceremony was held. The design and construction supervision were directly handled by the priest E. J. G. Coste (Korean name: Ko Eui-sun). At that time, there were no western-style building engineers in Korea, so bricklayers, plasterers, and carpenters were brought from China to work. At the end of the wall construction in 1896, Cost died, and Poisnel (Victor Louis Poisnel, 1855-1925) continued the interior construction, and the construction was held on May 29, 1898. Since then, Myeong-dong Cathedral has become a specialty of Jangan under the name of 'Pyongjukjip', and it is said that many spectators flock to it every day.  After liberation in 1945, Jonghyeon parish was called Myeongdong parish (cathedral), and two repairs were carried out in 1947 and 1973, and annexes such as priests hall and education hall were built. And to celebrate the 200th anniversary of the founding of the church, large-scale restoration and repair work, including replacement of stained glass and roof copper plates, began in 1981, and was completed in 1984. After that, in 2002, the cathedral repair work started again, and in early 2009, six years later, the bell tower repair, exterior wall brick replacement, and stained glass repair work were completed.  Contents Myeongdong Cathedral is about 68m long, 29m wide, 23m high, and has a bell tower of about 47m and a building area of 427 pyeong. The floor plan of Myeongdong Cathedral is a Latin cross-shaped three-lane style, and the architectural style is not Gothic or stone, which is the essence of Gothic, but a lotus style. I was looking for subtle details. An example of this is that it follows the traditional Gothic construction method suitable for each part inside and outside with about 20 different types of red and gray bricks.  There is an octagonal small tower on the left and right of the bell tower, which is connected by a two-story corridor and serves as a staircase. A small spire is installed on the upper part of the buttress wall, which preserves the characteristics of the Gothic style.  All the windows are arched, and the colonnade uses a different type of brick to create a sculptural effect of stone. The stained glass is a medieval style, originally made in a monastery in France. became (Encyclopedia of Korean National Culture)  (Original) 명동성당 서울특별시 중구 명동에 있는 천주교 서울대교구 주교좌성당. 사적 제258호. 1898년에 준공된 건물이다. 유형 유적 시대 근대/개항기 성격 성당, 천주교성당 건립시기·연도 1898년 규모(면적) 1,668㎡ 소재지 서울특별시 중구 명동길 74, 명동성당 소유자 (재)천주교서울대교구유지재단 관리자 (재)천주교서울대교구유지재단 문화재 지정번호 사적 제258호 문화재 지정일 1977년 11월 22일 정의 서울특별시 중구에 있는 대한제국기에 준공된 서울대교구 주교좌 성당. 천주교성당. 사적.  개설 1977년 사적으로 지정되었다. 면적 1,668㎡. 천주교 서울대교구 주교좌성당(主敎座聖堂)으로, 우리나라 천주교의 상징이자 구심적인 지위를 차지하고 있다. 우리나라 유일의 순수한 고딕양식의 연와조 건물이며 1892년(고종 29)에 착공하여 1898년에 준공하였다.  연원 및 변천 명동성당이 자리잡은 대지는 종현(鐘峴)이라고 불리던 곳이다.  1882년 한미수호조약(韓美修好條約)이 체결되면서 종교의 자유가 어느 정도 허용되자, 당시 교구장이던 주교 블랑(Marie Jean Gustave Blanc, 1844~1890)이 성당 부지로 이곳을 매수하여 종현 본당을 설립하고자 하였다. 그러나 이곳은 조선왕조 역대 왕들의 어진(御眞)을 모신 영희전(永禧殿)과 가까워 성당 건립으로 영희전의 풍수(風水)를 침해할 우려가 있다는 이유로 조정에서 소유권을 억류하여 착공이 지연되기도 하였다.  그 뒤 1892년 5월 8일 정초식을 가졌다. 설계와 공사 감독은 신부 코스트(E. J. G. Coste, 한국명 고의선(高宜善))가 직접 맡았다. 당시 우리나라에는 양옥 건축의 기술자가 없었으므로 벽돌공, 미장이, 목수 등을 중국에서 데려다가 일을 시켰고, 도중에 재정난과 청일전쟁으로 공사가 중단되기도 하였다. 1896년 벽체공사가 끝날 무렵 설계·감독을 맡았던 코스트가 죽고 프와넬(Victor Louis Poisnel, 1855~1925)이 뒤를 이어 내부공사를 속행하여 1898년 5월 29일에 축성식을 거행했다. 이후 명동성당은 ‘뾰죽집’이라는 이름으로 장안의 명물이 되어 매일 많은 구경꾼이 몰려왔다고 한다.  1945년 광복 이후 종현본당은 명동본당(성당)으로 불리게 되었고, 1947년과 1973년 두 차례의 수리공사와 사제관·교육관 등 부속건물의 건립이 이루어졌다. 그리고 교회 창설 200주년을 맞아 1981년부터 스테인드글라스, 지붕동판 교체 등 대대적인 복원수리공사에 착수하여, 1984년에 마무리 지었다. 이후 2002년에는 다시 대성당 보수 공사에 착수하여 6년이 지난 2009년 초에 종탑 보수, 외벽 벽돌 교체, 스테인드글라스 보수 등의 공사를 완료했다.  내용 명동성당은 전체 길이가 약 68m, 너비 29m, 높이 23m에 종탑 높이는 약 47m이며 건축 면적이 427평이다. 명동성당의 평면은 라틴 십자형 삼랑식(三廊式)이고, 건축양식은 고딕양식이나 고딕의 정수(精髓)인 석조(石造)가 아니고 연와조이기 때문에 고딕양식의 장중함은 덜하지만 가능한 한 벽돌로 고딕적인 디테일을 추구하였다. 20여 종에 달하는 적색과 회색의 이형(異形) 벽돌로 내외 각 부분에 알맞는 전통적인 고딕 공법(工法)을 따른 것이 그 예이다.  종탑의 좌우에는 팔각의 작은 탑이 있어 2층 회랑으로 연결되어 계단실 구실을 하고 있으며, 외벽에는 같은 간격으로 부축벽이 있고, 외벽 끝 양단과 트랜셉트(transept) 부분의 양끝 모서리의 직교(直交)하는 부축벽 상부에는 소첨탑이 설치되어 있어서 고딕양식의 특징을 살렸다.  모든 창은 아치형이고 열주(列柱)는 이형 벽돌을 사용하여 석재의 조각적인 효과를 내고 있으며, 스테인드글라스는 중세양식으로서 원래 프랑스에 있는 한 수도원에서 제작한 것인데 1981년 우리나라 사람에 의해 원형대로 보수되었다. (한국민족문화대백과)",6 days ago
9,fracis Tager,5,,6 days ago
