,이름,별점,리뷰,날짜
0,Hyoung-Joo Kim,4,,17 hours ago
1,박은주,5,,20 hours ago
2,JAQ DU,4,"Great museum to go if you want to know more about political korean history. Disclaimer: disturbing content with hurting and traumatizing videos. Despite this warning, it is important to remember the past whatever it is !",21 hours ago
3,永theki,5,"(Translated by Google) 50 years ago, I went to a nearby middle school, so I thought it was just a prison, so I visited the place out of curiosity.. A lot of young students came to experience learning as a group. Recalling the history of the past... I recommend a visit to those who have time...  (Original) 50년전 인근 중학교를 다녔기에 그냥 교도소이겠지 란 생각을 갖고 호기심에 방문했던 장소..어린 학생들이 단체로 체험학습을 많이 옴.. 일제시대 독립투사들이 이곳에서 고초를 겪을걸 생각하니 숙연해지며 암울했던 역사를 되세기게 됨..시간되시는 분들에게 방문을 권해드림...",23 hours ago
4,반짝이는매일아침,5,"(Translated by Google) I visited on Liberation Day and I think it went well. Once again, I am grateful for the heroes who gave their lives for our independence.  (Original) 광복절을 맞아 방문했는데 잘한거 같아요. 다시금 독립을 위해 목숨을 바친 영웅들의 고마움을 느낍니다.",a day ago
5,이명세,5,,a day ago
6,안의기,5,(Translated by Google) We must learn the past  (Original) 과거를 제대로 배워야 합니다,a day ago
7,grace,5,,a day ago
8,Kyeongsik Shin,5,,2 days ago
9,Dark Simeon,5,,2 days ago
10,효킴,5,,2 days ago
11,forever SH,5,(Translated by Google) Participated in the Independence Festa 77th anniversary of liberation  (Original) 독립 페스타 광복77주년 기념공연 참석,3 days ago
12,이기덕,4,,3 days ago
13,정영선,5,,4 days ago
14,Navy HD,4,"At the beginning, it looks like a Palace, but in fact it's a prison. Thousands of Korean devoted their lives for liberation from Japan and.... peace and democracy...... their blood and soul make Korea better that is why I have opportunity to come..... thanks",4 days ago
15,nadaum,5,(Translated by Google) Liberation Day for children. I like to tell you the meaning of verse 3.1  (Original) 아이들에게 광복절. 3.1절의 의미를 알려주기 좋아요,4 days ago
16,최해경,5,(Translated by Google) I learned a little more about history  (Original) 역사에 대해 조금 더 알게됐어요,4 days ago
17,김병관,5,"(Translated by Google) Visited on 14 August. In commemoration of Liberation Day, admission was free on the 14th. There were magic shows and craft experience booths for the Liberation Day event and escaped the room? Judging by the fact that they prepared for the same program, it could be seen that they prepared diligently. I've never been there before in my life, so I came here to celebrate Liberation Day.  (Original) 8월 14일 방문. 광복절을 기념해서 14일도 무료입장이 가능했다. 광복절 행사로 마술쇼라던가 공예체험부스들이 들어와있었고 방탈출? 같은 프로그램도 준비한 것으로 보아 열심히 준비했음을 알 수 있었다. 살면서 한 번도 가본 적이없어서 광복절을 기념해 방문했다.",4 days ago
18,이진옥,5,,5 days ago
19,김민송,5,,5 days ago
20,임지형,4,Not bad,5 days ago
21,뀨린tv,5,(Translated by Google) I have a tingle  (Original) 뭉클함이 있어요,5 days ago
22,이혜원,5,,5 days ago
23,류기형,5,"(Translated by Google) I think everyone should go at least once. Even if you don't feel like going, you should go at least once  (Original) 누구나 한번은 가봐야 할것 같아요 가서 느끼는게 없어도 한번이상은 가봐야 할듯",5 days ago
24,김형동,5,"(Translated by Google) It is a place where you can face the noble spirit of the martyrs who sacrificed their lives for independence during the Japanese colonial era and those who gave their faith for the democratization movement during the long dark and dark military dictatorship.  (Original) 일제시대에 독립을 위해 목숨을 바치신 순국선열들과 암울한 긴 어둠의 군부독재시대, 민주화운동을 위해 신념을 바쳤던 분들의 고귀한 정신을 마주 할수 있는곳입니다.",6 days ago
25,정상미,5,,6 days ago
26,엄문성,5,(Translated by Google) went well  (Original) 잘 다녀왔습니다,6 days ago
27,Jason Lee,3,,6 days ago
28,김미정,5,,6 days ago
29,lemon willow,5,Heartbreaking stories of the patriots. Well worth visiting- entry is free.,6 days ago
30,송원준,4,,6 days ago
31,행복윤남매,5,"(Translated by Google) I recommend Seodaemun Prison, where you can know the history.  (Original) 역사를 알수 있는 서대문형무소 강추합니다",6 days ago
32,TW KIM,5,,6 days ago
33,Han sunny,5,,a week ago
34,기우경,5,(Translated by Google) A must visit place to experience the history  (Original) 꼭 가서 역사를 느껴봐야 하는곳,a week ago
35,Ymelia Stevenson,5,,a week ago
36,Jong-Hoon Han,5,(Translated by Google) A place everyone should visit at least once!  (Original) 누구나 최소 1회 이상은 가봐야하는곳!,a week ago
37,이창섭,5,"(Translated by Google) A place to think a lot about the independence movement Once again, I think deeply about Japan's atrocities.  (Original) 독립운동 많은 생각을 하게되는곳 다시금 일본의 만행을 깊이 생각합니다",a week ago
38,이홍구,5,,a week ago
39,류민기,4,,a week ago
40,청전(청전),5,,a week ago
41,남상덕,5,(Translated by Google) Japanese atrocities! A must visit place if you love the country. Long live Korea!  (Original) 일제의 잔혹사! 나라를 사랑한다면 꼭 와봐야 할곳. 대한민국이여 영원하라 !,a week ago
42,brad park,5,,a week ago
43,Siyun Lee (Siyun),5,,a week ago
44,천둥이마미,5,,a week ago
45,이동길,5,"(Translated by Google) It was good to study history at Seodaemun Prison. However, my heart was moved, and the Japanese people and the patriotic slaves felt betrayed and angry. There were types of torture, such as water torture, box torture, nail torture, etc., which were too cruel... But it seems to be useful for history, so it's not bad to go there.  (Original) 서대문형무소 에서 역사에  데해  공부해서 좋았다 하지만  마음이  뭉클하고 일본사람들과 매국노들이  배신감과 분노가  철철  흘렀다 고문의 종류는 물고문 상자고문 손톱고문 등이 있었는데  너무  잔인했다.....하지만 역사에  도움이 되는것 같으므로 가보는것도 나쁘진  않은것같다",a week ago
46,김진덕,5,,a week ago
47,Jung Hoon Park,5,"(Translated by Google) A mandatory course for study at leisure. There is also an independent gate right next to it. Thos place is essential for study Korea history. Beside there, Korea Indipendence gate is placed.  (Original) 여가 공부하기위한 필수 코스. 바로옆에 독립문도 있습니다. Thos place is essencial for study Korea history. Beside there, Korea Indipendence gate is placed.",a week ago
48,금메달아빠,5,"(Translated by Google) I have to go There is only one bathroom, and it is inconvenient to have it on one side. It's summer and there is no air conditioning. The staff are only in places with air conditioning  (Original) 다녀올만합니다 화장실이 하나 밖에 없는데 한쪽에 있어서 불편하고 여름인데 에어콘이 없네요 직원들은 에어콘 있는곳에만 있더군요",2 weeks ago
49,다알콤,5,,2 weeks ago
50,강혜진,5,(Translated by Google) It is useful for children Especially the docent commentary was the best👍  (Original) 아이들하게 유용하네요 특히 도슨트해설은 최고👍였습니다,2 weeks ago
