,이름,별점,리뷰,날짜
0,안민영,5,"(Translated by Google) There is a water fountain in the playground, so it is good to bring children. Great place for a walk However, be careful as the coffee in all cafes is bitter.  (Original) 놀이터에 물나오는곳이 있어 어린이들 데려와도 좋고 산책하기 넘나 좋는곳 다만 카페들 커피가 전체적으로 쓰니 조심",3 days ago
1,j “j_j” h,4,(Translated by Google) Small in size but well enjoyed Greenhouse I was hot and very humid in the summer It was a pity that we could not see the garden that we could see together.  (Original) 규모는 작았지만 충분히 잘 즐겼습니다 온실 내가 여름엔 덥고 굉장히 습했습니다 함께 볼 수 있는 정원은 볼게 없어서 아쉬웠습니다,4 days ago
2,아서포,4,(Translated by Google) It's bigger than I thought and it's really well made. The price is not expensive and I'm satisfied. It is really good to take a look inside the botanical garden and see the landscaping outside.  (Original) 생각보다 규모가 크고 정말 잘만들었습니다 가격도 비싸지 않고 만족스럽습니다. 식물원안에 한번 둘러보고 외부에 조경도 구경하면 정말 좋습니다,4 days ago
3,손싸비,5,,a week ago
4,비바람,4,,a week ago
5,ks shin,5,,2 weeks ago
6,정필선 (필짱),5,"(Translated by Google) I love it, I want to come next time.  (Original) 넣 좋아서 다음에 꼭 오고 싶어요",2 weeks ago
7,장호진,5,(Translated by Google) I like to pickle vegetables.  (Original) 산채하기  좋아요.,2 weeks ago
8,호보쇼,5,,3 weeks ago
9,Liam C-B,5,Well worth a visit! Both the indoor greenhouses & outdoor gardens are nice to walk through! Not massive but worth the entry price.,a month ago
10,KIHUN BANG,5,,a month ago
11,김기호,5,,a month ago
12,WS Kim,4,"(Translated by Google) A park built in Magok, a good place for a walk. Things to see in Gangseo-gu Botanic Park is easily accessible as it is directly connected to the subway.  (Original) 마곡에 조성된 공원으로 산책하기 좋은 곳. 강서구에 볼거리 보타닉공원은 지하철과 바로 연계되어 접근이 용이하고 호수와 함께 잘 조성되고 관리되어 쉼과 여유를 갖기에 편안한 곳",a month ago
