,이름,별점,리뷰,날짜
0,멋진창창,5,(Translated by Google) A place where you don't know why it was made! It is difficult to walk and there is no shade in broad daylight. Not even suitable for transport.  It would be better to just let the car go and improve the traffic flow.  (Original) 왜 만들었는지 모를 장소 ! 걷기도 불편하고 대낮에 그늘도 없음. 이동에 적합하지도 못함.  그냥 차량 다니게 해서 교통 흐름이나 개선하는게 좋을듯,a day ago
1,chekelup2 Lee,3,,3 days ago
2,조큘라,5,,5 days ago
3,Birgit Koch,5,(Translated by Google) A beautiful walkway across the streets of Seoul. You can see the train station and other sights and you are surrounded by greenery  (Original) Ein wunderschöner Fussweg über die Straßen Seoul 's. Man sieht den Bahnhof und andere Sehenswürdigkeiten und ist im Grünen,a week ago
4,Ryan P,3,Meh. Nothing special. Nothing like the high line in New York. Just a nice walk through the bustling city I guess.,3 weeks ago
5,Udbhav Sharma,4,,3 weeks ago
6,박용교,5,(Translated by Google) I ate very deliciously ~~^^  (Original) 아주 맛있게 잘 먹었습니다 ~~^^,3 weeks ago
7,마을이장,5,"(Translated by Google) In winter, there are no leaves on the trees, so it is a little dull. There is a glass hole in the middle, so you can see the road 10m below. It's good to see Songijeong Park and the museum, which is a little closer from Namdaemun to Gongdeok. In July 2022, a 2m-long safety railing was installed to make it even safer.  (Original) 겨울에는 나무의 잎이 없어 조금 썰렁해요 중간중간 유리구멍이 있어 10m 아래 도로를 볼수 있고 남대문쪽에서 공덕방향으로 가서 조금 다가면 있는 손기정공원과 박물관을 보면 좋아요 2022.07월에는 2m되는 안전난간을 설치하여 더욱 안전해졌어요",4 weeks ago
8,moacomb botte (모아콤moacomb),1,,a month ago
9,정성권,1,(Translated by Google) A place where you will take away all your old memories  (Original) 옛추억을다뺏어가곳 박원순 작품이라고별낙제점,a month ago
10,모야모,4,"(Translated by Google) The Seoul Station overpass, built in 1970, was named 7017 because it was made into an overpass park where people could walk in 2017. From Hoehyeon Station Exit 5 to Malli-dong, we planted grass, flowers and trees in our own way, and installed information centers, cafes, bakeries, coffee shops, souvenir shops, building connections, and elevators. Each tree goes through the adoption process and seems to be adopted by an individual. It seems to be a resting place and reference place for those who like flowers and trees or study, but the condition of the trees was not satisfactory due to the unusually hot and dry weather.  (Original) 1970년 건설된 서울역 고가도로를 2017년 사람들이 걸어다닐 수 있는 고가인도 공원으로 만들었다 해서 7017이라 명명했다 한다 회현역 5번 출구부터 만리동 까지 풀, 꽃, 나무를 나름 정리하여 심고 군데군데 안내소, 카페, 빵집, 다방, 기념품점,빌딩 연결로, 엘리베이터 를 설치하고 나무를 그늘삼아 벤치도 만들어 쉴 수 있게 하였다 각각의 나무는 입양절차를 밟아 개인에게 입양도 하는듯하다 꽃과 나무를 좋아하거나 공부하는 사람에게는 조은 쉼터이자 참고장소가 될듯 한데 유난히 덥고 가물었던 탓인지 나무들 상태가 만족스럽지는 않았다",a month ago
11,Yong hyun Yun,4,,a month ago
12,Sang-Kyun Park,4,"(Translated by Google) Seoullo7017 used to be an overpass for automobiles in the past to connect northern and eastern parts of the city. Located directly at Seoul Central Station, the former elevated road now runs as a green strip across the streets of Seoul near Namdaemun. Some repair work is currently being carried out in the Seoul Station area, so some areas are covered with black plastic sheeting. This clouds the beauty of Seoullo7017 a bit, but it is still nice to dive into this green oasis in the middle of Seoul.  (Original) Das Seoullo7017 war in der Vergangenheit eine Hochstraße für Autos, um nördliche und östliche Teile der Stadt zu verbinden. Direkt am Seoul Haupbahnhof gelegen führt die ehemalige Hochstraße nun als grüner Streifen über die Straßen von Seoul hinweg in die Nähe des Namdaemun. Momentan werden in dem Bereich des Seoul Bahnhofs einige Reparaturarbeiten durchgeführt, weswegen einige Bereiche mit schwarzer Plastikfolie abgedeckt sind. Dies trübt ein wenig die Schönheit des Seoullo7017 aber dennoch ist es schön inmitten von Seoul in diese grüne Oase einzutauchen.",2 months ago
13,전익생,5,,2 months ago
14,Natasha Faria,5,A lovely walk through the centre of Seoul - highly recommended!,2 months ago
15,타임스케치,3,"(Translated by Google) It is good to make the overpass into a park, but the car underneath It’s not very fresh air, so it’s not so much.  (Original) 고가를 공원으로 만든건 좋은데 밑에는 자동차가 많이 다녀서 신선한공기가 아닌 매연으로별로예요",2 months ago
16,최상희,4,"(Translated by Google) It is good to be able to see the traffic center of Seoul in a glance. You can see the surrounding scenery, you can see the Namdaemun in the distance, see the old Seoul historical building, take pictures from afar is great, and it is also good for a walk course on the street. I can go to Namdaemun Market and Lotte Mart. I do not have to face the car on the narrow road without worrying about the time, and the overpass of the car is also different. Walking while watching the blooming flowers and trees in every season, it is perfect for watching the scenery overlooking Hanjin at a glance. It seems to be good for a resting place here too ~ ~ Namdaemun traditional market faces at the end of it ... and Lotte Mart also has a neat shopping, so it is a honey tip for travelers ~~~ ^^  (Original) 서울의 교통 중심지?를 한눈에 볼 수 있어서 좋다.무엇보다 어렵게 시간을 많이 들여 걷던 길을 편하게 질러 갈 수 있어서 좋다. 주변 경치도 보고, 멀리 남대문도 보이고, 옛서울역사 건물도 보고,  멀리서 찍는 사진도 멋있고, 길위를 걷는 산책코스로도 좋다. 남대문시장과 롯데마트를 오갈 수 있고, 무엇보다 시간이  많이 단취되서 너무 좋다. 시간에 쫒길  염려없이 좁은 도로위에서 차와 마주 할 일 없고, 차위의 육교라 공기도 다른거 같다. 계절마다 피는  꽃과 나무를 보면서 걷고, 한눈에 내려다 보이는 경치를 한진찍기에도 안성맞춤이다. 이곳도 쉬어가는 여행지로 좋은거 같다~~그 끝에 남대문 전통시장들이 마주하고 있으니까.. 그리고 깔끔한 쇼핑으로 롯데마트도 있으니 여행자에겐 꿀팁일듯~~~^^",2 months ago
17,방화,5,,2 months ago
18,黃裕茗,5,,2 months ago
19,Route,4,"(Translated by Google) I didn't know there was such a pretty place in Seoul, but it seems like we met really well. The only downside is that there is no vending machine.  (Original) 서울에 이렇게 이쁜곳이 있었는줄 몰랐네요 정말 잘 만듯것 같습니다. 다만 조금 아쉬운점은 자판기가 하나도 없다는점.",2 months ago
20,알고it거든,5,,2 months ago
21,Ho-Sung Kim,4,(Translated by Google) A little strange place in Seoul  (Original) 서울안에 조금 신기한 장소,2 months ago
22,jeongtae lee,5,(Translated by Google) You did it cutely  (Original) 아기자기하게 잘 해 놨네요,2 months ago
23,えりお（フリーランス女医）,5,Renewed 2017. One of my favorite spot in Seoul,2 months ago
24,강무무,1,(Translated by Google) You can play Grow Sushi on the Google Play App Store.  Please remove all the trees and make a bike path.  (Original) 구글플레이 앱스토어 초밥키우기 플레이 가능합니다  나무 다 없애고 자전거도로나 좀 만들어주세요,2 months ago
25,하늘의황태자복덩이 (하늘의황태자),1,"(Translated by Google) For some reason it was made, the high prices in Seoul are eliminated.  (Original) 왜만들었는지 서울에 고가는 다없애고",2 months ago
26,김만겸 (푸르른향),3,,2 months ago
27,이광태,5,,3 months ago
28,난주,4,,3 months ago
29,Yong Suk Lee,5,"(Translated by Google) Take a walk while looking at the night view of Seoul Station, Namdaemun, and Seosomun.  (Original) 서울역, 남대문, 서소문 야경보며 산책.",3 months ago
30,Yunus Bilen,5,🤙,3 months ago
31,JY L,5,"(Translated by Google) You can see Seoul Station at a glance, and the sight of cars passing by at the intersection is beautiful.  (Original) 서울역을 한  눈에 볼수 있고, 교차로에 차들이 오가는 광경이 이뻐요.",3 months ago
32,tim treasure,5,(Translated by Google) peace-full  (Original) 피스-풀,4 months ago
33,YEON,5,,4 months ago
34,Musigi Kim,5,,4 months ago
35,longchampayu,4,(Translated by Google) Great for a morning walk. The lyrics of various artists are written around the planting. What I saw was SMAP.  (Original) 朝の散歩に最適。植え込みのとこにいろんなアーティストの歌詞が書かれています。わたしが見たのはSMAPでした。,4 months ago
36,楊涵穎,4,"(Translated by Google) The second time I went in the summer of 2019, I still like it very much. I am willing to use the city center to create such a walking and playing environment, which is really great. Great place to go before shopping at Seoul Station.  (Original) 2019年夏天第二次前往，還是很喜歡這裡，願意用市中心打造這麼一個散步遊玩環境，真的很棒。去首爾車站購物前的好去處。",4 months ago
37,METAL actually 메탈액츄얼리 (MEGATDREAM),5,,4 months ago
38,Pepin Min,5,(Translated by Google) Good place to walk  (Original) 걷기좋은곳,4 months ago
39,Joshua Clubley,4,"A lovely place to go for a walk in the evening. You can walk along the overpass for a good distance admiring the view of all the buildings and then end your walk at the main bus station to get back to where you need to go. Overall, it wasn't to crowded when I visited at around 4.30pm and I enjoyed the walk.",4 months ago
40,Jong doo Choi,5,(Translated by Google) downtown regeneration promenade  (Original) 도심재생 산책길,5 months ago
41,David Zurita,5,"(Translated by Google) It is a good place for a quiet family walk, it is not a park where you will find some attraction.  It is more of a tourist place to walk and go very quickly from Seoul Station to the next station. It also has a couple of traditional Korean food restaurants.  If you like photography the views are excellent.  (Original) Es un buen lugar para una caminata tranquila en familia, no es un parque donde encontrarás alguna atracción.  Es más un lugar turístico para caminar y pasar muy rápido de Seoul Station a la siguiente estación. También cuenta con un par de restaurantes de comida tradicional coreana.  Si te gusta la fotografía las vistas son excelentes.",5 months ago
42,Dongho Ko,2,(Translated by Google) I hate to recommend places that are complicated and full of smoke.  (Original) 복잡하고 매연많은곳을 추천하기가 싫습니다.,5 months ago
43,PD aera,5,(Translated by Google) The direct market was good and Namdaemun Market was also good. I've been shopping for a long time.  (Original) 직거래장터도좋았구요 남대문시장도 좋았어요 쇼핑 억수로 하고왔어요,5 months ago
44,Sergio Gabriel,5,"(Translated by Google) It is a floating garden in the middle of a concrete jungle that is magnificently framed. It is worth visiting for the space itself, as well as its framing in the surrounding environment.  (Original) É um jardim flutuante no meio de uma selva de betão que fica magnificamente enquadrado. É de visitar pelo espaço em si mesmo, bem como do seu enquadramento na envolvência circundante.",5 months ago
45,hsy,5,"(Translated by Google) In spring, there are so many people that it is difficult to walk around lunchtime. It is directly connected to 'Seoul Station Rooftop Garden', but there are people who do not know well and ask where to go up after getting out of Seoul Station. Due to Corona, we cannot go up to the observatory in the middle.  (Original) 봄이되면 점심시간에 걷기 힘들 정도로 사람들이 많아져요. '서울역옥상정원'과 바로 연결돼 있는데 잘 모르시고 서울역에서 나온 다음 어디로 올라가는지 묻는분들이 계세요. 코로나 때문에 중간중간 있는 전망대에는 못 올라가요.",5 months ago
46,QMin P,3,,6 months ago
47,Nara Lee,4,The view here is amazing. But the road is too narrow to walk along with couple of ppl. Need to get rid of some of the giant vases on the bridge.,6 months ago
48,김용술,3,"(Translated by Google) There is still time left for the train, but it's too cold. In seasons other than winter, having a cup of coffee would be enough.  (Original) 기차 시간이 남아 올랐는데 너무 추워요. 겨울이 아닌 계절엔 커피 하나 들고 있으면 여유가 있겠어요.",7 months ago
49,Tania Magsi,4,"Beautiful night view, also good for someone from biological point of view who're interested in seeing a wide variety or plants...if you love seeing a night view of seoul up from an overpass then definitely recommended otherwise there's nothing worth to do...",7 months ago
50,Godici Nicolae,5,,7 months ago
51,박정남,5,,7 months ago
52,나연tv Suesada,5,,7 months ago
53,L C,4,(Translated by Google) Take a look at the concept of an empty bridge in just one  (Original) 一個空橋的概念短短一條就走走看看,7 months ago
54,아삭,5,,8 months ago
55,changho jun,3,"(Translated by Google) Walking distance to Namdaemun Market and Malli-dong  (Original) 남대문시장, 만리동을 걸을수있는 거리",8 months ago
56,SiMon,5,"Walking with the views in Big city, Seoul.",8 months ago
57,손희경,5,"(Translated by Google) So good. It's great to exercise at night and during the day, it's perfect  (Original) 너무좋아요.  밤엔 밤대루  낮엔  낮대루  운동하기도  좋구  완전  최고",8 months ago
58,변상언,5,"(Translated by Google) Anytime good place. If you go at night, the night view is even more beautiful. From Hoehyeon Station to Seoul Station, I walked through the elevated garden and captured a wonderful night view.  (Original) 언제가도 좋은곳. 밤에가면 멋진 야경이 아름다워 더욱 좋은곳. 회현역 앞에서 서울역까지 고가정원을 걸어가며 멋진 야경을 담았습니다.",8 months ago
59,Kei Funaki,4,this is from Seoul station to near  Namdaemun its good for walking not so many people there. you can walk to  Namdaemun safely,8 months ago
60,Sungkyu Oh,4,(Translated by Google) The old vehicle overpass was closed and it was decorated so beautifully as a pedestrian path.  (Original) 옛 차량고가도로를 폐쇄하고 사람들 보행로로 너무 아름답게 꾸며놨네요.,8 months ago
61,Kyungsook Lee,4,"(Translated by Google) Looking down on the old Seoul Station from a high position is a different experience. However, it was very noisy when I used cup noodles as a bait to give a speech to the homeless whether it was a church or a Taegeukgi unit. I feel the homeless problem here. Every big city has this problem.  (Original) 높은 위치에서 옛 서울역을 내려다보는건 색다른 경험입니다. 하지만 컵라면을 미끼로 노숙자들 대상으로 교회인지 태극기부대인지 연설을 하는데 넘 시끄러웠어요. 노숙자 문제를 여기서는 느끼게 되네요. 어느 대도시든지 이런 문제는 있긴하더라구요.",8 months ago
62,moonho jeong,4,"(Translated by Google) It's cute and nice, but I'm just wondering if there's any need to go there on purpose..  (Original) 아기자기하고 좋긴한데 막 일부러 찾아가고 그럴 필요까지는 있나 싶은..",8 months ago
63,Na Na (NaNa),3,,9 months ago
64,청산고,5,"(Translated by Google) Seoul Station Driveway Park created by Mayor Park Won. Namdaemun and Seoul Station. This park was created by turning the road overpass connecting Mapo into a car-free sky garden so that many people can walk and tell stories. There are several pianos on the overpass, and anyone can play it. Umbrellas that can be borrowed for a while in hot weather are free. It's just a shared umbrella, so you can't return it. It would be nice to be a stylish citizen who writes and returns for the next person.  (Original) 박원시장님께서 만든 서울역차도공원. 남대문과 서울역. 마포를 잇는 차도 육교를 차없는 하늘정원으로 만들어 많은 사람들이 걸으며 이야기 꽃을 피울 수 있게 조성된 공원입니다. 육교 위엔 여러대의 피아노가 있는데 누구나 연주할 수 있고. 더울때 잠시 빌릴수 있는 우산이 무료입니다. 단지 공용우산인데 가지고 가서 반납이 안된다네요. 다음 사람을 위해 쓰고 반납하는 세련된 시민이 되시면 좋을 듯",9 months ago
65,신현정,5,,9 months ago
66,청색가수,3,,9 months ago
67,Aatu Dorochenko,4,"Way nicer overpass than Opastinsilta at Pasila, Helsinki, Finland. All plants, lights, scale, everything. So instagrammable. Both fill up the function as overpass but Opastinsilta does not even try to do anything else.",9 months ago
68,Sookyung Kim,3,"(Translated by Google) there are many people If it was summer, the concrete floor would be hot, so I wondered how hard I would be able to walk...  (Original) 사람만 많고 여름이었다면 콘크리트 바닥이 뜨거워서 어텋게 걸을수 있을까...생각함",9 months ago
69,Henry Chung,5,,9 months ago
70,박영옥,4,(Translated by Google) Night view is cool  (Original) 야경 멋있어요,9 months ago
71,Манап Маулен,4,(Translated by Google) A simple park like a bridge  (Original) Простой парк как мост,9 months ago
72,정광택,4,,9 months ago
73,Wioletta Cartano,5,,9 months ago
74,Daniel Nyffenegger,5,,9 months ago
75,윤씨네식탁,5,,9 months ago
76,성희섭,5,(Translated by Google) It is good for a walking course during lunch time. It is so good to be with nature in the city.  (Original) 점심시간 이용 산책 코스로 좋아요.도시속 자연과 함께할 수 있어 너무 좋습니다,9 months ago
77,김요셉,4,,9 months ago
78,배튜배튜,5,,9 months ago
79,ᄒᄒ,4,,9 months ago
80,Rickover Lee,5,"(Translated by Google) Each season has a different look, and it's nice to be able to see Seoul Station from above. As well as various plants, it is a shelter that draws a different landscape in a city that can be bleak.  (Original) 매 계절마다 모습도 다르고, 서울역을 위에서 바라볼 수 있는 것도 좋습니다. 다양한 식물들도 그렇고, 자칫 삭막할 수 있는 도시에 다른 풍경을 그려주는 쉼터같은 존재입니다.",9 months ago
81,김보경,3,"(Translated by Google) The idea itself wasn't bad, but if we had put more effort into it...!  (Original) 아이디어 자체는 나쁘지 않았는데, 좀 더 정성을 들였다면...!",9 months ago
82,김대흥,1,,9 months ago
83,jusuk lee,4,,9 months ago
84,Grant Bahk,2,(Translated by Google) Reinstalling the bridge to facilitate traffic flow seems like a better option.  (Original) 교통흐름을 원활하게 하는 다리의 재설치가 더 나은 선택같다.,9 months ago
85,벨로나,5,"(Translated by Google) It was a pity that I came in late autumn when the flowers were dying, but it was a very pretty and well-maintained park. I'll have to come back later in the spring or summer.  (Original) 꽃들이 저물어가는 늦가을에 온게 아쉬웠는데도 참 이쁘고 관리잘된 공원이었어요. 나중에 꼭 늦봄이나 여름에 와야겠네요.",9 months ago
86,Charlee Chay,3,"TL:DR - If you're in the area and have 30 minutes, check it out.  Not a must, but a neat little place to walk around if you're in the area. There's a series of plants, art and music on display. The free internet there's a little sketchy, but if you're like me you already have either a mobile wifi or a cell phone connection. The views from the platform are also really nice.  I believe that 30 minutes is more than enough to get a good feel for the place, and if you're trying to kill some time at Seoul Station, this is a great idea.",9 months ago
87,이형곤,4,,9 months ago
88,young c,1,(Translated by Google) Not clean and the landscaping is sloppy  (Original) 깔끔하지 않고 조경이 조잡함,9 months ago
89,성준기,4,"(Translated by Google) Although it is neatly laid out, I wonder if it should have been made in a neighborhood with heavy traffic.  (Original) 깔끔하게 잘 되어 있기는 하지만 굳이 교통 혼잡한 동네에 만들어야 했을까 라는 생각이 든다.",9 months ago
90,YS KIM,4,(Translated by Google) I think it's a good place for people to take a break and look around.  (Original) 시민들이 잠시 쉬며 구경하기 좋은곳이라 생각함.,9 months ago
91,上善如水,4,,10 months ago
92,강문식,4,(Translated by Google) It's good  (Original) 좋네요,10 months ago
93,이만형,5,,10 months ago
94,Gyz K.,5,,10 months ago
95,김여우,3,(Translated by Google) Nice for a walk  (Original) 산책하기 좋네요,10 months ago
96,김정훈,3,(Translated by Google) I like to take a walk and walk in the city whenever I have time. I like to see roads and cars.  (Original) 시내에서 시간 나는대로 산책및워킹하기  좋아요 도로와차구경도 좋아요,10 months ago
97,Nam Chang Su,5,,10 months ago
98,박형근,4,(Translated by Google) nice in the evening It is good to walk for exercise.  (Original) 저녁에 멋있어요 운동삼아서 걷기도 좋고요,10 months ago
99,이상호,5,(Translated by Google) Great for a walk in the heart of the city  (Original) 도심 한복판에서 걷기에 좋아요,10 months ago
100,김민화,5,(Translated by Google) It's lovely on a rainy day!!!!  (Original) 비오는날 운치있다!!!!,10 months ago
101,yoonhong min,3,,10 months ago
102,Doosung Shin,5,,10 months ago
103,JunHo Kang,4,,10 months ago
104,Mehruba Akter,5,I love korea so much But i am from Bangladesh 😔,10 months ago
105,안복자,5,,10 months ago
106,김용범,5,"(Translated by Google) The former overpass was opened to create a street for each theme with trees and plants as a walking trail, and it is connected from Namdaemun to Seoul Station. Namdaemun Market nearby. Namsan. Lotte Outlet. There are shopping and dining areas including Lotte Mart. It is a road that goes through each region through Seoul Station. traffic. shopping. It is the main point of tourism  (Original) 고가도로였던곳을  개방하여 산책로로 나무등 식물을 테마별로 거리를 조성하였으며 남대문에서 서울역까지 연결되어 있고 또한 지하철역등으로 연결되는 엘리베이터도 있어 편리하게 접근이 가능합니다. 주변에 남대문시장.  남산. 롯데아웃렛. 롯데마트를 비롯한 쇼핑과 식당가가 있고 서울역을 통해 각지방을 통하는 길목이라 교통. 쇼핑. 관광의 요지입니다",10 months ago
107,한계숙,5,(Translated by Google) It was very nice to be able to walk the streets of Seoul  (Original) 서울 거리를 산책할수 있어 매우 좋았음,10 months ago
108,이순희,5,(Translated by Google) Even if it's raining and it's a bit difficult to walk Nice place to take a walk  (Original) 비가와서 조금걷기가 불편해도 기분좋게 산책할수 있는곳,10 months ago
109,Hyeon-ju Yoo,5,"(Translated by Google) It's an overpass that I used to pass when I had a train break at Seoul Station when I was a kid, but it's strange to see it turned into a rooftop garden like this. I like to take a walk.  (Original) 어릴적 서울역 구역사에서 기차탈일이 있을때면 늘 지나다녔던 고가도로인데 이렇게 옥상정원으로 바뀐걸보니 신기해요 산책하기 좋아요",10 months ago
110,백성규,3,(Translated by Google) soso  (Original) 소소,10 months ago
111,조성대,5,,10 months ago
112,Tobit,4,,10 months ago
113,Julius Wachira,3,Tasty mandu but the room is abit crowded.,10 months ago
114,Harry Lee,5,(Translated by Google) Great place for a walk.  (Original) 산책하기 좋은곳입니다.,10 months ago
115,매맞는훈남,5,(Translated by Google) I recommend the garden in the city center  (Original) 도심속 정원 강추드립니다,10 months ago
116,정산,5,(Translated by Google) It is a good place to take a walk.  (Original) 가볍게 산책하기 좋은곳입니다.,10 months ago
117,벼리,4,(Translated by Google) garden in the city  (Original) 도심 속 정원,10 months ago
118,BellMonic Lee,5,(Translated by Google) It's more beautiful at night  (Original) 밤에 더 예뻐요,10 months ago
119,이주홍,5,(Translated by Google) Best of the Atmosphere  (Original) 분위기 최고,10 months ago
120,김용석,5,(Translated by Google) It used to be a car road Now it is born as a new park  (Original) 옛날엔 자동차 도로엿지만 지금은 새로운 공원으로 탄생,10 months ago
121,Jaehong Jung,5,,10 months ago
122,Caleb Kim,2,(Translated by Google) Not really  (Original) 별로 ㅠㅠ,11 months ago
123,전순욱,3,(Translated by Google) just walking.  (Original) 그냥 걷기.,11 months ago
124,Peter Shin,3,,11 months ago
125,박지영,2,,11 months ago
126,최미경,4,(Translated by Google) Good access to Seoul Station Namdaemun  (Original) 바람이 선선한 요즘 것기조은곳 서울역 남대문 접근성이 좋음,11 months ago
127,B.S KIM,5,"(Translated by Google) It was an early autumn evening, so it was cool, comfortable and safe to take a walk, and the night view of Seoul Station was wonderful.  (Original) 초가을 저녁이라 선선하고 편안하고 안전하게 산책할수있고 서울역 야경이 멋졌다",11 months ago
128,seongjin kwak,5,,11 months ago
129,Virginia Holthe,5,,11 months ago
130,Jaerock Kwon,5,,11 months ago
131,hyuneil ham,5,,11 months ago
132,soo B,5,,11 months ago
133,Dave Yun,4,,11 months ago
134,달달,5,,11 months ago
135,아마도,5,,11 months ago
136,김남곤,5,,11 months ago
137,eun chae jeong,4,,11 months ago
138,신상원,5,,11 months ago
