,이름,별점,리뷰,날짜
0,To Ba,2,,8 hours ago
1,Dongyun Lee,5,,a day ago
2,Kalpesh Nayak,5,,2 days ago
3,배성우,5,,4 days ago
4,Kaine Moon,5,(Translated by Google) Taste good  (Original) 맛이좋습니다,4 days ago
5,Dugatti ReX,5,,5 days ago
6,단풍,3,"(Translated by Google) The burger is expensive...but the taste is not... First of all, the size of the burger is small.  (Original) 버거가 가격은 센데...맛은 별로...일단버거가 사이즈가 작네요",5 days ago
7,Young-Jun Hong,5,It is the Burger,6 days ago
8,사랑한이,5,,6 days ago
9,Snoppy Ju,4,,a week ago
10,심성용,4,(Translated by Google) just eatable taste  (Original) 그냥저냥 먹을수있는 맛,a week ago
11,Jm Kang,5,,a week ago
12,해피브레이브,5,,a week ago
13,박진호 (꿀리리),5,,a week ago
14,류준선,5,(Translated by Google) Delicious  (Original) 맛있습니다,a week ago
15,Ray Kim (김태욱),5,(Translated by Google) Delicious. Spacious to the inside  (Original) 맛있음. 공간이넓음 내부까지,2 weeks ago
16,김태석,5,,2 weeks ago
17,여신들이여행복하라,4,(Translated by Google) The signature burger is fulfilling~ The self-bar of cheese sauce with french fries is special!  (Original) 시그니처 버거  충실해요~ 감자튀김 에 치즈소스 셀프바가 특색 있어요!,2 weeks ago
18,jonghyuck lee,5,(Translated by Google) It's so big and it's really good  (Original) 엄청크고 되게좋아요 정말로요,2 weeks ago
19,Song Jong,3,,2 weeks ago
20,배성익,3,,2 weeks ago
21,해리,5,(Translated by Google) Just delicious  (Original) 그냥 맛있음,2 weeks ago
22,김태호,4,(Translated by Google) I went first  Taste is good. drinks are expensive  (Original) 처음 갔다옴.  맛 괜챦음. 음료 비쌈,2 weeks ago
23,정현도,5,,2 weeks ago
24,Jissia,5,"(Translated by Google) The store is quite large but always very full, it is sometimes difficult to find space. However, the wait is never very long. The burgers are good but I think the prices are a bit high for fast food.  (Original) Le magasin est assez grand mais toujours très rempli, il est parfois compliqué de trouvé de la place. Cependant, l'attente n'est jamais très longues. Les burgers sont bons mais je trouve que les prix sont un peu élevés pour un fast food.",3 weeks ago
25,Soy K,5,"(Translated by Google) It's expensive, but the shakes are delicious.  (Original) 가격이 비싸지만 쉐이크는 참 맛있네요.",4 weeks ago
26,정명희,4,"(Translated by Google) The place was stylish and the hamburger was delicious. The chicken burger was tough and salty, but the basic hamburger was very satisfying because the patty was soft and chewy.  (Original) 장소가 세련되고 햄버거가 맛있었어요 치킨버거는 간이  쎄고 짜서 별로였지만 기본 햄버거는 패티가 부드럽고 씹는 맛도 좋아 무척 만족스러웠어요  쉐이크는 커피맛으로 시켰는데 전 밀크맛이 나은거 같았어요",4 weeks ago
27,Savina c,4,,4 weeks ago
28,민,4,,a month ago
