,level_0,index,Unnamed: 0,STAR,CONTENT,index,NAME,index,번역
0,3201,359,359,5.0,"on a beautiful cool crisp fall afternoon in seoul, my wife and i visited this palace and we were so glad we did. we’ve always visited kyungbok palace but i have not visited this palace and boy were we glad. we followed a korean guide and he was excellent with so many stories about each of the rooms and rich histories that brought the entire palace to life. it is such a sad place as well as it was where our last king was forced to sign the treaty with japan early 1900s. also, when japan took over korea, they try to make mockery of our history by making the kings palace a zoo until few the dacades ago korean government got rid of the zoo and restored the palace to current glory. the story of a king’s love for one of his wife and the house he built for her. the persimmon tree in front of this house was full of grown persimmons that hung from the skinny branches screaming for to be plucked for consumption but we could not. the afternoon was just perfect not only to experience the amazing architecture but to learn about the korean history as well. i highly recommend to follow a guide for the full experience. go there and you won’t regret it.",3201,ChangDeokgung,0,서울의 아름답고 선선한 가을 오후에 아내와 나는 이 궁전을 방문했고 우리는 너무 기뻤습니다. 우리는 항상 경복궁을 방문했지만 나는이 궁전을 방문하지 않았고 소년은 기뻤습니다. 우리는 한국 가이드를 따랐고 그는 각 방에 대한 많은 이야기와 궁전 전체에 생명을 불어넣은 풍부한 역사로 훌륭했습니다. 그것은 우리의 마지막 왕이 1900년대 초 일본과 조약을 체결하도록 강요받은 곳일 뿐만 아니라 슬픈 곳입니다. 또한 일본이 한국을 점령했을 때 몇 십 년 전 한국 정부가 동물원을 없애고 궁전을 현재의 영광으로 복원할 때까지 그들은 왕궁을 동물원으로 만들어 우리 역사를 조롱하려고 합니다. 한 왕의 아내와 그가 그녀를 위해 지은 집을 사랑한 이야기. 이 집 앞의 감나무에는 가느다란 가지에 매달린 감나무가 무성하게 자라고 비명을 지르며 따먹으라고 외쳤지만 우리는 그러지 못했다. 오후는 놀라운 건축물을 경험할 수 있을 뿐만 아니라 한국 역사에 대해 배우기에 완벽했습니다. 전체 경험을 위해 가이드를 따르는 것이 좋습니다. 거기에 가서 후회하지 않을 것입니다.
1,3961,1119,1119,5.0,"this palace is open at night for certain period of the year. it used to be at the center of heavy and noisy traffic with a zoo. now it is relatively quieter neighborhood. without a zoo. one amazing development is all the walkways are accessible to wheelchairs. it opens at 7 at night. as it is less popular than another palace in downtown, it is less hubbub. you can enjoy a great walk feeling the spring air. no street vendors. only some security guards as guiders. it was always there, you can find. i hope more spaces would be open and it would be connected to secret garden and royal family garden. it would be then two-hour walk. as of now, it was about 30 minutes walk.",3961,ChangDeokgung,1,이 궁전은 연중 특정 기간 동안 밤에 문을 엽니다. 동물원이 있는 복잡하고 시끄러운 교통의 중심에 있었습니다. 지금은 비교적 조용한 동네입니다. 동물원 없이. 한 가지 놀라운 발전은 모든 통로에서 휠체어를 이용할 수 있다는 것입니다. 밤 7시에 열립니다. 도심의 다른 궁전보다 덜 유명하기 때문에 덜 떠들썩합니다. 봄 공기를 느끼며 멋진 산책을 즐길 수 있습니다. 노점상 없음. 일부 경비원만 안내합니다. 항상 거기에 있었고 찾을 수 있습니다. 더 많은 공간이 열리면 비밀의 정원과 왕실의 정원이 연결되기를 바랍니다. 그러면 도보로 2시간이 걸립니다. 지금까지는 도보로 약 30분 거리였습니다.
2,4468,1626,1626,5.0,in our option this is the better palace to visit. more to explore and make sure you do the extra garden tour called the secret gardens. this area was used by the royal family exclusively and is just wonderful. the japanese used this area as a zoo during their time in korea.,4468,ChangDeokgung,2,우리의 선택에서 이것은 방문하기에 더 좋은 궁전입니다. 비밀 정원이라는 추가 정원 투어를 탐험하고 확인하십시오. 이 지역은 왕실이 독점적으로 사용했으며 훌륭합니다. 일본인들은 한국에 있는 동안 이 지역을 동물원으로 사용했습니다.
3,5556,2714,2714,5.0,"this is a large palace situated on hilly terrain on the northern side of seoul's downtown area. as a previous reviewer mentioned, you can only go in as part of a tour group and it's easy enough to join. just buy your ticket and wait for the next group tour in your language (korean, chinese, japanese, english). changdeokgun is also known as biwon which is the name given to the secret garden behind the palace buildings. the garden is really stunning with ponds, and a library (off limits) situated in the garden. at one point, climbing a steep hill, i felt like i was trekking through a forest. there is also a 750-year old chinese juniper tree on the grounds, not to mention other trees that are hundreds of years old. the palace has a sad history -- during japanese rule, it was turned into a zoo. it is beautifully restored now. of interest are the unpainted servants quarters.",5556,ChangDeokgung,3,"서울 도심 북쪽 구릉지에 위치한 큰 궁궐이다. 이전 리뷰어가 언급했듯이 투어 그룹의 일부로만 들어갈 수 있으며 쉽게 참여할 수 있습니다. 티켓을 구입하고 모국어(한국어, 중국어, 일본어, 영어)로 다음 그룹 투어를 기다리세요. 창덕군은 궁궐 뒤의 비밀정원을 비원이라고도 한다. 정원은 연못과 정원에 위치한 도서관(제한 없음)으로 정말 멋집니다. 어느 순간 가파른 언덕을 오르면서 숲 속을 트레킹하는 기분이 들었다. 경내에는 수백 년 된 다른 나무는 말할 것도 없고 750년 된 중국 향나무도 있습니다. 궁전은 슬픈 역사를 가지고 있습니다. 일제 때 동물원으로 바뀌었습니다. 지금은 아름답게 복원되었습니다. 관심의 대상은 도색되지 않은 하인 숙소입니다."
4,12006,5778,5778,5.0,"we attempted three times to go to gyeongbokgung palace. let me save you time a little bit of headache...it is closed on tuesdays! the second time we tried to visit president obama was there so we couldn't go into the palace.  the third time we finally got to see everything. it's a large compound so wear comfortable shoes and bring a camera. if you have one with a good zoom lens it will come in handy, as you can't actually go into many of the buildings.  you can't miss this if you go to seoul, the architecture is nothing you've ever seen. breathtaking to see the details and colors used when everything was built. buy a guide for 50 cents, it will give you information and a cheap souvenir to take with you. it's only a couple dollars for admission, worth it to walk the grounds. don't miss the changing of the guard, the ceremony isn't very long but it's entertaining. you can take pictures with the guards on your way out.",12006,Gyeongbokgung,4,우리는 경복궁에 가려고 세 번 시도했습니다. 머리아픈 시간을 조금이나마 덜어드리도록 하겠습니다...화요일은 휴무입니다! 우리가 두 번째로 오바마 대통령을 방문하려고 했을 때 그곳에 있었기 때문에 우리는 궁전에 들어갈 수 없었습니다. 세 번째로 우리는 마침내 모든 것을 보게 되었습니다. 그것은 큰 화합물이므로 편안한 신발을 신고 카메라를 가져 오십시오. 좋은 줌 렌즈가 있으면 실제로 많은 건물에 들어갈 수 없기 때문에 편리할 것입니다. 서울에 가면 이것을 놓칠 수 없습니다. 건축은 이제까지 본 적이 없습니다. 모든 것이 지어질 때 사용된 세부 사항과 색상을 보는 것은 숨이 막힐 것입니다. 가이드를 50센트에 구입하면 정보와 함께 가져갈 저렴한 기념품을 얻을 수 있습니다. 입장료는 몇 달러에 불과하며 경내를 걸을 가치가 있습니다. 근위병 교대식을 놓치지 마세요. 의식은 그리 길지 않지만 재미있습니다. 나가는 길에 경비원과 함께 사진을 찍을 수 있습니다.
5,13569,1017,1017,3.0,"your basic tower experience, a zoomy ride, a full round view and snacks and souvenirs for those who want. since the tower is already on a hill it does get up there and you can se for miles. the windows are kept clean for photos. at the base there are some zero dollar view points and more kitsch. we also rode the cable car to the base, and added feature.",13569,남산타워,5,"기본 타워 경험, 줌인 타기, 전체 라운드 뷰, 원하는 사람들을 위한 스낵 및 기념품. 타워가 이미 언덕에 있기 때문에 거기에 올라가서 몇 마일을 볼 수 있습니다. 사진을 위해 창문을 깨끗하게 유지합니다. 기지에는 제로 달러 관점과 더 키치한 점이 있습니다. 우리는 또한 기지까지 케이블카를 타고 기능을 추가했습니다."
6,14576,2024,2024,5.0,"don’t be lazy to climb to the top of tower about 15 minutes . amazing seoul was zoomed out here - a huge of love keys that couples buy & stick them by their wishes in it :) but if someone buy key from store here , price around 5-7-8 usd per one . worth buying or not ?. ^^",14576,남산타워,6,약 15 분 동안 타워 꼭대기에 올라가는 것을 게으르지 마십시오. 놀라운 서울은 여기에서 축소되었습니다. 커플이 원하는대로 구매하고 붙일 수있는 거대한 사랑의 열쇠 :) 그러나 누군가가 여기 상점에서 열쇠를 사면 하나당 약 5-7-8 USD의 가격이 책정됩니다. 살 가치가 있습니까? ^^
7,16067,3515,3515,5.0,"a nice walk up from myeong dong (about 40 mins slow pace). lovely restaurant half way as well as a gym. at the top they are building a mall with restaurants, a mini zoo and a really cool 3d viewing platform. even on a good day, views are clouded with pollution but it's very green and pretty up there. often cultural exhibitions from 3-4.",16067,남산타워,7,"명동에서 좋은 도보 (약 40 분 느린 속도로). 사랑스러운 레스토랑 중간뿐만 아니라 체육관. 꼭대기에는 레스토랑, 미니 동물원, 정말 멋진 3D 보기 플랫폼이 있는 쇼핑몰을 만들고 있습니다. 날씨가 좋은 날에도 오염으로 인해 시야가 흐려지지만 그곳은 매우 푸르고 아름답습니다. 종종 3-4에서 문화 전시회."
8,16182,3630,3630,4.0,"i'm on a trip here to south korea for my sons wedding. not only are the people extremely nice, but there are plenty of amazing sites to see, the tower being one of them. from taking a cable car up top of the mountain, then zooming up to the top for dinner, or if you choose a buffet. amazing views of seoul , unless it is on a hazy day. you can also visit the love locks, which my son and his fiance put their heart lock on and signed. if you are here, you must take time to at least see the observation deck. it's amazing!",16182,남산타워,8,나는 아들 결혼식을 위해 한국으로 여행 중입니다. 사람들은 매우 훌륭할 뿐만 아니라 볼 만한 놀라운 장소가 많이 있습니다. 타워도 그 중 하나입니다. 케이블카를 타고 산 정상에 오른 다음 저녁 식사를 위해 정상까지 확대하거나 뷔페를 선택하는 경우. 흐린 날이 아니라면 서울의 놀라운 전망. 내 아들과 그의 약혼자가 하트 자물쇠를 걸고 서명한 사랑의 자물쇠를 방문할 수도 있습니다. 이곳에 오시면 최소한 전망대까지는 시간을 내셔야 합니다. 놀랍다!
9,18063,3,3,5.0, its good because its run by the country so you can enjoy various things for free zoo botanical garden playground equipment playing in the water ,18063,어대공,9,국가에서 운영하기 때문에 다양한 것들을 무료로 즐길 수 있습니다 동물원 식물원 놀이터 장비 물놀이
