,level_0,index,Unnamed: 0,STAR,CONTENT,index,NAME,index,번역
0,2,2,2,5.0,it isnt a huge palace so in some areas you can feel quite cozy if it isnt crowded i recommend to not go there in a rush so you can enjoy it better the details make it special so dont be afraid to explore the alleys and narrow doors,2,덕수궁,0,그것은 거대한 궁전이 아니므로 일부 지역에서는 혼잡하지 않으면 매우 아늑하다고 느낄 수 있습니다. 서두르지 않는 것이 좋습니다. 그래야 더 잘 즐길 수 있습니다. 세부 사항이 특별하므로 골목과 좁은 문을 탐험하는 것을 두려워하지 마십시오.
1,44,44,44,5.0,its such a beautiful palace with plenty of areas to walk around its not as big as some other palaces but its definately a place i recommend i went wednesday not realizing that the last wednesday of every month is culture day which means its free admission day,44,덕수궁,1,다른 궁전만큼 크지는 않지만 걸을 수 있는 공간이 많은 아름다운 궁전입니다. 확실히 추천하는 곳입니다. 매월 마지막 수요일이 문화의 날이라는 사실을 깨닫지 못한 채 수요일에 갔습니다. 이는 무료 입장일을 의미합니다.
2,71,71,71,5.0, it is a quiet palace be sure to visit it the area around deoksugung doldamgil is also very pretty ,71,덕수궁,2,조용한 궁궐입니다 꼭 가보세요 덕수궁 돌담길 주변도 너무 예뻐요
3,88,88,88,4.0,historical area in the middle of modern architecture it was so amazing being there for me sunset is the best time to visit deoksugung be aware that the temple closes at 9 pm,88,덕수궁,3,현대 건축의 한가운데에있는 역사적인 지역 나에게 거기에 있다는 것이 너무 놀랍습니다. 일몰은 덕수궁을 방문하기에 가장 좋은 시간입니다. 사원은 오후 9시에 문을 닫습니다.
4,264,264,264,4.0,adjacent city hall is deoksugung temple grounds which is down the road from the main palace outside this temple you can find the royal guards performing their change over ceremonies and other cultural displays once you get inside you will find that this temple ground is larger than it first appears with a cafegift shop forested wild pathways council buildings an art museum temple grounds  buildings and many large art installations if you arrive during the korean holidays the temple is free entry otherwise you will have to pay to enter there is plenty of exploring to be done in this little area which almost appears hidden from the surrounding city streets like an oasis for people to come and relax or to learn about art  history or even get a bit of exercise away from the traffic heavy streets of seoul i highly recommend a visit to this temple even if it is to waste a little time on your journey around the city,264,덕수궁,4,인접한 시청은 이 사원 외부의 본궁에서 길을 따라 내려가면 덕수궁 사원이 있습니다. 내부에 들어가면 이 사원 부지가 처음보다 더 크다는 것을 알 수 있습니다. 카페 선물 가게와 함께 나타납니다. 숲이 우거진 야생의 길 의회 건물 미술관 사원 부지 건물과 많은 대형 예술 설치 한국 공휴일에 도착하면 사원은 무료 입장이 가능합니다. 그렇지 않으면 입장료를 지불해야 합니다. 사람들이 오아시스처럼 주변 도시 거리에서 거의 숨겨져있는 것처럼 보이는이 작은 지역은 사람들이 와서 휴식을 취하거나 예술사에 대해 배우거나 심지어 약간의 운동을 할 수 있는 서울의 복잡한 거리에서 벗어나 이 사원을 방문하는 것이 좋습니다. 도시를 돌아다니는 길에 약간의 시간을 허비하더라도
5,283,283,283,4.0,this was our first self tour of the deoksugung palace interestingly the entrance fee was waived for the next few days we got lucky we also witnessed a demonstration right outside the palace lots of korean and us flags  the palace ground is quite bare and brownish i guess in winter it doesnt look its best what was interesting to do was play a few ancient sports that are on display and we made full use of trying some of the ancient games the palace has an interesting mix of traditional korean and colonial style architecture  the law with the fountain area looks really nice and the museum of art is quite an interesting albeit boring for kids exhibition  it was a nice day to be out and about as the sun was shining bright on a cold crisp winter day worth a visit check the box,283,덕수궁,5,이것은 흥미롭게도 덕수궁의 첫 번째 셀프 투어였습니다. 다음 며칠 동안 입장료가 면제되었습니다. 우리는 운이 좋았습니다. 우리는 또한 궁전 바로 밖에서 많은 한국인과 우리 깃발을 목격했습니다. 궁전 땅은 아주 헐벗고 갈색입니다. 겨울이 가장 좋아 보이지는 않습니다. 흥미로운 것은 전시되어 있는 몇 가지 고대 스포츠를 플레이하는 것이었고 우리는 고대 게임을 최대한 활용했습니다. 궁전에는 전통 한국과 식민지 스타일의 건축이 법과 흥미로운 혼합되어 있습니다. 분수 지역은 정말 멋지게 보이고 예술 박물관은 어린이 전시회에는 지루하지만 꽤 흥미롭습니다. 방문할 가치가 있는 추운 선선한 겨울 날 태양이 밝게 빛나고 있기 때문에 외출하기 좋은 날이었습니다.
6,292,292,292,5.0,this is probably the smallest palace in seoul but what you go there for is the changing of the royal guard ceremony it happens right outside the gate so its free the ceremony takes place every 11am 2pm and 330pm be there 1015 minutes before so you can get a good spot behind the cordon they give you time to take photos with them too going inside the castle youll need to pay 1000 won youth 500 won unless youre wearing a hanbik then its free some areas wereunder renovation when we visited you need to walk around the palace and take photos in their stone walls,292,덕수궁,6,이것은 아마도 서울에서 가장 작은 궁전 일 것입니다. 그러나 당신이 거기에가는 것은 왕실 근위대 의식의 변경이 게이트 바로 밖에서 이루어지기 때문에 무료 의식이 오전 11시 오후 2시와 330시에 열리므로 1015분 전에 거기에 있어야 합니다. 코르돈 뒤의 좋은 장소 그들은 당신에게 성 안으로 들어갈 때 그들과 함께 사진을 찍을 시간을줍니다 한빅을 착용하지 않으면 1000 원 청소년 500 원을 지불해야합니다. 우리가 방문했을 때 일부 지역은 보수 공사 중이었습니다. 궁전 주변을 걸어야합니다. 그리고 그들의 돌담에서 사진을 찍습니다.
7,298,298,298,4.0,the palace ground is huge where the palaces of each dynasty are spread over the whole area with the rock walls interesting history of the palace and also the nice changeofguards ceremony at the main gate good place to visit if one goes for a walking tour with city hall arts museum presidential palace the stream and insadong for a day the palace entry tickets are definitely cheap and worth the 12hrs walkabout,298,덕수궁,7,"각 왕조의 궁궐이 일대에 펼쳐져 있는 거대한 궁궐의 암벽과 흥미로운 궁궐의 역사, 정문에서 열리는 멋진 근위병 교대식도 있어 시청과 함께 도보 여행을 한다면 꼭 가볼만한 곳 예술 박물관 대통령 궁 시내와 인사동 하루 궁궐 입장권은 확실히 저렴하고 12 시간 도보 가치가 있습니다"
8,305,305,305,5.0,for a small area the site has a surprisingly large number of interesting building to visit and at night they are beautifully lit,305,덕수궁,8,작은 지역의 경우 사이트에는 방문할 흥미로운 건물이 놀라울 정도로 많고 밤에는 아름답게 조명이 켜집니다.
9,311,311,311,3.0,we visited as we had a little time and were in the area it is cheap to visit but there isnt much to see compared to the other palaces the changing of the guard ceremony is fun to watch and there is an explanation of what is happening in english there is some information about the buildings in english but not very much i would say it isnt worth going if you only have a few days in the city but stop by if you will be around for a week or more,311,덕수궁,9,우리는 시간이 조금 있었고 방문하는 것이 저렴한 지역에 있었기 때문에 방문했습니다. 다른 궁전에 비해 볼 것이 많지 않습니다. 근위병 교대식은 보는 것이 재미 있고 무슨 일이 일어나고 있는지에 대한 설명이 영어로 있습니다. 건물에 대한 정보가 영어로 되어 있지만 그다지 많지는 않습니다. 도시에 며칠만 있으면 갈 가치가 없지만 일주일 이상 머물 예정이라면 들러보세요.
