,번역
0,그것은 거대한 궁전이 아니므로 일부 지역에서는 혼잡하지 않으면 매우 아늑하다고 느낄 수 있습니다. 서두르지 않는 것이 좋습니다. 그래야 더 잘 즐길 수 있습니다. 세부 사항이 특별하므로 골목과 좁은 문을 탐험하는 것을 두려워하지 마십시오.
1,다른 궁전만큼 크지는 않지만 걸을 수 있는 공간이 많은 아름다운 궁전입니다. 확실히 추천하는 곳입니다. 매월 마지막 수요일이 문화의 날이라는 사실을 깨닫지 못한 채 수요일에 갔습니다. 이는 무료 입장일을 의미합니다.
2,조용한 궁궐입니다 꼭 가보세요 덕수궁 돌담길 주변도 너무 예뻐요
3,현대 건축의 한가운데에있는 역사적인 지역 나에게 거기에 있다는 것이 너무 놀랍습니다. 일몰은 덕수궁을 방문하기에 가장 좋은 시간입니다. 사원은 오후 9시에 문을 닫습니다.
4,인접한 시청은 이 사원 외부의 본궁에서 길을 따라 내려가면 덕수궁 사원이 있습니다. 내부에 들어가면 이 사원 부지가 처음보다 더 크다는 것을 알 수 있습니다. 카페 선물 가게와 함께 나타납니다. 숲이 우거진 야생의 길 의회 건물 미술관 사원 부지 건물과 많은 대형 예술 설치 한국 공휴일에 도착하면 사원은 무료 입장이 가능합니다. 그렇지 않으면 입장료를 지불해야 합니다. 사람들이 오아시스처럼 주변 도시 거리에서 거의 숨겨져있는 것처럼 보이는이 작은 지역은 사람들이 와서 휴식을 취하거나 예술사에 대해 배우거나 심지어 약간의 운동을 할 수 있는 서울의 복잡한 거리에서 벗어나 이 사원을 방문하는 것이 좋습니다. 도시를 돌아다니는 길에 약간의 시간을 허비하더라도
5,이것은 흥미롭게도 덕수궁의 첫 번째 셀프 투어였습니다. 다음 며칠 동안 입장료가 면제되었습니다. 우리는 운이 좋았습니다. 우리는 또한 궁전 바로 밖에서 많은 한국인과 우리 깃발을 목격했습니다. 궁전 땅은 아주 헐벗고 갈색입니다. 겨울이 가장 좋아 보이지는 않습니다. 흥미로운 것은 전시되어 있는 몇 가지 고대 스포츠를 플레이하는 것이었고 우리는 고대 게임을 최대한 활용했습니다. 궁전에는 전통 한국과 식민지 스타일의 건축이 법과 흥미로운 혼합되어 있습니다. 분수 지역은 정말 멋지게 보이고 예술 박물관은 어린이 전시회에는 지루하지만 꽤 흥미롭습니다. 방문할 가치가 있는 추운 선선한 겨울 날 태양이 밝게 빛나고 있기 때문에 외출하기 좋은 날이었습니다.
6,이것은 아마도 서울에서 가장 작은 궁전 일 것입니다. 그러나 당신이 거기에가는 것은 왕실 근위대 의식의 변경이 게이트 바로 밖에서 이루어지기 때문에 무료 의식이 오전 11시 오후 2시와 330시에 열리므로 1015분 전에 거기에 있어야 합니다. 코르돈 뒤의 좋은 장소 그들은 당신에게 성 안으로 들어갈 때 그들과 함께 사진을 찍을 시간을줍니다 한빅을 착용하지 않으면 1000 원 청소년 500 원을 지불해야합니다. 우리가 방문했을 때 일부 지역은 보수 공사 중이었습니다. 궁전 주변을 걸어야합니다. 그리고 그들의 돌담에서 사진을 찍습니다.
7,"각 왕조의 궁궐이 일대에 펼쳐져 있는 거대한 궁궐의 암벽과 흥미로운 궁궐의 역사, 정문에서 열리는 멋진 근위병 교대식도 있어 시청과 함께 도보 여행을 한다면 꼭 가볼만한 곳 예술 박물관 대통령 궁 시내와 인사동 하루 궁궐 입장권은 확실히 저렴하고 12 시간 도보 가치가 있습니다"
8,작은 지역의 경우 사이트에는 방문할 흥미로운 건물이 놀라울 정도로 많고 밤에는 아름답게 조명이 켜집니다.
9,우리는 시간이 조금 있었고 방문하는 것이 저렴한 지역에 있었기 때문에 방문했습니다. 다른 궁전에 비해 볼 것이 많지 않습니다. 근위병 교대식은 보는 것이 재미 있고 무슨 일이 일어나고 있는지에 대한 설명이 영어로 있습니다. 건물에 대한 정보가 영어로 되어 있지만 그다지 많지는 않습니다. 도시에 며칠만 있으면 갈 가치가 없지만 일주일 이상 머물 예정이라면 들러보세요.
10,일요일이었다 서울 시청 지역에 대한 빠른 탐험이 우리를 이 궁전에 착륙시켰습니다 우리는 주말에만 제공되는 궁전에 대한 좋은 설명을 제공하는 청소년 전문가들에 의해 무료 영어 투어를 받았습니다 주황색 옷을 입은 그들을 조심하십시오
11,매우 훌륭하고 역사적인 사원 서울을 방문할 때 꼭 들러야 할 볼거리와 산책하기 좋은 곳
12,경복궁의 교대식은 큰 경복궁에 비해 상당히 정교하고 자세하게 진행되어 아쉽게도 관람면적이 협소하여 경복궁 경내와 시청이 인접해 있어 모든 미인대회와 악기를 감상하기 어려웠다. 현대 건물과 전통적인 건물의 대조를 봅니다.
13,경복궁보다 작은 경험을 원한다면 이것은 작은 궁전이며 매우 예쁜 지역입니다.
