,level_0,index,Unnamed: 0,STAR,CONTENT,index,NAME,index,번역
0,8,8,8,5.0,a very interesting place at a busy area of seoul so many options of cafes restaurants bars and stores around it its thrilling to think that a baseball field once lied there instead of the ddp,8,동대문디지털플라자,0,서울의 번화한 지역에 아주 흥미로운 곳이 너무 많은 카페 레스토랑 바 및 상점 주변에 ddp 대신 야구장이 있었다고 생각하면 스릴
1,129,129,129,4.0, its always good recently there are a lot of empty stores and design stores are too expensive its a pity that it feels like there are only merchandising stands left for ,129,동대문디지털플라자,1,항상 좋다 최근에는 빈 가게가 많고 디자인 가게가 너무 비싸서 머천다이징 스탠드 만 남은 것 같은 느낌이 드는 것이 유감입니다.
2,217,217,217,3.0, when i went there were a lot of closed stores inside and i only saw dalijeon i think the inside content was a bit stale when i went before ,217,동대문디지털플라자,2,내가 갔을 땐 내부에 문 닫은 가게들이 많았고 달리전만 봤다.
3,259,259,259,3.0, the viewing space itself is good but most of the stores are still vacant so there are too few places to eat or see around ,259,동대문디지털플라자,3,관람 공간 자체는 좋은데 아직 대부분의 가게가 비어 있어서 주변에 먹을 곳이나 볼 곳이 너무 적습니다.
4,307,307,307,5.0,"this beautifully designed building is part of the design plaza, with regularly exhibitions and performances. there is a small food court area and with few cafes around the basement level of the plaza. it is also a good place to wait for the hopon hopoff tour buses which makes ddp their main stop for both lines.... right across the street and surrounding areas are 5-6 large department stores, some which are opened till 4-5am.",307,동대문디지털플라자,4,이 아름답게 디자인된 건물은 정기적으로 전시회와 공연이 열리는 디자인 플라자의 일부입니다. 작은 푸드 코트 지역이 있고 광장 지하층 주변에 카페가 거의 없습니다. ddp를 두 노선의 주요 정류장으로 만드는 hopon hopoff 투어 버스를 기다리기에 좋은 장소이기도 합니다. 길 건너편과 주변 지역에는 5-6개의 대형 백화점이 있으며 일부는 오전 4-5시까지 영업합니다. .
5,348,348,348,4.0,"just walking around and experiencing the innovative space, new views opening up, was interesting. the stores + museums (disney) inside were of the boring mall variety.",348,동대문디지털플라자,5,"그냥 걸어 다니고 혁신적인 공간을 경험하는 것, 새로운 전망이 열리는 것을 경험하는 것은 흥미로웠습니다. 내부의 상점 + 박물관 (디즈니)은 지루한 쇼핑몰 다양성이었습니다."
6,356,356,356,3.0,cool place but nothing special other than the building itself. stores and restaurants inside is like any other typical shopping area. a place to stopby while you shop and dongdaemun.,356,동대문디지털플라자,6,멋진 곳이지만 건물 자체 외에는 특별한 것이 없습니다. 내부의 상점과 레스토랑은 다른 일반적인 쇼핑 지역과 같습니다. 쇼핑하면서 잠시 들르는 곳과 동대문.
7,366,366,366,5.0,"i really love the ddp - first of all its exterior design is so pleasing to my eyes. it’s curvy and fluid and just super cool. in the evening when it’s lights go on, it really looks like a spaceship out of star trek. i enjoy walking around its many corners adoring them over and over again. the inside is as cool as the outside. with interesting exhibitions, stores, and the most interesting stairs this place is really worth checking out and especially if you are into design, style, architecture and space.",366,동대문디지털플라자,7,"저는 ddp를 정말 좋아합니다. 우선 외관 디자인이 제 눈에 너무 좋습니다. 구불구불하고 유동적이며 정말 멋집니다. 저녁에 조명이 켜지면 정말 스타 트렉에서 우주선처럼 보입니다. 나는 계속해서 그들을 숭배하는 많은 모퉁이를 걷는 것을 즐깁니다. 내부는 외부만큼 시원합니다. 흥미로운 전시회, 상점 및 가장 흥미로운 계단이 있는 이곳은 특히 디자인, 스타일, 건축 및 공간에 관심이 있는 경우 확인해볼 가치가 있습니다."
8,440,440,440,5.0,"dongdaemun design plaza designed by zaha hadid is beautiful and futuristic with curvaceous forms. there is artwork exhibited, a cafe and much more. i enjoyed walking around it and admiring the beatiful forms. there are also other stores and restaurants in the surrounding area.",440,동대문디지털플라자,8,"자하 하디드가 디자인한 동대문 디자인 플라자는 곡선 형태로 아름답고 미래적입니다. 예술 작품, 카페 등이 전시되어 있습니다. 나는 주변을 산책하고 아름다운 형태에 감탄하는 것을 즐겼습니다. 주변 지역에 다른 상점과 레스토랑도 있습니다."
9,467,467,467,5.0,"come over to experience one of the last great architectural masterpieces by zaha hadid. it will not disappoint. she quickly understood that seoul is defined by its seven rings of mountains. resembling a blobby mountainscape, you can walk on top of the complex and see the mountains yourself. come at about dusk. the night illumination of this building is stunning. inside, one of the ""wings"" has a great collection of design stores that is easy to walk through and enjoyable to browse. the other ""wings"" have changing exhibitions and shows. incredibly easy to get to as it is connected to the subway. don't forget the world famous gwangjang open market featured on travel shows worldwide for the cheapest and best eats. take a stroll along the cheonggye cheon canal to get away from the city.",467,동대문디지털플라자,9,"자하 하디드(Zaha Hadid)의 마지막 위대한 건축 걸작 중 하나를 경험하러 오세요. 그것은 실망하지 않을 것입니다. 그녀는 서울이 일곱 개의 산으로 이루어져 있다는 것을 금세 이해했습니다. 옹기종기 모여 있는 산의 풍경을 연상케 하는 복합 단지의 꼭대기에 오르면 산을 직접 볼 수 있습니다. 황혼 무렵에 오세요. 이 건물의 야간 조명은 놀랍습니다. 내부의 ""윙"" 중 하나에는 걷기 쉽고 둘러보기 좋은 다양한 디자인 매장이 있습니다. 다른 ""날개""에는 변화하는 전시회와 쇼가 있습니다. 지하철과 연결되어 있어 찾아가기 매우 쉽습니다. 전 세계 여행쇼에 소개된 세계적으로 유명한 광장 오픈마켓을 잊지 마세요. 도시에서 벗어나기 위해 청계천을 따라 산책을 즐겨보세요."
10,474,474,474,4.0,we were lucky that this beautiful piece of architecture was located almost next to our hotel. this place is really amazing. walked around for one hour and took pictures from every direction. the forms are just amazing. it also stores a museum and some shops. opposite the famous shopping buildings lotte and apm wholesale.,474,동대문디지털플라자,10,"우리는 이 아름다운 건축물이 우리 호텔 바로 옆에 있어서 운이 좋았습니다. 이 곳은 정말 놀랍습니다. 한 시간 동안 걸어 다니며 모든 방향에서 사진을 찍었습니다. 형태가 놀랍기만 합니다. 그것은 또한 박물관과 일부 상점을 저장합니다. 롯데백화점, 에이엠도매 쇼핑몰 맞은편에 있습니다."
11,486,486,486,4.0,"during my short trip to seoul, i tried to walk around the city as much as i could and found that stumbling upon the ddp around night was one of the highlights of my time there. it's absolutely stunning, there's ample space to just sit and relax, chat with friends, or take in the sights. lots of stores as well, including a line friends one that was super interesting to check out and do some souvenir shopping at. not sure it this would still be here but there were also lots of pop-up pianos that you were welcome to use and created a really awesome atmosphere. nearby electronic rose garden was also absolutely stunning. overall, even if you can't stay long, definitely try to stop by the ddp during your time in seoul.",486,동대문디지털플라자,11,"서울로의 짧은 여행 동안 나는 가능한 한 많이 도시를 돌아 다니며 밤에 ddp를 우연히 발견 한 것이 내 시간의 하이라이트 중 하나라는 것을 알았습니다. 정말 놀랍습니다. 앉아서 휴식을 취하거나, 친구와 수다를 떨거나, 경치를 감상할 수 있는 충분한 공간이 있습니다. 체크 아웃하고 기념품 쇼핑을하는 데 매우 흥미로운 라인 프렌즈를 포함하여 많은 상점도 있습니다. 이것이 여전히 여기에 있을지는 확실하지 않지만 사용을 환영하고 정말 멋진 분위기를 조성하는 많은 팝업 피아노도 있었습니다. 근처의 전자 장미 정원도 절대적으로 충격적이었습니다. 전반적으로 오래 머물 수 없더라도 서울에 머무는 동안 반드시 ddp에 들르십시오."
