,Unnamed: 0.1,index,Unnamed: 0,북촌한옥마을부정단어리뷰,index.1,단어,번역
0,0,0,59,Beautiful old architecture and nice for a calming walk in loud Seoul Recommend to go early as it can get fuller during the day  Respect the locals and dont litter be loud or go inside peoples places  gardens ,0,inside,아름답고 고풍스러운 건축물과 시끄럽게 조용히 산책하기 좋은 서울 낮에는 배부르므로 일찍 가는 것을 추천 현지인을 존중하고 시끄럽게 쓰레기를 버리지 말고 정원에 들어가세요
1,1,1,86,This village is super chill and extremely photogenic but please remember to refrain from making too much noises as they are all houses with real humans staying inside,1,inside,이 마을은 매우 춥고 사진을 찍을 수 있지만 모두 실제 사람이 거주하는 집이므로 너무 많은 소음을 삼가하는 것을 기억하십시오.
2,2,2,109,This village is super chill and extremely photogenic but please remember to refrain from making too much noises as they are all houses with real humans staying inside Residents probably not paid by the tourism board of South Korea but some of them put on their thinking caps Paid for an observation deck with free water in it seems like a residents rooftop haha Whats funny is later on as we explore we found a better view with no charges,2,inside,이 마을은 매우 춥고 사진 촬영이 잘되지만 모두 실제 사람이 거주하는 집이므로 너무 많은 소음을 자제하십시오. 무료 물이있는 전망대는 거주자 옥상처럼 보입니다. 재미있는 것은 나중에 우리가 탐험하면서 무료로 더 나은 전망을 찾았습니다.
3,3,3,143,A district with the largest number of traditional Korean houses. The houses are kept in good conditions and some are opened to public. Traditional Korean costumes can be hired from the shops for photo-taking on the streets and inside the houses. A reminder for visitors to avoid disturbing the residents there.,3,inside,한국의 전통 가옥이 가장 많은 지역. 집은 좋은 상태를 유지하고 있으며 일부는 일반에 공개됩니다. 전통 의상은 상점에서 대여하여 거리와 집 안에서 사진을 찍을 수 있습니다. 방문객들에게 그곳 주민들에게 방해가 되지 않도록 알림.
4,4,4,160,"What a Lovely Neighborhood indeed. Very calmed place filled with little streets in between and tiny dead end streets. It can get annoying for a bit trying to go on each and everyone of these tinny streets, but soon enough you'll find out, that is not about getting somewhere, but the beauty that you can photograph at the end of each of these streets. Then you turn around and go on your way to the next. Kinda like this is a journey and not a destination; if I want to get all philosophical and stuff.  Therefore after you are done with the cute pictures, remain in the main street of this village and then start to build your way up. You'll find on your left and right side a multitude of nice little shops; we specially loved a tinny flower shop / coffee shop. Very subtle and calm inside, nice jazz music as a background and although South Koreans have the worst coffee to drink in the world; the small pastries kinda make up for this.  All in all and without too much mystery, it is worth to go and check one by one these little stores, where you will find also a very nice lady who makes and designs her own clothing (very luxurious and not cheap) but very much worth. Also there is a fine lady who designs her own silver jewelry, very well made and with a nice weight and surprisingly very affordable.  Please look at our pictures and find out what we are talking about. Beautiful street indeed and we had a lovely time. This is the kind of streets you need to look for in Seoul. The crowded Millennial streets will drive you nuts with cheap nasty food and cheap Chinese stuff that has no material and spiritual value whatsoever.",4,inside,"정말 사랑스러운 이웃입니다. 그 사이에 작은 거리와 막다른 골목으로 가득 찬 매우 고요한 곳. 이 작은 거리의 모든 사람을 가려고 하면 잠시 짜증이 날 수 있지만 곧 알게 될 것입니다. 그것은 어딘가에 가는 것이 아니라 이 거리의 끝에서 사진을 찍을 수 있는 아름다움입니다. . 그런 다음 돌아서 다음 길로 가십시오. 이것은 일종의 여행이지 목적지가 아닙니다. 모든 철학과 것들을 얻고 싶다면. 그러므로 귀여운 그림을 다 그린 후에는 이 마을의 메인 스트리트에 남아서 길을 건설하기 시작하십시오. 왼쪽과 오른쪽에 멋진 작은 상점이 많이 있습니다. 우리는 특히 작은 꽃집 / 커피 숍을 좋아했습니다. 매우 미묘하고 차분한 내부, 멋진 재즈 음악을 배경으로, 한국인들은 세계에서 가장 마시기 힘든 커피를 가지고 있지만; 작은 파이가 이것을 보완합니다. 전반적으로 너무 많은 미스터리 없이, 이 작은 상점들을 하나씩 확인하는 것은 가치가 있습니다. 거기에서 당신은 또한 자신의 옷(매우 호화롭고 싸지 않음)을 만들고 디자인하는 아주 멋진 여성을 찾을 수 있지만 매우 가치가 있습니다. . 또한 자신의 은 장신구를 디자인하는 훌륭한 여성이 있습니다. 아주 잘 만들어지고 무게도 적당하고 놀라울 정도로 매우 저렴합니다. 우리의 사진을 보고 우리가 무엇을 이야기하는지 알아내십시오. 참으로 아름다운 거리와 우리는 멋진 시간을 보냈습니다. 서울에서 꼭 찾아야 할 거리입니다. 붐비는 밀레니얼 거리는 물질적, 정신적 가치가 전혀 없는 값싼 음식과 값싼 중국 음식으로 당신을 미치게 할 것입니다."
5,5,5,198,"The architecture is beautiful, without a doubt. Looks new too, which I guess is expected because you don't expect a 600 years + building to still be standing without work done to restore it. I enjoyed walking in the less popular alleyways where I had the time and space to reflect upon the history of the people who lived here way before my time.  Now- these are also people's home and the many signs posted on the walls remind you this, and to be quiet. And even though no one said anything to me it reay felt voyueristic and sorta intrusive. (I saw 2 or so elderly women walk past tourists on the steps of their houses to get inside). I tried to imagine how I'd feel like if day in, day out, I had to contend with throngs of tourists taking pictures outside my house. I imagine during the warmer months, opening a window is neat impossible what with the hoarders of strangers milling about.  Should you go? Depends on you and what you feel comfortable with.",5,inside,건축물은 의심할 여지 없이 아름답습니다. 600년 이상 된 건물이 복원 작업 없이 여전히 서 있을 것으로 예상하지 않기 때문에 예상되는 것처럼 보이는 것도 새롭습니다. 나는 내 시대보다 훨씬 이전에 이곳에 살았던 사람들의 역사를 반성할 시간과 공간이 있는 덜 인기 있는 골목길을 걷는 것을 즐겼습니다. 자- 이것은 또한 사람들의 집이고 벽에 게시된 많은 표지판은 이것을 상기시키고 조용하게 만듭니다. 그리고 아무도 나에게 아무 말도 하지 않았음에도 불구하고 그것은 관음증적이고 일종의 방해가 되는 것처럼 느껴졌습니다. (나는 2명 정도의 나이든 여성이 집 계단에서 관광객들을 지나쳐 안으로 들어가는 것을 보았습니다). 나는 하루 종일 집 밖에서 사진을 찍는 수많은 관광객들과 씨름해야 한다면 어떤 기분일지 상상하려고 노력했습니다. 따뜻한 계절에는 창문을 여는 것이 전혀 불가능하다고 생각합니다. 낯선 사람들이 모여들고 있습니다. 당신은 가야합니까? 당신과 당신이 편안함을 느끼는 것에 달려 있습니다.
6,6,6,203,"As u walk from the subway station towards Bukchon Hanok Village, look for the tourism ambassadors decked out in bright red uniform & hat. They will offer u a physical map and recommend a route for u to follow so that u will not be lost figuring out where to go inside Bukchon Hanok Village. The walking route is highly recommended as u get to see lots of stuff which u might miss if u cluelessly wander around.",6,inside,지하철 역에서 북촌한옥마을 방향으로 걸어가다 보면 새빨간 유니폼과 모자를 쓴 관광대사를 찾습니다. 북촌 한옥마을 내부로 어디로 가야할지 헤매지 않도록 실제 지도를 제공하고 따라갈 수 있는 경로를 추천해 드립니다. 당신이 우둔하게 방황하면 놓칠 수있는 많은 것들을 보게되기 때문에 걷는 길은 적극 권장됩니다.
7,7,7,216,"not easy to find this place, as I walked and walked trying to look for this place. it is a village where people are living, so we dont really see inside of their house, is quite tiring too as this village is just a two rows of village",7,inside,"이 곳을 찾기 위해 걸으며 걸었기 때문에 이 곳을 찾기가 쉽지 않았습니다. 사람들이 사는 마을이라 집 안이 잘 안보이고, 이 마을도 2열 마을이라 많이 피곤하다."
8,8,8,259,"as this is still an actual residential area the inside of the house can’t be seen, but it is the interior + exteriors that makes the Hanok ever interesting ... fine other hanok villages that allow you to have a meal in it I.e onion cafe",8,inside,"아직 실제 주택가라 내부는 보이지 않지만 한옥을 더욱 흥미롭게 만드는 것은 인테리어 + 익스테리어 ... 안에서 밥을 먹을 수 있는 좋은 다른 한옥 마을, 즉 양파 카페"
9,9,9,304,"The neighborhood has the largest collection of privately owned hanoks, or traditional Korean homes with tiled roofs, stone floors and amazing wooden doors, in Seoul. It’s located on in a hilly neighborhood nestled between Gyeongbok Palace and Changdeok Palace which are both walkable for this location. While I strolled through Bukchon Village up, down, back and forth it may feel like a trip through the ages, the neighborhood is not frozen in time. Some of the hanoks are still private homes, but others have been converted into tea houses, coffee shops. These are neat little places to get a look inside on of these beauties majority of them be historically updated renovations but they kept it to the err of time. I really enjoyed my time even while it rained.  Remember people still live here so a quiet ordinance is in place and is patrolled.",9,inside,"이 동네에는 서울에서 가장 큰 개인 소유 한옥 컬렉션이 있습니다. 경복궁과 창덕궁 사이에 자리 잡은 언덕이 많은 지역에 위치하고 있으며 둘 다 도보로 이동할 수 있습니다. 북촌마을을 오르락내리락 하는 동안 마치 시대를 초월한 여행을 하는 듯한 느낌이 들지만 동네는 시간에 멈춘 것이 아니다. 한옥 중 일부는 여전히 개인 주택이지만 다른 한옥은 찻집, 커피숍으로 개조되었습니다. 이것들은 역사적으로 업데이트 된 개조 공사가 대부분이지만 시간 오류를 유지하면서 대부분의 아름다움을 들여다 볼 수있는 깔끔한 작은 장소입니다. 비가 와도 정말 즐거운 시간을 보냈습니다. 사람들이 여전히 이곳에 살고 있으므로 조용한 조례가 시행되고 순찰을 받고 있음을 기억하십시오."
